##4000550		
Whenever	whenever	rrqv
"	"	y
follow-up	follow-up	jj_nn1
"	"	y
measures	measure	nn2
for	for	if
the	the	at
employee	employee	nn1
,	,	y
and	and	cc
it	it	pph1
was	be	vbdz
grounds	ground	nn2
for	for	if
the	the	at
chairman	chairman	nn1
of	of	io
the	the	at
NAACP	naacp	nn1_np1
to	to	to
declare	declare	vvi
,	,	y
"	"	y
My	my	appge
first	first	md
impulse	impulse	nn1
is	be	vbz
that	that	cst
this	this	dd1
should	should	vm
be	be	vbi
a	a	at1
dismissible	dismissible	jj
infraction	infraction	nn1
.	.	y
"	"	y
:	:	y
<p>	<p>	y
I	i	ppis1
ca	can	vm
n't	n't	xx
believe	believe	vvi
in	in	ii_rp@
this	this	dd1
day	day	nnt1
and	and	cc
age	age	nn1_vv0@
that	that	cst
there	there	ex
's	be	vbz
a	a	at1
sports	sport	nn2
team	team	vv0@_nn1
in	in	ii_rp@
our	our	appge
nation	nation	nn1
's	's	ge
capital	capital	nn1
named	name	vvd_vvn
the	the	at
Redskins	redskin	nn2
.	.	y
That	that	dd1
is	be	vbz
as	as	rg@
derogatory	derogatory	jj
to	to	ii
Indians	indian	nn2
as	as	csa
having	have	vhg
a	a	at1
team	team	nn1
called	call	vvn
the	the	at
"	"	y
N-Word	n-word	np1
"	"	y
would	would	vm
be	be	vbi
to	to	ii
blacks	black	nn2
.	.	y
<p>	<p>	y
By	by	ii
William	william	np1
C.	c	np1
Dowling	dowling	np1
<p>	<p>	y
<p>	<p>	y
William	william	np1
C.	c	np1
Dowling	dowling	np1
is	be	vbz
a	a	at1
professor	professor	nn1
of	of	io
English	english	nn1_jj
at	at	ii
Rutgers	rutgers	np1
University	university	nn1
.	.	y
He	he	pphs1
is	be	vbz
author	author	nn1
most	most	rgt
recently	recently	rr
of	of	io
The	the	at
Senses	sense	nn2
of	of	io
the	the	at
Text	text	nn1
:	:	y
Intensional	intensional	jj_np1
Semantics	semantics	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
)	)	y
.	.	y
<p>	<p>	y
##4000551		
PREFORMATTED	preformatted	zz
TABLE	table	nn1
--	--	x
A.	a	x         
A.	a	x         
Milne	milne	np1
,	,	y
Winnie-the-Pooh	winnie-the-pooh	np1
<p>	<p>	y
<p>	<p>	y
In	in	ii
a	a	at1
promising	promising	jj
gesture	gesture	nn1
of	of	io
diversity	diversity	nn1
,	,	y
the	the	at
Modern	modern	jj
Language	language	nn1
Association	association	nn1
has	have	vhz
been	be	vbn
welcoming	welcoming	jj_vvg
community	community	nn1
colleges	college	nn2
(	(	y
CC	cc	nnu@_np1
)	)	y
into	into	ii
its	its	z'
conference	conference	nn1
agendas	agenda	nn2
.	.	y
Since	since	cs
this	this	dd1
sector	sector	nn1
constitutes	constitute	vvz
the	the	at
majority	majority	nn1
of	of	io
college	college	nn1
teachers	teacher	nn2
,	,	y
and	and	cc
a	a	at1
silent	silent	jj
one	one	pn1
at	at	ii
that	that	dd1
,	,	y
it	it	pph1
could	could	vm
furnish	furnish	vvi
valuable	valuable	jj
perspectives	perspective	nn2
to	to	ii
the	the	at
Association	association	nn1
.	.	y
<p>	<p>	y
What	what	ddq
are	be	vbr
these	these	dd2
perspectives	perspective	nn2
?	?	y
To	to	to
begin	begin	vvi
with	with	iw
,	,	y
take	take	vv0
the	the	at
average	average	jj_nn1
CC	cc	np1
teacher	teacher	nn1
:	:	y
The	the	at
vast	vast	jj
majority	majority	nn1
are	be	vbr
agreeably	agreeably	rr
personable	personable	jj
and	and	cc
people-oriented	people-oriented	jj_nn1@
,	,	y
articulate	articulate	jj_vv0
and	and	cc
communicatively	communicatively	rr
disciplined	discipline	vvn_jj
,	,	y
even	even	rr
after	after	ii_cs
years	year	nnt2
of	of	io
service	service	nn1
,	,	y
because	because	cs
the	the	at
nature	nature	nn1
of	of	io
their	their	appge
teaching	teaching	nn1
orientation	orientation	nn1
demands	demand	vvz@_nn2
that	that	dd1
attitude	attitude	nn1
.	.	y
How	how	rgq@
many	many	da2
at	at	ii
the	the	at
university	university	nn1
level	level	nn1
can	can	vm
boast	boast	vvi
so	so	rg
consistent	consistent	jj
an	a	at1
attitude	attitude	nn1
?	?	y
<p>	<p>	y
Yes	yes	uh
,	,	y
but	but	ccb
do	do	vd0
CC	cc	np1
instructors	instructor	nn2
publish	publish	vv0
,	,	y
it	it	pph1
might	might	vm
be	be	vbi
asked	ask	vvn@
?	?	y
Actually	actually	rr
some	some	dd
of	of	io
us	us	ppio2
do	do	vd0
.	.	y
Besides	besides	rr
,	,	y
at	at	ii
a	a	at1
time	time	nnt1
when	when	rrq
so	so	rg
much	much	da1
of	of	io
current	current	jj
humanities	humanities	nn2
publication	publication	nn1
is	be	vbz
of	of	io
frankly	frankly	rr
questionable	questionable	jj
scholarly	scholarly	jj
value	value	nn1
,	,	y
what	what	ddq
is	be	vbz
the	the	at
practical	practical	jj
difference	difference	nn1
between	between	ii
that	that	dd1
and	and	cc
no	no	at
publication	publication	nn1
at	at	rr21_ii
all	all	rr22_db
?	?	y
<p>	<p>	y
CC	cc	np1
teachers	teacher	nn2
are	be	vbr
practical	practical	jj
because	because	cs
their	their	appge
institutions	institution	nn2
were	be	vbdr
designed	design	vvn
to	to	to
be	be	vbi
so	so	rr
.	.	y
Here	here	rl
at	at	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
sounds	sound	nn2_vvz
and	and	cc
smells	smell	nn2
of	of	io
the	the	at
Vocational	vocational	jj
Technology	technology	nn1
shops	shop	vvz@_nn2
one	one	pn1
passes	pass	vvz
with	with	iw
pleasure	pleasure	nn1
on	on	ii
the	the	at
way	way	nn1
to	to	ii
class	class	nn1
.	.	y
And	and	cc
by	by	ii
the	the	at
air	air	nn1
conditioning	conditioning	nn1
plant	plant	nn1
,	,	y
which	which	ddq
elsewhere	elsewhere	rl
would	would	vm
be	be	vbi
hidden	hide	vvn
bashfully	bashfully	rr
from	from	ii
view	view	nn1
,	,	y
and	and	cc
which	which	ddq
is	be	vbz
here	here	rl
glass-encased	glass-encased	jj_nn1
to	to	to
be	be	vbi
enjoyed	enjoy	vvn
by	by	ii
connoisseurs	connoisseur	nn2
for	for	if
its	its	z'
gleaming	gleaming	jj
industrial	industrial	jj
craftsmanship	craftsmanship	nn1
.	.	y
Benjamin	benjamin	np1
Franklin	franklin	np1
,	,	y
the	the	at
craftsman-intellectual	craftsman-intellectual	jj_nn1
par	par	jj21
excellence	excellence	jj22
would	would	vm
have	have	vhi
felt	feel	vvn
at	at	ii
home	home	nn1
here	here	rl
.	.	y
This	this	dd1
is	be	vbz
practicality	practicality	nn1
,	,	y
rootedness	rootedness	nn1
in	in	ii
community	community	nn1
.	.	y
But	but	ccb
also	also	rr
savvy	savvy	jj_nn1
:	:	y
Laney	laney	np1
knows	know	vvz
the	the	at
dirty	dirty	jj
little	little	jj
secret	secret	nn1
of	of	io
our	our	appge
so-called	so-called	jj
techno-information	techno-information	jj_nn1
age	age	nn1
:	:	y
Highly-paid	highly-paid	jj
traditional	traditional	jj
crafts	craft	nn2
are	be	vbr
going	go	vvg
begging	begging	nn1
,	,	y
and	and	cc
can	can	vm
only	only	rr
barely	barely	rr
be	be	vbi
filled	fill	vvn
by	by	ii
massive	massive	jj
,	,	y
and	and	cc
often	often	rr
not	not	xx
very	very	rg
legal	legal	jj
,	,	y
immigration	immigration	nn1
.	.	y
<p>	<p>	y
What	what	ddq
then	then	rt
would	would	vm
draw	draw	vvi
the	the	at
practical-minded	practical-minded	jj_nn1
CC	cc	np1
instructor	instructor	nn1
in	in	ii31
search	search	ii32
of	of	ii33
professional	professional	jj
enlightenment	enlightenment	nn1
to	to	ii
the	the	at
MLA	mla	nn1_np1
convention	convention	nn1
?	?	y
As	as	ii_csa
a	a	at1
language	language	nn1
teacher	teacher	nn1
my	my	appge
own	own	da
natural	natural	jj
interest	interest	nn1
in	in	ii
Washington	washington	np1
lay	lay	vvd
in	in	ii_rp@
suitable	suitable	jj
sessions	session	nnt2
,	,	y
such	such	ii21
as	as	ii22
the	the	at
Foreign	foreign	jj
Language	language	nn1
and	and	cc
Culture	culture	nn1
session	session	nnt1
.	.	y
Naturally	naturally	rr
I	i	ppis1
looked	look	vvd
for	for	if
practical	practical	jj
suggestions	suggestion	nn2
and	and	cc
helpful	helpful	jj
hints	hint	nn2
for	for	if
teaching	teach	vvg
these	these	dd2
,	,	y
especially	especially	rr
for	for	if
the	the	at
continuing	continuing	jj
practical	practical	jj
problem	problem	nn1
of	of	io
adequately	adequately	rr
testing	test	vvg
for	for	if
culture	culture	nn1
in	in	ii
a	a	at1
typical	typical	jj
language	language	nn1
course	course	nn1
.	.	y
Unfortunately	unfortunately	rr
I	i	ppis1
found	find	vvd
none	none	pn
of	of	io
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
bewail	bewail	vvi
in	in	ii_rp@
a	a	at1
general	general	jj_nn1
way	way	nn1
the	the	at
misfortune	misfortune	nn1
of	of	io
oppressed	oppressed	jj
minority	minority	nn1
cultures	culture	nn2
.	.	y
Now	now	rt
,	,	y
even	even	rr
being	be	vbg
sympathetic	sympathetic	jj
to	to	ii
the	the	at
causes	cause	nn2
,	,	y
I	i	ppis1
could	could	vm
not	not	xx
help	help	vvi
feeling	feel	vvg_nn1
baffled	baffled	jj_vvn_vvd
and	and	cc
even	even	rr
patronized	patronize	vvd
:	:	y
What	what	ddq
environment	environment	nn1
did	do	vdd
these	these	dd2
speakers	speaker	nn2
come	come	vvi
from	from	ii
?	?	y
Had	have	vhd
they	they	pphs2
ever	ever	rr
been	be	vbn
in	in	ii
genuine	genuine	jj
touch	touch	nn1
with	with	iw
the	the	at
objects	object	nn2
of	of	io
their	their	appge
study	study	nn1
?	?	y
<p>	<p>	y
And	and	cc
then	then	rt
it	it	pph1
struck	strike	vvd
me	me	ppio1
:	:	y
These	these	dd2
were	be	vbdr
university	university	nn1
staff	staff	nn
,	,	y
obviously	obviously	rr
from	from	ii
an	a	at1
environment	environment	nn1
different	different	jj
from	from	ii
my	my	appge
own	own	da
.	.	y
Here	here	rl
at	at	ii
Laney	laney	np1
where	where	cs_rrq
the	the	at
absolute	absolute	jj
majority	majority	nn1
of	of	io
students	student	nn2
are	be	vbr
from	from	ii
the	the	at
official	official	jj_nn1
minority	minority	nn1
categories	category	nn2
--	--	x
a	a	at1
fairly	fairly	rr
accurate	accurate	jj
microcosm	microcosm	nn1
of	of	io
Oakland	oakland	np1
as	as	ii
a	a	at1
whole	whole	jj
--	--	x
sensitivity	sensitivity	nn1
to	to	ii
them	them	ppho2
and	and	cc
their	their	appge
practical	practical	jj
needs	need	nn2
are	be	vbr
a	a	at1
natural	natural	jj
part	part	nn1
of	of	io
our	our	appge
practical	practical	jj
reality	reality	nn1
,	,	y
as	as	ii
part	part	nn1
of	of	io
the	the	at
CC	cc	np1
mission	mission	nn1
in	in	rr21
general	general	rr22
.	.	y
And	and	cc
yet	yet	rr
how	how	rrq
is	be	vbz
it	it	pph1
that	that	cst
I	i	ppis1_zz1%_mc1%
as	as	rg@_csa_ii@
a	a	at1
white	white	jj
male	male	nn1
feel	feel	vv0
vastly	vastly	rr
more	more	rrr
appreciated	appreciate	vvn_vvd
here	here	rl
than	than	csn
at	at	ii
the	the	at
elite	elite	nn1
,	,	y
overwhelmingly	overwhelmingly	rr
white	white	jj
,	,	y
private	private	jj
university	university	nn1
(	(	y
Stanford	stanford	np1
)	)	y
where	where	rrq_cs
I	i	ppis1
also	also	rr
taught	teach	vvn_vvd
extensively	extensively	rr
?	?	y
The	the	at
difference	difference	nn1
is	be	vbz
ideology	ideology	nn1
:	:	y
Whereas	whereas	cs
at	at	ii
that	that	dd1
university	university	nn1
's	's	ge
humanities	humanities	nn2
division	division	nn1
white	white	jj_nn1@
males	male	nn2
as	as	ii_csa
a	a	at1
group	group	nn1
are	be	vbr
welcome	welcome	jj
only	only	jj_rr
if	if	cs_csw@
they	they	pphs2
are	be	vbr
avowed	avow	vvn@_jj@
stereotypical	stereotypical	jj
Marxists	marxist	nn2
and	and	cc
cultural	cultural	jj
revisionists	revisionist	nn2
,	,	y
at	at	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
for	for	if
whatever	whatever	ddqv
direct	direct	jj
practical	practical	jj
contribution	contribution	nn1
I	i	ppis1
can	can	vm
make	make	vvi
to	to	ii
each	each	dd1
individual	individual	nn1
's	's	ge
learning	learning	nn1_vvg
process	process	nn1
.	.	y
How	how	rgq@_rrq
truly	truly	rr
rewarding	reward	vvg_jj
for	for	if
a	a	at1
teacher	teacher	nn1
!	!	y
<p>	<p>	y
Here	here	rl
then	then	rt
is	be	vbz
the	the	at
Achilles	achilles	np1
heel	heel	nn1
of	of	io
so	so	rg
many	many	da2
universities	university	nn2
:	:	y
most	most	dat
reality	reality	nn1
is	be	vbz
seen	see	vvn
primarily	primarily	rr
in	in	ii31
terms	terms	ii32
of	of	ii33
theory	theory	nn1
,	,	y
stand-offishly	stand-offishly	rr
and	and	cc
sterilely	sterilely	rr
,	,	y
with	with	iw
too	too	rg
little	little	da1
input	input	nn1
from	from	ii
practicality	practicality	nn1
.	.	y
This	this	dd1
is	be	vbz
especially	especially	rr
true	true	jj
with	with	ii31
regard	regard	ii32
to	to	ii33
ideology	ideology	nn1
.	.	y
Marxism	marxism	nn1
,	,	y
for	for	rex21
example	example	rex22
,	,	y
so	so	rg_rr
often	often	rr
presented	present	vvn_vvd
as	as	ii
a	a	at1
Rousseauesque	rousseauesque	jj
utopian	utopian	jj
vision	vision	nn1
of	of	io
perfect	perfect	jj
social	social	jj
equality	equality	nn1
and	and	cc
perfect	perfect	jj
economic	economic	jj
justice	justice	nn1
by	by	ii
government	government	nn1
fiat	fiat	nn1
,	,	y
is	be	vbz
on	on	ii
the	the	at
surface	surface	nn1
truly	truly	rr
attractive	attractive	jj
--	--	x
in	in	ii
theory	theory	nn1
.	.	y
And	and	cc
teaching	teach	vvg
it	it	pph1
to	to	ii
gullible	gullible	jj
post-adolescents	post-adolescents	nn2
who	who	pnqs
have	have	vh0
never	never	rr
participated	participate	vvn
significantly	significantly	rr
in	in	ii
any	any	dd
normal	normal	jj
economic	economic	jj
life	life	nn1
is	be	vbz
heady	heady	jj
stuff	stuff	nn1
.	.	y
Not	not	xx
that	that	cst
these	these	dd2
should	should	vm
be	be	vbi
shielded	shield	vvn
from	from	ii
getting	get	vvg
to	to	to
know	know	vvi
it	it	pph1
.	.	y
Quite	quite	rr@_rg
the	the	at
contrary	contrary	nn1_jj
.	.	y
But	but	ccb
how	how	rgq@_rrq
ethical	ethical	jj
is	be	vbz
it	it	pph1
not	not	xx
to	to	to
tell	tell	vvi
these	these	dd2
same	same	da
students	student	nn2
the	the	at
terrible	terrible	jj
truth	truth	nn1
that	that	cst
the	the	at
actual	actual	jj
totalitarian	totalitarian	jj
practice	practice	nn1
of	of	io
Marxism	marxism	nn1
has	have	vhz
cost	cost	vvn
the	the	at
lives	life	nn2
of	of	io
an	a	at1
estimated	estimated	jj@
100	100	mc
million	million	m
people	people	nn
in	in	ii
the	the	at
course	course	nn1
of	of	io
the	the	at
twentieth	twentieth	md
century	century	nnt1
,	,	y
surpassing	surpass	vvg
even	even	rr_jj%
Fascism	fascism	nn1
?	?	y
On	on	ii
a	a	at1
purely	purely	rr
human	human	jj
level	level	nn1
must	must	vm
it	it	pph1
not	not	xx
be	be	vbi
asked	ask	vvn@
,	,	y
how	how	rrq
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
live	live	vv0_jj
with	with	iw
himself	himself	ppx1
asserting	assert	vvg
that	that	cst
Stalin	stalin	np1
succeeded	succeed	vvd
,	,	y
and	and	cc
that	that	cst
Mao	mao	np1
did	do	vdd
not	not	xx
go	go	vvi
far	far	rr_jj
enough	enough	rr
in	in	ii
his	his	appge
agenda	agenda	nn1
(	(	y
Marxism	marxism	nn1
,	,	y
250	250	mc
;	;	y
Ideologies	ideology	nn2
,	,	y
2	2	mc
:	:	y
207-8	207-8	mcmc
)	)	y
?	?	y
Yes	yes	uh
,	,	y
capitalism	capitalism	nn1
,	,	y
if	if	cs
unrestrained	unrestrained	jj
,	,	y
can	can	vm
,	,	y
and	and	cc
often	often	rr
does	do	vdz
,	,	y
"	"	y
kill	kill	vv0
"	"	y
the	the	at
soul	soul	nn1
,	,	y
but	but	ccb
it	it	pph1
does	do	vdz
not	not	xx
as	as	ii
a	a	at1
rule	rule	nn1
deliberately	deliberately	rr
target	target	vv0@
the	the	at
bodies	body	nn2
,	,	y
not	not	xx
least	least	rrt
because	because	cs
it	it	pph1
needs	need	vvz
them	them	ppho2
as	as	csa_ii@
consumers	consumer	nn2
.	.	y
Intellectual	intellectual	jj_nn1
purists	purist	nn2
might	might	vm
call	call	vvi
this	this	dd1
cynical	cynical	jj
,	,	y
because	because	cs
they	they	pphs2
miss	miss	vv0
lofty	lofty	jj
visions	vision	nn2
of	of	io
youthful	youthful	jj
sophomoric	sophomoric	jj
idealism	idealism	nn1
,	,	y
but	but	ccb
sane	sane	jj
common	common	jj
sense	sense	nn1
also	also	rr
finds	find	vvz
it	it	pph1
surprisingly	surprisingly	rr
practical	practical	jj
.	.	y
Why	why	rrq
?	?	y
Because	because	cs
it	it	pph1
is	be	vbz
this	this	dd1
attention	attention	nn1
to	to	ii
mercantile	mercantile	jj
practicality	practicality	nn1
that	that	cst_dd1
has	have	vhz
saved	save	vvn
democratic	democratic	jj
capitalism	capitalism	nn1
,	,	y
even	even	rr
as	as	csa_rg@
admittedly	admittedly	rr
imperfect	imperfect	jj
as	as	csa
it	it	pph1
is	be	vbz
,	,	y
from	from	ii
the	the	at
horrific	horrific	jj
practical	practical	jj
consequences	consequence	nn2
of	of	io
idealistic	idealistic	jj
but	but	ccb
deadly	deadly	jj_rg%
totalitarian	totalitarian	jj
Rousseauan	rousseauan	jj_nn1
utopias	utopia	nn2
.	.	y
And	and	cc
while	while	cs
Marxists-Leninists	marxists-leninists	nn2
like	like	ii
Marcuse	marcuse	np1_nn1
and	and	cc
Jameson	jameson	np1_nn1@
might	might	vm
dismiss	dismiss	vvi
this	this	dd1
crucial	crucial	jj
difference	difference	nn1
with	with	iw
an	a	at1
amazing	amazing	jj
verbal	verbal	jj
sleight-of-hand	sleight-of-hand	jj_nn1@
as	as	csa_ii@
democracy	democracy	nn1
's	's	ge_vbz
"	"	y
repressive	repressive	jj
tolerance	tolerance	nn1
,	,	y
"	"	y
it	it	pph1
has	have	vhz
allowed	allow	vvn
even	even	vv0%
them	them	ppho2
to	to	to
live	live	vvi
and	and	cc
indeed	indeed	rr
thrive	thrive	vvi
very	very	rg
well	well	rr
personally	personally	rr
,	,	y
has	have	vhz
it	it	pph1
not	not	xx
?	?	y
<p>	<p>	y
Students	student	nn2
at	at	ii_rr21
most	most	dat_rr22
universities	university	nn2
are	be	vbr
intellectually	intellectually	rr
vulnerable	vulnerable	jj
.	.	y
In	in	ii
a	a	at1
manner	manner	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
on	on	ii
a	a	at1
wide	wide	jj
scale	scale	nn1
are	be	vbr
divorced	divorce	vvn
from	from	ii
their	their	appge
families	family	nn2
at	at	ii
the	the	at
age	age	nn1
of	of	io
eighteen	eighteen	mc
and	and	cc
thrown	throw	vvn
together	together	rl
with	with	iw
equally	equally	rr
naive	naive	jj
peers	peer	nn2
,	,	y
often	often	rr
stranded	strand	vvn@_jj_vvd@
in	in	ii
isolated	isolated	jj
suburban	suburban	jj
or	or	cc
country	country	nn1
settings	setting	nn2
(	(	y
"	"	y
farms	farm	nn2
"	"	y
)	)	y
away	away	ii21_rl
from	from	ii22_ii
the	the	at
gritty	gritty	jj
life	life	nn1
experience	experience	nn1
of	of	io
city	city	nn1
centers	center	nn2
.	.	y
Here	here	rl
an	a	at1
artificially	artificially	rr
academic	academic	jj
lifestyle	lifestyle	nn1
and	and	cc
correspondingly	correspondingly	rr
utopian	utopian	jj
narrowness	narrowness	nn1
of	of	io
life	life	nn1
experience	experience	nn1
exclude	exclude	vv0
the	the	at
rich	rich	jj
vicissitudes	vicissitude	nn2
of	of	io
ordinary	ordinary	jj
personal	personal	jj
and	and	cc
public	public	nn1_jj_rr@
,	,	y
commercial	commercial	jj
life	life	nn1
.	.	y
Thus	thus	rr
intellectually	intellectually	rr
captive	captive	jj
and	and	cc
reality-deprived	reality-deprived	nn1_jj
,	,	y
young	young	jj
students	student	nn2
can	can	vm
become	become	vvi
easy	easy	jj
prey	prey	nn1
for	for	if
conscienceless	conscienceless	jj
ideological	ideological	jj
raptors	raptor	nn2
,	,	y
who	who	pnqs
set	set	vvd_vv0
upon	upon	ii
them	them	ppho2
with	with	iw
more	more	rgr
or	or	cc
less	less	rgr
refined	refined	jj
subtlety	subtlety	nn1
.	.	y
It	it	pph1
is	be	vbz
an	a	at1
irony	irony	nn1
of	of	io
history	history	nn1
that	that	cst
the	the	at
traditional	traditional	jj
land-grant	land-grant	jj_nn1
colleges	college	nn2
,	,	y
originally	originally	rr
designed	design	vvn_vvd
to	to	to
protect	protect	vvi
students	student	nn2
from	from	ii
the	the	at
"	"	y
vices	vice	nn2
"	"	y
of	of	io
city	city	nn1
life	life	nn1
,	,	y
have	have	vh0
now	now	rt
in	in	ii
many	many	da2
cases	case	nn2
become	become	vv0
intellectual	intellectual	jj_nn1
ghettoes	ghetto	nn2
,	,	y
ideological	ideological	jj
traps	trap	nn2
,	,	y
propaganda	propaganda	nn1
camps	camp	nn2
for	for	if
proselytizing	proselytize	vvg
impressionable	impressionable	jj
youngsters	youngster	nn2
,	,	y
closer	close	rrr_jjr
in	in	ii
spirit	spirit	nn1
to	to	ii
the	the	at
ominous	ominous	jj
"	"	y
reeducation	re-education	nn1
camps	camp	nn2
"	"	y
of	of	io
totalitarian	totalitarian	jj
regimes	regime	nn2
than	than	csn
to	to	ii
traditional	traditional	jj
humanities	humanities	nn2
departments	department	nn2
,	,	y
judging	judge	vvg
by	by	ii
the	the	at
curricula	curriculum	nn2
.	.	y
Thus	thus	rr
the	the	at
university	university	nn1
experience	experience	nn1
,	,	y
which	which	ddq
was	be	vbdz
originally	originally	rr
designed	design	vvn_vvd
to	to	to
broaden	broaden	vvi
a	a	at1
person	person	nn1
's	's	ge
outlook	outlook	nn1
,	,	y
is	be	vbz
now	now	rt
in	in	ii
danger	danger	nn1
of	of	io
being	be	vbg
more	more	rgr_rrr
narrowing	narrowing	jj@_vvg
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
<p>	<p>	y
CC	cc	np1
students	student	nn2
are	be	vbr
luckier	lucky	jjr
in	in	ii
this	this	dd1
sense	sense	nn1
.	.	y
They	they	pphs2
are	be	vbr
for	for	rr41
the	the	rr42
most	most	rr43
part	part	rr44
commuters	commuter	nn2
,	,	y
many	many	da2
with	with	iw
demanding	demand	vvg_jj@
jobs	job	nn2
.	.	y
Daily	daily	jj
contact	contact	nn1
with	with	iw
family	family	nn1
and	and	cc
real	real	jj
life	life	nn1
are	be	vbr
the	the	at
norm	norm	nn1
rather	rather	ii21
than	than	ii22
the	the	at
exception	exception	nn1
.	.	y
Ideas	idea	nn2
learned	learn	vvn_vvd
at	at	ii
school	school	nn1
stand	stand	vv0_nn1
at	at	rr21
least	least	rr22
a	a	at1
minimum	minimum	jj_nn1
chance	chance	nn1
of	of	io
being	be	vbg
tested	test	vvn
at	at	ii
home	home	nn1
or	or	cc
at	at	ii
work	work	nn1
on	on	ii
a	a	at1
constant	constant	jj
basis	basis	nn1
.	.	y
Parents	parent	nn2
of	of	io
all	all	db
social	social	jj
backgrounds	background	nn2
would	would	vm
be	be	vbi
wise	wise	jj
to	to	to
start	start	vvi
off	off	rp
their	their	appge
offspring	offspring	nn
at	at	ii
a	a	at1
CC	cc	nnu@_np1
first	first	md
until	until	cs
they	they	pphs2
become	become	vv0
mature	mature	vv0_jj
enough	enough	rr_dd
to	to	to
judge	judge	vvi
a	a	at1
university	university	nn1
experience	experience	nn1_vv0
more	more	rgr_rrr
critically	critically	rr
.	.	y
<p>	<p>	y
Academic	academic	jj
remoteness	remoteness	nn1
from	from	ii
reality	reality	nn1
is	be	vbz
particularly	particularly	rr
evident	evident	jj
in	in	ii
the	the	at
epistemologically	epistemologically	rr
disastrous	disastrous	jj
presentational	presentational	jj
jargon	jargon	nn1
of	of	io
literary	literary	jj
and	and	cc
cultural	cultural	jj
studies	study	nn2
.	.	y
Average	average	jj_nn1
visitors	visitor	nn2
to	to	ii
so	so	rg
many	many	da2
MLA	mla	nn1_np1
convention	convention	nn1
sessions	session	nnt2
may	may	vm
be	be	vbi
excused	excuse	vvn
for	for	if
feeling	feel	vvg_nn1
that	that	cst
they	they	pphs2
have	have	vh0
arrived	arrive	vvn
at	at	ii
a	a	at1
sort	sort	nn1_rr21@
of	of	io_rr22
Baudelairean	baudelairean	jj_np1_nn1
"	"	y
temple	temple	nn1
o	o	zz1
de	de	f         
vivants	vivant	nn2
piliers	piliers	nn2
/	/	fo
laissent	laissent	jj_nn1
parfois	parfois	nn1
sortir	sortir	nn1
de	de	f         
confuses	confuse	vvz
paroles	parole	nn2
.	.	y
"	"	y
Honestly	honestly	rr
,	,	y
how	how	rrq_rgq@
difficult	difficult	jj
would	would	vm
it	it	pph1
be	be	vbi
to	to	to
require	require	vvi
all	all	db
presenters	presenter	nn2
to	to	to
state	state	vvi
their	their	appge
central	central	jj
thesis	thesis	nn1
clearly	clearly	rr
in	in	ii
one	one	mc1
or	or	cc
two	two	mc
sentences	sentence	nn2
?	?	y
But	but	ccb
then	then	rt
how	how	rrq
many	many	da2
current	current	jj
presentations	presentation	nn2
could	could	vm
survive	survive	vvi
such	such	da
a	a	at1
practical	practical	jj
test	test	nn1
?	?	y
We	we	ppis2
CC	cc	np1
teachers	teacher	nn2
work	work	vv0
hard	hard	rr_jj
to	to	to
hone	hone	vvi
our	our	appge
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
knowledge	knowledge	nn1
as	as	rg
democratically	democratically	rr
accessible	accessible	jj
as	as	csa
possible	possible	jj
.	.	y
This	this	dd1
requires	require	vvz
us	us	ppio2
to	to	to
be	be	vbi
truly	truly	rr
centered	center	vvn
as	as	csa_ii@
individuals	individual	nn2
.	.	y
The	the	at
current	current	jj
fad	fad	nn1
of	of	io
deliberate	deliberate	jj
cultivation	cultivation	nn1
of	of	io
communicational	communicational	jj
"	"	y
decenteredness	decenteredness	nn1
"	"	y
runs	run	vvz
entirely	entirely	rr
counter	counter	vv0
to	to	ii
our	our	appge
mission	mission	nn1
.	.	y
To	to	to
use	use	vvi
a	a	at1
blunt	blunt	jj
but	but	ccb
honest	honest	jj
old	old	jj
adage	adage	nn1
,	,	y
the	the	at
use	use	nn1
of	of	io
"	"	y
dollar	dollar	nnu1
words	word	nn2
for	for	if
nickel	nickel	nn1
concepts	concept	nn2
"	"	y
strikes	strike	vvz
us	us	ppio2
not	not	xx
only	only	rr
as	as	csa_rg@
elitist	elitist	jj
and	and	cc
antidemocratic	anti-democratic	jj
,	,	y
but	but	ccb
simply	simply	rr
as	as	csa_rg@
fraudulent	fraudulent	jj
.	.	y
<p>	<p>	y
There	there	ex
is	be	vbz
,	,	y
of	of	rr21
course	course	rr22
,	,	y
a	a	at1
reason	reason	nn1
for	for	if
this	this	dd1
deliberately	deliberately	rr
equivocating	equivocate	vvg_jj@
language	language	nn1
that	that	cst_dd1
