##54361		
Announcer	announcer	np1_nn1
,	,	y
A'Lelia	a'lelia	np1
,	,	y
before	before	cs
she	she	pphs1
died	die	vvd
.	.	y
@(Photograph-of-Walk)		zzc
@!PINKSTON		zzq
:	:	y
@(Voiceover)		zzc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
.	.	y
In	in	ii
just	just	rr
15	15	mc
years	year	nnt2
,	,	y
she	she	pphs1
had	have	vhd
amassed	amass	vvn
a	a	at1
fortune	fortune	nn1
,	,	y
built	build	vvd_vvn
a	a	at1
hair-care	hair-care	nn1
empire	empire	nn1
and	and	cc
left	leave	vvd
her	her	appge_ppho1
mark	mark	nn1
on	on	ii
black	black	jj
America	america	np1
.	.	y
@(Photograph-of-Walk)		zzc
@!PINKSTON		zzq
:	:	y
@(Voiceover)		zzc
Unrealized	unrealized	jj
was	be	vbdz
her	her	appge
dream	dream	nn1
of	of	io
a	a	at1
new	new	jj
company	company	nn1
headquarters	headquarters	nn
and	and	cc
entertainment	entertainment	nn1
complex	complex	nn1
in	in	ii
Indianapolis	indianapolis	np1
.	.	y
That	that	dd1
would	would	vm
come	come	vvi
after	after	ii_cs
her	her	appge
death	death	nn1
.	.	y
Filmmaker	filmmaker	np1@
Stanley	stanley	np1
Nelson	nelson	np1
.	.	y
@!Mr-NELSON		zzq
:	:	y
But	but	ccb
it	it	pph1
was	be	vbdz
really	really	rr
built	build	vvn
as	as	ii
a	a	at1
monument	monument	nn1
to	to	ii
Madam	madam	nnb
Walker	walker	np1
,	,	y
so	so	cs@_rr
it	it	pph1
was	be	vbdz
just	just	rr
this	this	dd1_rg%
incredible	incredible	jj
building	building	nn1
that	that	cst
had	have	vhd
a	a	at1
movie	movie	nn1
theater	theater	nn1
,	,	y
and	and	cc
it	it	pph1
was	be	vbdz
rumored	rumor	vvn@
to	to	to
be	be	vbi
the	the	at
first	first	md
movie	movie	nn1
theater	theater	nn1
that	that	cst_dd1
was	be	vbdz
built	build	vvn
for	for	if
black	black	jj
people	people	nn
in	in	ii
this	this	dd1
country	country	nn1
.	.	y
@(Photograph-of-Walk)		zzc
@!Mr-NELSON		zzq
:	:	y
There	there	ex
were	be	vbdr
offices	office	nn2
.	.	y
There	there	ex
were	be	vbdr
stores	store	nn2
.	.	y
There	there	ex
was	be	vbdz
a	a	at1
soda	soda	nn1
fountain	fountain	nn1
,	,	y
restaurant	restaurant	nn1
.	.	y
And	and	cc
I	i	ppis1
think	think	vv0
what	what	ddq
happened	happen	vvd
was	be	vbdz
it	it	pph1
became	become	vvn
the	the	at
center	center	nn1
for	for	if
black	black	jj
life	life	nn1
in	in	ii
Indianapolis	indianapolis	np1
.	.	y
qwq		xx
@		ii
(	(	y
Footage-of-Walker		np1
'	'	ge
@!PINKSTON		zzq
:	:	y
@(Voiceover)		zzc
Madam	madam	nnb
Walker	walker	np1
's	's	ge
daughter	daughter	nn1
,	,	y
A'Lelia	a'lelia	np1
,	,	y
went	go	vvd
on	on	rp
to	to	to
live	live	vvi
another	another	dd1
American	american	jj
dream	dream	nn1
as	as	ii_csa
the	the	at
rich	rich	jj
heiress	heiress	nn1
to	to	ii
a	a	at1
business	business	nn1
fortune	fortune	nn1
,	,	y
renowned	renowned	jj
for	for	if
her	her	appge
parties	party	nn2
and	and	cc
her	her	appge
patronage	patronage	nn1
of	of	io
the	the	at
arts	art	nn2
.	.	y
@(Photographs-of-Wal)		zzc
@!Ms-BUNDLES		zzq
:	:	y
They	they	pphs2
wrote	write	vvd
about	about	ii
her	her	appge
--		zz
Langston	langston	np1
Hughes	hughes	np1
in	in	ii
his	his	appge
book	book	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
her	her	ppho1
the	the	at
joy	joy	nn1
goddess	goddess	nn1
of	of	io
Harlem	harlem	np1
's	's	ge
1920s.	1920s	nnu
@!PINKSTON		zzq
:	:	y
@(Voiceover)		zzc
A'Lelia	a'lelia	np1
Walker	walker	np1
died	die	vvd
in	in	ii
1931	1931	mc
.	.	y
'	'	"@_ge
That	that	dd1_cst
was	be	vbdz
really	really	rr
the	the	at
end	end	nn1
of	of	io
the	the	at
gay	gay	jj
times	time	nnt2
of	of	io
the	the	at
new	new	jj
Negro	negro	nn1
in	in	ii
Harlem	harlem	np1
,	,	y
'	'	ge
Langston	langston	np1
Hughes	hughes	np1
wrote	write	vvd
.	.	y
'	'	ge_"@
The	the	at
Depression	depression	nn1
brought	bring	vvd_vvn
everybody	everybody	pn1
down	down	rp_ii@
a	a	at1
peg	peg	nn1
or	or	cc
two	two	mc
,	,	y
and	and	cc
the	the	at
Negroes	negro	nn2
had	have	vhd
but	but	ccb
a	a	at1
few	few	da2
pegs	peg	nn2
to	to	to
fall	fall	vvi
.	.	y
'	'	"@_ge
@(Footage-of-Walker-)		zzc
@!PINKSTON		zzq
:	:	y
@(Voiceover)		zzc
The	the	at
Walker	walker	np1_nn1@
Company	company	nn1
held	hold	vvn
on	on	rp@
for	for	if
another	another	dd1
half-century	half-century	nnt1
,	,	y
finally	finally	rr
closing	close	vvg
its	its	z'
doors	door	nn2
in	in	ii
1986	1986	mc
.	.	y
The	the	at
Walker	walker	np1_nn1@
Building	building	nn1_vvg@
still	still	rr_jj@
stands	stand	vvz_nn2
,	,	y
a	a	at1
tribute	tribute	nn1
to	to	ii
the	the	at
vision	vision	nn1
of	of	io
its	its	z'
founder	founder	nn1
.	.	y
@!Ms-BUNDLES		zzq
:	:	y
It	it	pph1
's	be	vbz
a	a	at1
national	national	jj
historic	historic	jj
landmark	landmark	nn1
.	.	y
It	it	pph1
's	be	vhz
been	be	vbn
restored	restore	vvn
,	,	y
and	and	cc
it	it	pph1
is	be	vbz
really	really	rr
a	a	at1
marvelous	marvelous	jj
place	place	nn1
.	.	y
It	it	pph1
's	be	vbz
a	a	at1
--		nn1_jj
a	a	at1
building	building	nn1
where	where	cs_rrq
it	it	pph1
has	have	vhz
--		zz
the	the	at
building	building	nn1
has	have	vhz
now	now	rt
come	come	vvn
to	to	ii
life	life	nn1
again	again	rt
.	.	y
@(Photograph-of-Walk)		zzc
@!PINKSTON		zzq
:	:	y
@(Voiceover)		zzc
And	and	cc
so	so	rr
,	,	y
too	too	rr@_rg
,	,	y
has	have	vhz
Madam	madam	nn1
C.J.	cj	np1
Walker	walker	np1
.	.	y
A	a	at1_zz1
remarkable	remarkable	jj
American	american	jj
woman	woman	nn1
,	,	y
so	so	rg
far	far	rr
ahead	ahead	ii21
of	of	ii22
her	her	appge_ppho1
time	time	nnt1
,	,	y
she	she	pphs1
was	be	vbdz
almost	almost	rr
forgotten	forget	vvn
.	.	y
@(Visual-of-SUNDAY-M)		zzc
@!OSGOOD		zzq
:	:	y
Ahead	ahead	rl
,	,	y
two	two	mc
for	for	if
the	the	at
road	road	nn1
:	:	y
actors	actor	nn2
Ed	ed	np1
Harris	harris	np1
and	and	cc
Amy	amy	np1
Madigan.	madigan	np1
@(Footage-of-Ellen-M)		zzc
@!OSGOOD		zzq
:	:	y
@(Voiceover)		zzc
But	but	ccb
next	next	md
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
.	.	y
@(Announcements)		zzc
##54364		
TROUBLE	trouble	nn1_vv0@
IN	in	ii
TINSELTOWN	tinseltown	np1_nn1
@!CHARLES-OSGOOD-ho		zzq
:	:	y
It	it	pph1
may	may	vm
not	not	xx
be	be	vbi
visible	visible	jj
on	on	ii
the	the	at
silver	silver	nn1_jj@
screen	screen	nn1
just	just	rr
yet	yet	rr
,	,	y
but	but	ccb
there	there	ex
is	be	vbz
Trouble	trouble	nn1
in	in	ii
Tinseltown	tinseltown	np1
.	.	y
Both	both	db2_rr
the	the	at
people	people	nn
who	who	pnqs
write	write	vv0
the	the	at
movies	movie	nn2
and	and	cc
the	the	at
people	people	nn
who	who	pnqs
act	act	vv0
in	in	ii
them	them	ppho2
are	be	vbr
headed	head	vvn
toward	toward	ii
a	a	at1
showdown	showdown	nn1
with	with	iw
the	the	at
Hollywood	hollywood	np1
studios	studio	nn2
,	,	y
and	and	cc
so	so	rg
far	far	rr
there	there	ex
's	be	vbz
no	no	at
sign	sign	nn1
of	of	io
a	a	at1
hero	hero	nn1
riding	ride	vvg
in	in	rp@
on	on	ii
a	a	at1
horse	horse	nn1
in	in	ii
the	the	at
final	final	jj_nn1
reel	reel	nn1
to	to	to
save	save	vvi
the	the	at
day	day	nnt1
.	.	y
Our	our	appge
cover	cover	nn1
story	story	nn1
is	be	vbz
reported	report	vvn
by	by	ii
Jerry	jerry	np1
Bowen.	bowen	np1
@(Footage-of-various)		zzc
@!JERRY-BOWEN-report		zzq
:	:	y
@(Voiceover)		zzc
It	it	pph1
's	be	vbz
the	the	at
talk	talk	nn1
of	of	io
the	the	at
season	season	nnt1
,	,	y
on	on	ii
the	the	at
red	red	jj_nn1
carpet	carpet	nn1
circuit	circuit	nn1
at	at	ii
the	the	at
Hollywood	hollywood	np1
awards	award	vvz@_nn2
shows	show	nn2_vvz
.	.	y
Unidentified	unidentified	jj
Woman	woman	nn1
:	:	y
God	god	np1
,	,	y
I	i	ppis1
so	so	rr
hope	hope	vv0
there	there	ex_rl
's	be	vbz
not	not	xx
a	a	at1
strike	strike	nn1
.	.	y
@(Footage-of-movie-l)		zzc
@!BOWEN		zzq
:	:	y
@(Voiceover)		zzc
From	from	ii
movie	movie	nn1
locations	location	nn2
on	on	ii
the	the	at
streets	street	nn2
of	of	io
Los	los	np1
Angeles	angeles	np1
...	...	...
Unidentified	unidentified	jj
Woman	woman	nn1
:	:	y
Here	here	rl
we	we	ppis2
go	go	vv0
,	,	y
everyone	everyone	pn1
.	.	y
@!BOWEN		zzq
:	:	y
@(Voiceover)		zzc
...	...	...
to	to	ii
a	a	at1
TV	tv	nn1
sound	sound	nn1
stage	stage	nn1
in	in	ii
New	new	np1
York	york	np1
City	city	nn1
,	,	y
it	it	pph1
's	be	vbz
on	on	ii
everybody	everybody	pn1
's	's	ge
mind	mind	nn1
.	.	y
@!Mr-JERRY-ORBACH-@1		zzq
:	:	y
It	it	pph1
's	be	vbz
not	not	xx
an	a	at1
idle	idle	jj
--		nn1_jj
an	a	at1
idle	idle	jj
thing	thing	nn1
,	,	y
a	a	at1
strike	strike	nn1
.	.	y
It	it	pph1
's	be	vbz
a	a	at1
very	very	jj@_rg
,	,	y
very	very	rg_jj@
,	,	y
very	very	rg
difficult	difficult	jj
thing	thing	nn1
to	to	to
do	do	vdi
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
"	"	y
Cast	cast	vvd@_vv0
@!BOWEN		zzq
:	:	y
@(Voiceover)		zzc
The	the	at
dream	dream	nn1
factory	factory	nn1
that	that	cst_dd1
turns	turn	vvz
out	out	rp
feature	feature	nn1
films	film	nn2
and	and	cc
TV	tv	nn1
shows	show	vvz_nn2
for	for	if
America	america	np1
and	and	cc
the	the	at
world	world	nn1
may	may	vm
be	be	vbi
shut	shut	vvn
down	down	rp
.	.	y
@(Excerpt-from-movie)		zzc
@!BOWEN		zzq
:	:	y
@(Voiceover)		zzc
That	that	dd1_cst
's	be	vbz
because	because	cs
contracts	contract	nn2
for	for	if
the	the	at
writers	writer	nn2
and	and	cc
the	the	at
actors	actor	nn2
expire	expire	vv0
back	back	rp
to	to	ii
back	back	nn1
this	this	dd1
spring	spring	nn1
,	,	y
and	and	cc
the	the	at
impact	impact	nn1
on	on	ii
an	a	at1
industry	industry	nn1
where	where	cs_rrq
glitter	glitter	nn1
and	and	cc
illusion	illusion	nn1
add	add	vv0
up	up	ii21
to	to	ii22
a	a	at1
lucrative	lucrative	jj
reality	reality	nn1
could	could	vm
be	be	vbi
crippling	crippling	jj_vvg@
.	.	y
@(Footage-of-Jack-Ky)		zzc
@!Mr-JACK-KYSER-@1Lo		zzq
:	:	y
You	you	ppy
're	be	vbr
already	already	rr
starting	start	vvg
to	to	to
see	see	vvi
some	some	dd
dislocations	dislocation	nn2
because	because	cs
people	people	nn
have	have	vh0
said	say	vvn
,	,	y
'	'	ge
Well	well	nn1
,	,	y
the	the	at
threat	threat	nn1
of	of	io
a	a	at1
strike	strike	nn1
,	,	y
I	i	ppis1
'm	be	vbm
not	not	xx
going	go	vvgk
to	to	to
buy	buy	vvi
a	a	at1
new	new	jj
car	car	nn1
.	.	y
I	i	ppis1
'm	be	vbm
not	not	xx
going	go	vvgk
to	to	to
buy	buy	vvi
a	a	at1
house	house	nn1
.	.	y
'	'	"@_ge
@!BOWEN		zzq
:	:	y
@(Voiceover)		zzc
Jack	jack	np1
Kyser	kyser	np1_nn1
is	be	vbz
chief	chief	jj
economist	economist	nn1
for	for	if
the	the	at
Los	los	np1
Angeles	angeles	np1
County	county	nn1
Economic	economic	jj
Development	development	nn1
Corporation	corporation	nn1
.	.	y
@!Mr-KYSER		zzq
:	:	y
You	you	ppy
could	could	vm
get	get	vvi
up	up	ii21
to	to	ii22
about	about	ii
a	a	at1
$	$	nn
1.8	1.8	mc
billion	billion	m1
per	per	ii
month	month	nnt1
lost	lose	vvn_vvd
to	to	ii
the	the	at
economy	economy	nn1
.	.	y
@!BOWEN		zzq
:	:	y
Nearly	nearly	rr
$	$	nn
2	2	mc
billion	billion	m1
a	a	at1
month	month	nnt1
?	?	y
@!Mr-KYSER		zzq
:	:	y
Two	two	mc
billion	billion	m1
a	a	at1
month	month	nnt1
.	.	y
@!BOWEN		zzq
:	:	y
That	that	dd1
's	be	vbz
just	just	rr
the	the	at
loss	loss	nn1
for	for	if
the	the	at
local	local	jj
Hollywood	hollywood	np1
economy	economy	nn1
from	from	ii
strikes	strike	nn2
that	that	cst
none	none	pn
of	of	io
the	the	at
parties	party	nn2
involved	involve	vvn_vvd
say	say	vv0
they	they	pphs2
want	want	vv0
but	but	ccb
all	all	db_rr@
have	have	vh0
been	be	vbn
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
are	be	vbr
familiar	familiar	jj
and	and	cc
difficult	difficult	jj
,	,	y
focusing	focus	vvg
on	on	ii
ego	ego	nn1
and	and	cc
money	money	nn1
.	.	y
@!Mr-KYSER		zzq
:	:	y
A	a	at1@_zz1
film	film	nn1
is	be	vbz
like	like	ii
a	a	at1
--		nn1_jj
a	a	at1
pig	pig	nn1
,	,	y
and	and	cc
the	the	at
studios	studio	nn2
have	have	vh0
found	find	vvn
ways	way	nn2
to	to	to
get	get	vvi
more	more	dar_rrr
squeal	squeal	nn1_vv0
out	out	ii21
of	of	ii22
that	that	dd1
pig	pig	nn1
,	,	y
and	and	cc
so	so	rr_cs@
the	the	at
writers	writer	nn2
and	and	cc
the	the	at
actors	actor	nn2
want	want	vv0
their	their	appge
piece	piece	nn1
of	of	io
that	that	dd1
pig	pig	nn1
,	,	y
too	too	rr@
.	.	y
@(Footage-of-video-s)		zzc
@!BOWEN		zzq
:	:	y
@(Voiceover)		zzc
And	and	cc
most	most	dat
of	of	io
the	the	at
issues	issue	nn2
for	for	if
the	the	at
writers	writer	nn2
and	and	cc
the	the	at
actors	actor	nn2
are	be	vbr
the	the	at
same	same	da
:	:	y
a	a	at1
greater	great	jjr
share	share	nn1
of	of	io
the	the	at
income	income	nn1
from	from	ii
videocassettes	videocassette	nn2
and	and	cc
DVDs	dvds	np1
,	,	y
foreign	foreign	jj
TV	tv	nn1
and	and	cc
movie	movie	nn1
distribution	distribution	nn1
and	and	cc
cable	cable	nn1
and	and	cc
a	a	at1
guaranteed	guaranteed	jj
piece	piece	nn1
of	of	io
the	the	at
emerging	emerging	jj
Internet	internet	nn1
market	market	nn1
.	.	y
qwq		xx
@		ii
(	(	y
Footage-of-Disney		np1
,	,	y
@!BOWEN		zzq
:	:	y
@(Voiceover)		zzc
The	the	at
studios	studio	nn2
claim	claim	vv0
the	the	at
writers	writer	nn2
'	'	ge
proposals	proposal	nn2
would	would	vm
cost	cost	vvi
up	up	ii21
to	to	ii22
$	$	nn
2.4	2.4	mc
billion	billion	m1
over	over	rg
three	three	mc
years	year	nnt2
if	if	cs
also	also	rr
applied	apply	vvn_vvd
to	to	ii
other	other	jj
unions	union	nn2
.	.	y
The	the	at
writers	writer	nn2
say	say	vv0
the	the	at
figure	figure	nn1
is	be	vbz
less	less	dar_rrr
than	than	csn
a	a	at1
third	third	md
that	that	dd1
.	.	y
@(Footage-of-movie-a)		zzc
@!BOWEN		zzq
:	:	y
@(Voiceover)		zzc
The	the	at
writers	writer	nn2
are	be	vbr
also	also	rr
pushing	push	vvg
creative	creative	jj
rights	right	nn2
issues	issue	nn2
,	,	y
eliminating	eliminate	vvg
the	the	at
'	'	ge
film	film	nn1
by	by	ii
'	'	ge
credit	credit	nn1
taken	take	vvn
by	by	ii
some	some	dd
directors	director	nn2
and	and	cc
securing	secure	vvg
a	a	at1
role	role	nn1
on	on	ii
the	the	at
movie	movie	nn1
set	set	vvd_vvn_vv0
in	in	rp@
rewrites	rewrite	vvz
and	and	cc
cast	cast	vv0_jj@
readings	reading	nn2
,	,	y
issues	issue	nn2
opposed	oppose	vvn
by	by	ii
the	the	at
Directors	director	nn2
Guild	guild	nn1
.	.	y
@(Footage-of-people-)		zzc
@!BOWEN		zzq
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
alliance	alliance	nn1
of	of	io
studios	studio	nn2
and	and	cc
networks	network	nn2
and	and	cc
the	the	at
Writers	writer	nn2
Guild	guild	nn1
,	,	y
representing	represent	vvg
11,000	11,000	mc
writers	writer	nn2
.	.	y
John	john	np1
Wells	well	np1
,	,	y
the	the	at
executive	executive	nn1_jj@
producer	producer	nn1
of	of	io
the	the	at
TV	tv	nn1
shows	show	vvz_nn2
"	"	y
West	west	nd1
Wing	wing	nn1
,	,	y
"	"	y
"	"	y
E/R	e/r	zz1_np1
"	"	y
and	and	cc
"	"	y
Third	third	md
Watch	watch	nn1
"	"	y
is	be	vbz
president	president	nn1
of	of	io
the	the	at
Writers	writer	nn2
Guild	guild	nn1
West	west	nd1
.	.	y
@!Mr-JOHN-WELLS-@1Pr		zzq
:	:	y
Every	every	at1
time	time	nnt1
that	that	cst
you	you	ppy
have	have	vh0
large	large	jj
economic	economic	jj
issues	issue	nn2
that	that	cst
are	be	vbr
being	be	vbg
addressed	address	vvn
and	and	cc
creative	creative	jj
rights	right	nn2
issues	issue	nn2_vvz@
in	in	ii
our	our	appge
business	business	nn1
,	,	y
those	those	dd2
are	be	vbr
difficult	difficult	jj
to	to	to
do	do	vdi
and	and	cc
only	only	rr_jj
infrequently	infrequently	rr
are	be	vbr
we	we	ppis2
able	able	jk
to	to	to
do	do	vdi
it	it	pph1
without	without	iw
work	work	nn1
stoppages	stoppage	nn2
.	.	y
It	it	pph1
's	be	vbz
certainly	certainly	rr
our	our	appge
hope	hope	nn1
that	that	cst
in	in	ii
this	this	dd1
case	case	nn1
we	we	ppis2
'll	will	vm
be	be	vbi
able	able	jk
to	to	to
do	do	vdi
it	it	pph1
without	without	iw
--		zz
without	without	iw
a	a	at1
strike	strike	nn1
but	but	ccb
,	,	y
you	you	ppy
know	know	vv0
,	,	y
history	history	nn1
is	be	vbz
not	not	xx
particularly	particularly	rr
kind	kind	nn1_jj@
on	on	ii
that	that	dd1
subject	subject	nn1
.	.	y
@(Footage-of-Jeffrey)		zzc
@!BOWEN		zzq
:	:	y
@(Voiceover)		zzc
Jeffrey	jeffrey	np1
Katzenberg	katzenberg	np1
is	be	vbz
a	a	at1
partner	partner	nn1
in	in	ii
Dreamworks/SKG	dreamworks/skg	np1
Studios	studio	nn2
.	.	y
@!Mr-JEFFREY-KATZENB		zzq
:	:	y
I	i	ppis1
think	think	vv0
it	it	pph1
's	be	vbz
probably	probably	rr
pretty	pretty	rg
simple	simple	jj
.	.	y
I	i	ppis1
'd	have	vm
say	say	vvi
it	it	pph1
's	be	vbz
probably	probably	rr
money	money	nn1
and	and	cc
respect	respect	nn1
.	.	y
That	that	dd1
would	would	vm
be	be	vbi
literally	literally	rr
what	what	ddq
it	it	pph1
comes	come	vvz
down	down	rp
to	to	ii_to
.	.	y
You	you	ppy
know	know	vv0
,	,	y
there	there	ex
are	be	vbr
lots	lots	pn
of	of	io
ways	way	nn2
you	you	ppy
can	can	vm
package	package	vvi
those	those	dd2
issues	issue	nn2
.	.	y
But	but	ccb
in	in	ii
the	the	at
end	end	nn1
,	,	y
you	you	ppy
know	know	vv0
,	,	y
they	they	pphs2
want	want	vv0
to	to	to
be	be	vbi
paid	pay	vvn
more	more	rrr
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
--		nn1_jj
in	in	ii
their	their	appge
job	job	nn1
.	.	y
@(Footage-of-Adam-Ro)		zzc
@!BOWEN		zzq
:	:	y
@(Voiceover)		zzc
Adam	adam	np1
Rodman	rodman	np1
,	,	y
a	a	at1
former	former	da
board	board	nn1
member	member	nn1
of	of	io
the	the	at
Writers	writer	nn2
Guild	guild	nn1
,	,	y
is	be	vbz
prepared	prepare	vvn
to	to	to
strike	strike	vvi
if	if	cs
need	need	vm@
be	be	vbi
,	,	y
but	but	ccb
it	it	pph1
could	could	vm
n't	n't	xx
happen	happen	vvi
at	at	ii
a	a	at1
worse	bad	jjr
time	time	nnt1
.	.	y
Rodman	rodman	nn1_np1@
just	just	rr
signed	sign	vvn_vvd
a	a	at1
deal	deal	nn1
with	with	iw
HBO	hbo	np1
for	for	if
a	a	at1
show	show	nn1
he	he	pphs1
created	create	vvd
.	.	y
@!Mr-ADAM-RODMAN-@1S		zzq
:	:	y
We	we	ppis2
're	be	vbr
stuck	stick	vvn
like	like	ii
a	a	at1
lot	lot	nn1
of	of	io
people	people	nn
waiting	wait	vvg
to	to	to
hear	hear	vvi
if	if	csw@_cs
there	there	ex
's	be	vbz
going	go	vvgk
to	to	to
be	be	vbi
a	a	at1
strike	strike	nn1
or	or	cc
not	not	xx
and	and	cc
how	how	rrq
that	that	dd1
's	be	vbz
going	go	vvgk
to	to	to
impact	impact	vvi
us	us	ppio2
.	.	y
I	i	ppis1
mean	mean	vv0
,	,	y
HBO	hbo	np1
's	be	vbz_ge
trying	try	vvg_jj@
to	to	to
decide	decide	vvi
:	:	y
Do	do	vd0
we	we	ppis2
want	want	vvi
to	to	to
order	order	vvi
a	a	at1
series	series	nn
?	?	y
If	if	cs
we	we	ppis2
're	be	vbr
going	go	vvgk
to	to	to
order	order	vvi
a	a	at1
series	series	nn
,	,	y
how	how	rgq@_rrq
many	many	da2
episodes	episode	nn2
do	do	vd0
we	we	ppis2
order	order	vvi
?	?	y
And	and	cc
--		zz
and	and	cc
they	they	pphs2
're	be	vbr
worried	worried	jj_vvn@
,	,	y
of	of	rr21
course	course	rr22
,	,	y
about	about	ii
getting	get	vvg
caught	catch	vvn
halfway	halfway	rr_jj
through	through	ii
a	a	at1
production	production	nn1
cycle	cycle	nn1
and	and	cc
not	not	xx
being	be	vbg
able	able	jk
to	to	to
finish	finish	vvi
.	.	y
@(Footage-of-David-K)		zzc
@!Mr-DAVID-KISSINGER		zzq
:	:	y
It	it	pph1
's	be	vbz
as	as	cs21
if	if	cs22
the	the	at
orchestra	orchestra	nn1
on	on	ii
the	the	at
Titanic	titanic	np1
started	start	vvd
drilling	drill	vvg
holes	hole	nn2
just	just	rr
as	as	csa_ii
the	the	at
iceberg	iceberg	nn1
appeared	appear	vvd
.	.	y
@!BOWEN		zzq
:	:	y
@(Voiceover)		zzc
David	david	np1
Kissinger	kissinger	np1
--		nn1
yes	yes	uh
,	,	y
that	that	dd1_cst
is	be	vbz
Henry	henry	np1
's	's	ge
son	son	nn1
--		nn1
agrees	agree	vvz
that	that	cst
the	the	at
timing	timing	nn1
is	be	vbz
awful	awful	jj
.	.	y
Kissinger	kissinger	np1
is	be	vbz
president	president	nn1
of	of	io
Studios	studio	nn2
USA	usa	np1
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
With	with	iw
ad	ad	nn1
sales	sales	nn
lagging	lag	vvg_nn1
and	and	cc
the	the	at
economy	economy	nn1
sluggish	sluggish	jj
,	,	y
he	he	pphs1
believes	believe	vvz
a	a	at1
writers	writer	nn2
'	'	ge
strike	strike	nn1
could	could	vm
be	be	vbi
a	a	at1
disaster	disaster	nn1
.	.	y
@(Footage-of-strikin)		zzc
@!Mr-KISSINGER		zzq
:	:	y
The	the	at
last	last	md
time	time	nnt1
there	there	ex
was	be	vbdz
a	a	at1
major	major	jj
writers	writer	nn2
'	'	ge
strike	strike	nn1
,	,	y
in	in	ii
1988	1988	mc
,	,	y
network	network	nn1
television	television	nn1
lost	lose	vvd_vvn
,	,	y
I	i	ppis1
believe	believe	vv0
,	,	y
9	9	mc
percent	percent	nnu
of	of	io
its	its	z'
viewership	viewership	nn1
,	,	y
which	which	ddq
has	have	vhz
never	never	rr
been	be	vbn
recovered	recover	vvn
.	.	y
And	and	cc
I	i	ppis1
think	think	vv0
that	that	dd1
's	be	vbz
very	very	rg
important	important	jj
for	for	if
us	us	ppio2
to	to	to
remember	remember	vvi
as	as	csa
we	we	ppis2
contemplate	contemplate	vv0
the	the	at
possibility	possibility	nn1
of	of	io
another	another	dd1
strike	strike	nn1
,	,	y
because	because	cs
we	we	ppis2
're	be	vbr
already	already	rr
at	at	ii
a	a	at1
level	level	nn1_jj
that	that	cst_dd1
's	be	vbz
about	about	rg
50	50	mc
percent	percent	nnu
lower	low	jjr
than	than	csn
it	it	pph1
was	be	vbdz
at	at	ii
that	that	dd1
time	time	nnt1
.	.	y
qwq		xx
@		ii
(	(	y
Footage-of-		np1
"	"	y
Law-	law-	jj_nn1
&a;		null
Unidentified	unidentified	jj
Man	man	nn1
:	:	y
Ready	ready	jj
and	and	cc
mark	mark	nn1_vv0
.	.	y
Unidentified	unidentified	jj
Man	man	nn1
:	:	y
And	and	cc
action	action	nn1
.	.	y
@!BOWEN		zzq
:	:	y
@(Voiceover)		zzc
Studios	studio	nn2
USA	usa	np1
produces	produce	vvz
"	"	y
Law	law	nn1
and	and	cc
Order	order	nn1
"	"	y
and	and	cc
the	the	at
spinoff	spin-off	nn1
"	"	y
Special	special	jj
Victims	victim	nn2
Unit	unit	nn1
,	,	y
"	"	y
both	both	rr_db2
created	create	vvn
by	by	ii
writer-producer	writer-producer	jj_nn1
Dick	dick	np1
Wolf	wolf	nn1_np1@
.	.	y
Wolf	wolf	nn1_np1@
has	have	vhz
been	be	vbn
criticized	criticize	vvn
for	for	if
making	make	vvg
extra	extra	jj
episodes	episode	nn2
of	of	io
the	the	at
two	two	mc
shows	show	nn2_vvz
as	as	ii_csa
a	a	at1
hedge	hedge	nn1
against	against	ii
a	a	at1
strike	strike	nn1
.	.	y
Some	some	dd
other	other	jj
producers	producer	nn2
refused	refuse	vvd_vvn
network	network	nn1
requests	request	nn2_vvz@
to	to	to
accelerate	accelerate	vvi
production	production	nn1
.	.	y
Unidentified	unidentified	jj
Man	man	nn1
:	:	y
Cut	cut	vv0
.	.	y
@!Mr-DICK-WOLF-@1Wri		zzq
:	:	y
I	i	ppis1
do	do	vd0
n't	n't	xx
really	really	rr
consider	consider	vvi
it	it	pph1
accelerated	accelerated	jj_vvd
production	production	nn1
.	.	y
It	it	pph1
's	be	vbz
a	a	at1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
"	"	y
Special	special	jj
Victims	victim	nn2
Unit	unit	nn1
,	,	y
"	"	y
we	we	ppis2
have	have	vh0
multiple	multiple	jj
year	year	nnt1
pickups.	pickups	nnu
qwq		xx
@		ii
(	(	y
Footage-from-		np1
"	"	y
