##1008654		
WHEN	when	rrq_cs
coming	come	vvg
with	with	iw
me	me	ppio1
.	.	y
"	"	y
It	it	pph1
was	be	vbdz
hard	hard	rr
not	not	xx
to	to	to
stop	stop	vvi
and	and	cc
open	open	vvi
the	the	at
door	door	nn1
to	to	ii
Mother	mother	nn1
's	's	ge
room	room	nn1
as	as	csa
I	i	ppis1
went	go	vvd
to	to	to
fetch	fetch	vvi
Mama	mama	nn1
's	's	ge
coat	coat	nn1
.	.	y
I	i	ppis1
could	could	vm
hear	hear	vvi
the	the	at
treadle	treadle	nn1
of	of	io
the	the	at
sewing	sewing	nn1
machine	machine	nn1_vv0
rocking	rock	vvg
back	back	rp
and	and	cc
forth	forth	rr
in	in	ii
rhythm	rhythm	nn1
to	to	ii
her	her	appge
foot	foot	nn1
and	and	cc
the	the	at
jerky	jerky	jj
sound	sound	nn1
of	of	io
the	the	at
bobbin	bobbin	nn1
as	as	ii_csa
the	the	at
needle	needle	nn1
moved	move	vvd_vvn
in	in	rp@_ii
and	and	cc
out	out	ii21
of	of	ii22
the	the	at
cloth	cloth	nn1
.	.	y
Sometimes	sometimes	rt
I	i	ppis1
was	be	vbdz
allowed	allow	vvn
to	to	to
sit	sit	vvi
quietly	quietly	rr
and	and	cc
watch	watch	vvi
her	her	ppho1
sew	sew	vv0
.	.	y
Mother	mother	nn1
was	be	vbdz
the	the	at
creative	creative	jj
one	one	pn1
in	in	ii
the	the	at
family	family	nn1
.	.	y
Everybody	everybody	pn1
said	say	vvd
so	so	rr
.	.	y
Sewing	sewing	nn1
was	be	vbdz
her	her	appge
specialty	specialty	nn1
.	.	y
She	she	pphs1
could	could	vm
make	make	vvi
a	a	at1
dress	dress	nn1
out	out	ii21
of	of	ii22
anything	anything	pn1
,	,	y
and	and	cc
give	give	vv0
it	it	pph1
style	style	nn1_vv0%
too	too	rr@
.	.	y
Once	once	rr
,	,	y
she	she	pphs1
owned	own	vvd
a	a	at1
dress	dress	nn1
shop	shop	nn1_vv0@
downtown	downtown	rl
,	,	y
but	but	ccb
she	she	pphs1
lost	lose	vvd
it	it	pph1
on	on	ii31
account	account	ii32
of	of	ii33
the	the	at
Depression	depression	nn1
.	.	y
All	all	db
the	the	at
doctors	doctor	nn2
"	"	y
wives	wife	nn2
in	in	ii
town	town	nn1
still	still	rr
came	come	vvd
to	to	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
this	this	dd1
year	year	nnt1
there	there	ex
were	be	vbdr
fewer	fewer	dar
requests	request	nn2
.	.	y
Aunt	aunt	nnb
Vivienne	vivienne	np1
said	say	vvd
folks	folk	nn2
were	be	vbdr
pinching	pinch	vvg
pennies	penny	nnu2
until	until	cs_ii@
President	president	nnb
Lincoln	lincoln	np1
squealed	squeal	vvd
.	.	y
Aunt	aunt	nnb
Vivienne	vivienne	np1
had	have	vhd
the	the	at
only	only	jj
regular	regular	jj
job	job	nn1
.	.	y
She	she	pphs1
worked	work	vvd
for	for	if
Dr.	dr	nnb
Hedges	hedges	np1
and	and	cc
Dr.	dr	nnb
Hayward	hayward	np1
as	as	csa_ii@
their	their	appge
assistant	assistant	nn1_jj
.	.	y
Mother	mother	nn1
,	,	y
who	who	pnqs
was	be	vbdz
a	a	rr21
little	little	rr22
squeamish	squeamish	vv0_jj
,	,	y
said	say	vvd
she	she	pphs1
did	do	vdd
n't	n't	xx
know	know	vvi
how	how	rrq
"	"	y
Sister	sister	nn1
"	"	y
could	could	vm
stand	stand	vvi
to	to	to
watch	watch	vvi
people	people	nn
in	in	ii
pain	pain	nn1
.	.	y
Aunt	aunt	nnb
Vivienne	vivienne	np1
answered	answer	vvd
,	,	y
"	"	y
No	no	xx
old	old	jj
blood	blood	nn1
or	or	cc
pus	pus	nn1
can	can	vm
scare	scare	vvi
me	me	ppio1
away	away	ii21_rl
from	from	ii22_ii
paying	pay	vvg
the	the	at
rent	rent	nn1
.	.	y
"	"	y
Neither	neither	rr
Mama	mama	nn1
nor	nor	cc
Mother	mother	nn1
nor	nor	cc
even	even	rr
Aunt	aunt	nnb
Vivienne	vivienne	np1
ever	ever	rr
talked	talk	vvn_vvd
about	about	ii
being	be	vbg
poor	poor	jj
.	.	y
Mama	mama	nn1
said	say	vvd
it	it	pph1
was	be	vbdz
n't	n't	xx
dignified	dignified	jj
to	to	to
call	call	vvi
people	people	nn
who	who	pnqs
could	could	vm
pay	pay	vvi
for	for	if
a	a	at1
roof	roof	nn1
over	over	ii_rp
their	their	appge
heads	head	nn2
"	"	y
poor	poor	jj
.	.	y
"	"	y
We	we	ppis2
were	be	vbdr
simply	simply	rr
"	"	y
economizing	economize	vvg
.	.	y
"	"	y
Mama	mama	nn1
had	have	vhd
a	a	at1
lot	lot	nn1
of	of	io
opinions	opinion	nn2
about	about	ii
dignity	dignity	nn1
.	.	y
She	she	pphs1
told	tell	vvd
Aunt	aunt	nnb
Vivienne	vivienne	np1
it	it	pph1
was	be	vbdz
n't	n't	xx
dignified	dignified	jj
for	for	if
a	a	at1
lady	lady	nn1
to	to	to
drink	drink	vvi
beer	beer	nn1
and	and	cc
smoke	smoke	vvi
cigarettes	cigarette	nn2
,	,	y
two	two	mc
of	of	io
Aunt	aunt	nnb
Vivienne	vivienne	np1
's	's	ge
favorite	favorite	jj_nn1
pastimes	pastime	nn2
.	.	y
"	"	y
Where	where	rrq
are	be	vbr
we	we	ppis2
going	go	vvg
?	?	y
"	"	y
I	i	ppis1
asked	ask	vvd
,	,	y
after	after	cs
I	i	ppis1
brought	bring	vvd
Mama	mama	nn1
her	her	appge
coat	coat	nn1
.	.	y
Mama	mama	nn1
bent	bend	vvd_vvn
down	down	rp
to	to	to
wrap	wrap	vvi
my	my	appge
muffler	muffler	nn1
more	more	rgr_rrr
securely	securely	rr
around	around	ii_rp
my	my	appge
neck	neck	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
face	face	nn1
smiled	smile	vvd
.	.	y
If	if	cs
there	there	ex
was	be	vbdz
shopping	shop	vvg
to	to	to
do	do	vdi
,	,	y
everything	everything	pn1
would	would	vm
be	be	vbi
all	all	rr@_db
right	right	jj
.	.	y
As	as	csa
we	we	ppis2
walked	walk	vvd
down	down	rp_ii@
Terrell	terrell	np1
Avenue	avenue	nnl1
hand	hand	nn1
in	in	ii
hand	hand	nn1
,	,	y
people	people	nn
would	would	vm
speak	speak	vvi
and	and	cc
nod	nod	vvi
to	to	ii
us	us	ppio2
.	.	y
Mama	mama	nn1
nodded	nod	vvd_vvn@
to	to	ii_to
only	only	rr
those	those	dd2
she	she	pphs1
already	already	rr
knew	know	vvd
.	.	y
With	with	iw
a	a	at1
narrow	narrow	jj
frame	frame	nn1
and	and	cc
ramrodstraight	ramrodstraight	vv0_nn1
posture	posture	nn1
,	,	y
Mama	mama	nn1
had	have	vhd
an	a	at1
expression	expression	nn1
as	as	rg
serious	serious	jj
as	as	csa
Judgment	judgment	nn1
.	.	y
Mother	mother	nn1
said	say	vvd
that	that	dd1_cst
was	be	vbdz
because	because	cs
Mama	mama	nn1
had	have	vhd
had	have	vhn
a	a	at1
hard	hard	jj
life	life	nn1
.	.	y
Mama	mama	nn1
's	's	ge
hair	hair	nn1
was	be	vbdz
pewter	pewter	nn1
gray	gray	nn1@_jj
.	.	y
Scraped	scrape	vvn_vvd
back	back	rp
in	in	ii
a	a	at1
bun	bun	nn1
when	when	rrq
she	she	pphs1
did	do	vdd
her	her	appge
chores	chore	nn2
,	,	y
it	it	pph1
was	be	vbdz
taken	take	vvn
down	down	rp
nightly	nightly	rr_jj
for	for	if
one	one	mc1
hundred	hundred	m
strokes	stroke	nn2
.	.	y
Then	then	rt
it	it	pph1
hung	hang	vvd
below	below	ii
her	her	appge
hips	hip	nn2
and	and	cc
made	make	vvd
her	her	appge_ppho1
look	look	nn1_vv0
just	just	rr
like	like	ii
the	the	at
witch	witch	nn1
in	in	ii
my	my	appge
storybook	storybook	nn1
of	of	io
classic	classic	jj_nn1
tales	tale	nn2
.	.	y
When	when	cs_rrq
I	i	ppis1
was	be	vbdz
small	small	jj
,	,	y
I	i	ppis1
would	would	vm
hide	hide	vvi
and	and	cc
watch	watch	vvi
until	until	cs_ii@
the	the	at
brush	brush	nn1
strokes	stroke	nn2
were	be	vbdr
done	do	vdn
,	,	y
and	and	cc
Mama	mama	nn1
put	put	vvd_vvn_vv0
back	back	rp
her	her	appge
prized	prized	jj
tortoiseshell	tortoiseshell	nn1
pins	pin	nn2
to	to	to
hold	hold	vvi
her	her	appge
hair	hair	nn1
in	in	ii
place	place	nn1
.	.	y
Mrs.	mrs	nnb
Jackson	jackson	np1
once	once	rr
exclaimed	exclaim	vvn_vvd
that	that	dd1_cst
Mama	mama	nn1
must	must	vm
have	have	vhi
a	a	at1
lot	lot	nn1
of	of	io
Indian	indian	jj_nn1@
in	in	ii
her	her	ppho1
,	,	y
on	on	ii31
account	account	ii32
of	of	ii33
that	that	dd1
long	long	jj_rr
straight	straight	jj
hair	hair	nn1
.	.	y
Mama	mama	nn1
never	never	rr
answered	answer	vvn_vvd
what	what	ddq
she	she	pphs1
called	call	vvd@
impudent	impudent	jj
questions	question	nn2
.	.	y
Mostly	mostly	rr
it	it	pph1
was	be	vbdz
her	her	appge
way	way	nn1
of	of	io
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
gave	give	vvd
people	people	nn
a	a	at1
start	start	nn1
.	.	y
After	after	cs_ii
that	that	dd1
look	look	nn1
,	,	y
most	most	dat
folks	folk	nn2
never	never	rr
bothered	bothered	jj_vvn
Mama	mama	nn1
twice	twice	rr
.	.	y
It	it	pph1
was	be	vbdz
a	a	at1
long	long	jj
walk	walk	nn1_vv0
up	up	ii21
to	to	ii22
Rosedale	rosedale	np1
Street	street	nnl1
on	on	ii
a	a	at1
gray	gray	jj
winter	winter	nnt1
day	day	nnt1
,	,	y
but	but	ccb
I	i	ppis1
did	do	vdd
n't	n't	xx
care	care	vvi
one	one	pn1_mc1
bit	bite	vvd_nn1
about	about	ii
the	the	at
cold	cold	jj_nn1
or	or	cc
the	the	at
damp	damp	jj_nn1@
.	.	y
As	as	rr21
usual	usual	rr22
,	,	y
we	we	ppis2
went	go	vvd
first	first	md
to	to	ii
the	the	at
poultry	poultry	nn
market	market	vv0_nn1
.	.	y
Most	most	dat
times	time	nnt2
Mama	mama	nn1
picked	pick	vvd_vvn
out	out	rp
a	a	at1
fresh	fresh	jj
chicken	chicken	nn1
.	.	y
But	but	ccb
this	this	dd1
was	be	vbdz
Christmas	christmas	nnt1
.	.	y
We	we	ppis2
were	be	vbdr
going	go	vvgk
to	to	to
have	have	vhi
turkey	turkey	nn1
!	!	y
The	the	at
poultry	poultry	nn
man	man	nn1
tried	try	vvd
to	to	to
sell	sell	vvi
her	her	ppho1
on	on	ii_rp@
a	a	at1
particular	particular	jj
bird	bird	nn1
,	,	y
but	but	ccb
Mama	mama	nn1
never	never	rr
let	let	vv0
anyone	anyone	pn1
make	make	vvi
her	her	appge
choice	choice	nn1
for	for	if
her	her	ppho1
.	.	y
The	the	at
cages	cage	nn2
were	be	vbdr
stacked	stack	vvn_jj
one	one	pn1
on	on	ii31
top	top	ii32
of	of	ii33
another	another	dd1
until	until	cs
they	they	pphs2
reached	reach	vvd
higher	high	jjr_rrr@
than	than	csn
a	a	at1
man	man	nn1
's	's	ge
head	head	nn1
.	.	y
Inside	inside	ii_rl
each	each	dd1
was	be	vbdz
a	a	at1
whiteand-gray	whiteand-gray	jj
turkey	turkey	nn1
squawking	squawk	vvg
in	in	ii
complaint	complaint	nn1
.	.	y
Still	still	rr
holding	hold	vvg
my	my	appge
hand	hand	nn1
,	,	y
Mama	mama	nn1
walked	walk	vvd
slowly	slowly	rr
up	up	rp
and	and	cc
down	down	rp
until	until	cs
she	she	pphs1
spied	spy	vvd
one	one	pn1
she	she	pphs1
liked	like	vvd
.	.	y
Then	then	rt
she	she	pphs1
bent	bend	vvd
down	down	rp
and	and	cc
pushed	push	vvd_vvn
two	two	mc
fingers	finger	nn2
through	through	ii
the	the	at
wire	wire	nn1
mesh	mesh	nn1
of	of	io
the	the	at
cage	cage	nn1
and	and	cc
squeezed	squeeze	vvd
the	the	at
bird	bird	nn1
's	's	ge
leg	leg	nn1
to	to	to
see	see	vvi
if	if	csw@_cs
it	it	pph1
was	be	vbdz
as	as	rg@
plump	plump	jj
and	and	cc
tender	tender	jj
as	as	csa
it	it	pph1
looked	look	vvd
.	.	y
"	"	y
You	you	ppy
ca	can	vm
n't	n't	xx
go	go	vvi
by	by	ii
the	the	at
plumage	plumage	nn1
,	,	y
"	"	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
that	that	cst_dd1
tells	tell	vvz
the	the	at
story	story	nn1
.	.	y
"	"	y
When	when	cs_rrq
she	she	pphs1
found	find	vvd
the	the	at
right	right	jj
one	one	pn1
,	,	y
a	a	at1
tiny	tiny	jj
nod	nod	nn1
of	of	io
satisfaction	satisfaction	nn1
was	be	vbdz
her	her	appge
only	only	jj
comment	comment	nn1
.	.	y
The	the	at
poultry	poultry	nn
man	man	nn1
put	put	vvd_vvn_vv0
a	a	at1
tag	tag	nn1
on	on	ii
the	the	at
turkey	turkey	nn1
's	's	ge
leg	leg	nn1
and	and	cc
gave	give	vvd
Mama	mama	nn1
a	a	at1
claim	claim	nn1
ticket	ticket	nn1
so	so	cs@_rr
we	we	ppis2
could	could	vm
pick	pick	vvi
it	it	pph1
up	up	rp
later	later	rrr_jjr
.	.	y
A	a	zz1
&P;	&p;	x
was	be	vbdz
next	next	md
.	.	y
From	from	ii
a	a	at1
few	few	da2
days	day	nnt2
before	before	ii_cs
Thanksgiving	thanksgiving	nn1
straight	straight	rr
through	through	ii
Christmas	christmas	nnt1
,	,	y
grocers	grocer	nn2
stocked	stock	vvd_vvn
things	thing	nn2
seldom	seldom	rr
seen	see	vvn
any	any	dd
other	other	jj
time	time	nnt1
of	of	io
year	year	nnt1
:	:	y
figs	fig	nn2
and	and	cc
dates	date	nn2_vvz
,	,	y
persimmons	persimmon	nn2_vvz
and	and	cc
pomegranates	pomegranate	nn2
,	,	y
filberts	filbert	nn2
and	and	cc
walnuts	walnut	nn2
,	,	y
candied	candy	vvd_jj@
cherries	cherry	nn2
and	and	cc
pineapple	pineapple	nn1
rings	ring	nn2_vvz
.	.	y
Fresh	fresh	jj
oranges	orange	nn2
not	not	xx
seen	see	vvn
since	since	ii@_cs
summer	summer	nnt1
reappeared	reappear	vvd
.	.	y
And	and	cc
,	,	y
once	once	rr_cs@
a	a	at1
year	year	nnt1
,	,	y
there	there	ex
were	be	vbdr
coconuts	coconut	nn2
.	.	y
I	i	ppis1
walked	walk	vvd
impatiently	impatiently	rr
beside	beside	ii
Mama	mama	nn1
as	as	csa
she	she	pphs1
filled	fill	vvd
her	her	appge
basket	basket	nn1
with	with	iw
sugar	sugar	nn1
and	and	cc
butter	butter	nn1
and	and	cc
cornmeal	cornmeal	nn1
and	and	cc
then	then	rt
,	,	y
in	in	ii
the	the	at
vegetable	vegetable	nn1
aisle	aisle	nn1
,	,	y
big	big	jj
white	white	jj
onions	onion	nn2
that	that	cst
were	be	vbdr
flattish	flattish	jj
rather	rather	cs21
than	than	cs22
round	round	vvi
.	.	y
Mama	mama	nn1
informed	inform	vvd
me	me	ppio1
that	that	cst
the	the	at
flattish	flattish	jj
ones	one	z'
were	be	vbdr
sweeter	sweet	jjr
.	.	y
Finally	finally	rr
,	,	y
Mama	mama	nn1
turned	turn	vvd_vvn
to	to	ii
me	me	ppio1
and	and	cc
said	say	vvd
,	,	y
"	"	y
You	you	ppy
better	better	rrr
go	go	vvi
get	get	vv0
a	a	at1
coconut	coconut	nn1
.	.	y
"	"	y
"	"	y
Yes	yes	uh
,	,	y
Mama	mama	nn1
!	!	y
"	"	y
Coconuts	coconut	nn2
fascinated	fascinate	vvn_vvd@
me	me	ppio1
.	.	y
It	it	pph1
seemed	seem	vvd
impossible	impossible	jj
that	that	cst_dd1
what	what	ddq
looked	look	vvd
like	like	ii
an	a	at1
ugly	ugly	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
so	so	rg_rr
white	white	jj
and	and	cc
crunchy	crunchy	jj
sweet	sweet	nn1@_jj
inside	inside	ii
its	its	z'
hairy	hairy	jj
brown	brown	jj
shell	shell	z'
.	.	y
I	i	ppis1
reached	reach	vvd
the	the	at
coconut	coconut	nn1
crate	crate	nn1
,	,	y
but	but	ccb
all	all	db_rr@
I	i	ppis1
could	could	vm
see	see	vvi
there	there	ex_rl
was	be	vbdz
empty	empty	jj
space	space	nn1
.	.	y
My	my	appge
stomach	stomach	nn1
made	make	vvd_vvn
a	a	at1
fist	fist	nn1
.	.	y
Then	then	rt
I	i	ppis1
spied	spy	vvd
it	it	pph1
,	,	y
half	half	rr@_db
covered	cover	vvn
by	by	ii
straw	straw	nn1
:	:	y
the	the	at
very	very	rg
last	last	md
coconut	coconut	nn1
.	.	y
I	i	ppis1
was	be	vbdz
concentrating	concentrate	vvg
on	on	ii
it	it	pph1
so	so	rg_rr
hard	hard	jj_rr
that	that	cst
I	i	ppis1
did	do	vdd
n't	n't	xx
see	see	vvi
the	the	at
hand	hand	nn1
reaching	reach	vvg
past	past	ii
my	my	appge
head	head	nn1
until	until	cs
it	it	pph1
snatched	snatch	vvd
up	up	rp_ii@
the	the	at
coconut	coconut	nn1
.	.	y
"	"	y
Hey	hey	uh
!	!	y
"	"	y
I	i	ppis1
looked	look	vvd
up	up	rp
.	.	y
Mrs.	mrs	nnb
Margery	margery	np1
Holmes	holmes	np1
,	,	y
the	the	at
plumber	plumber	nn1
's	's	ge
wife	wife	nn1
,	,	y
was	be	vbdz
towering	tower	vvg
over	over	ii_rp
me	me	ppio1
,	,	y
and	and	cc
she	she	pphs1
was	be	vbdz
n't	n't	xx
smiling	smile	vvg_jj
.	.	y
"	"	y
Eva	eva	np1
!	!	y
"	"	y
I	i	ppis1
knew	know	vvd
by	by	ii
the	the	at
tone	tone	nn1
that	that	cst
it	it	pph1
was	be	vbdz
Mama	mama	nn1
who	who	pnqs
had	have	vhd
come	come	vvn
up	up	rp
behind	behind	ii
me	me	ppio1
.	.	y
I	i	ppis1
whipped	whip	vvd
around	around	rp
.	.	y
"	"	y
Mama	mama	nn1
,	,	y
she	she	pphs1
took	take	vvd
our	our	appge
coconut	coconut	nn1
!	!	y
"	"	y
Mrs.	mrs	nnb
Holmes	holmes	np1
stiffened	stiffen	vvd
.	.	y
"	"	y
I	i	ppis1
'm	be	vbm
sorry	sorry	jj
,	,	y
Mrs.	mrs	nnb
Anderson	anderson	np1
,	,	y
but	but	ccb
I	i	ppis1
saw	see	vvd
it	it	pph1
first	first	md
.	.	y
"	"	y
"	"	y
That	that	dd1
's	be	vbz
not	not	xx
true	true	jj_rr%
,	,	y
Mama	mama	nn1
.	.	y
It	it	pph1
's	be	vbz
ours	ours	ppge
.	.	y
"	"	y
But	but	ccb
Mama	mama	nn1
just	just	rr
stood	stand	vvd_vvn@
there	there	rl
silent	silent	jj
while	while	cs
Mrs.	mrs	nnb
Holmes	holmes	np1
clutched	clutch	vvd
that	that	cst_dd1
little	little	da1_rr_jj
brown	brown	jj
coconut	coconut	nn1
to	to	ii
her	her	appge
bosom	bosom	nn1
like	like	ii
it	it	pph1
was	be	vbdz
a	a	at1
baby	baby	nn1
's	's	ge
head	head	nn1
.	.	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
somewhere	somewhere	rl
else	else	rr
,	,	y
child	child	nn1
.	.	y
"	"	y
"	"	y
But	but	ccb
where	where	rrq
?	?	y
"	"	y
I	i	ppis1
was	be	vbdz
wailing	wail	vvg
now	now	rt
.	.	y
I	i	ppis1
never	never	rr
understood	understand	vvd
why	why	rrq
an	a	at1
adult	adult	nn1
's	's	ge
word	word	nn1
was	be	vbdz
better	better	rrr_jjr
than	than	csn
a	a	at1
child	child	nn1
's	's	ge
.	.	y
"	"	y
She	she	pphs1
stole	steal	vvd
it	it	pph1
!	!	y
"	"	y
Mama	mama	nn1
took	take	vvd
me	me	ppio1
by	by	ii
the	the	at
arm	arm	nn1
and	and	cc
marched	march	vvd_vvn
up	up	rp_ii@
the	the	at
aisle	aisle	nn1
to	to	ii
the	the	at
checkout	checkout	nn1
counter	counter	nn1
.	.	y
People	people	nn
were	be	vbdr
watching	watch	vvg
us	us	ppio2
.	.	y
I	i	ppis1
could	could	vm
feel	feel	vvi
their	their	appge
eyes	eye	nn2
like	like	ii
ants	ant	nn2
running	run	vvg
across	across	ii
my	my	appge
back	back	nn1
.	.	y
But	but	ccb
Mama	mama	nn1
did	do	vdd
n't	n't	xx
seem	seem	vvi
to	to	to
notice	notice	vvi
.	.	y
She	she	pphs1
put	put	vvd
her	her	appge
things	thing	nn2
on	on	ii
the	the	at
counter	counter	nn1
.	.	y
"	"	y
Do	do	vd0
you	you	ppy
have	have	vhi
more	more	dar
coconuts	coconut	nn2
in	in	ii
back	back	nn1
?	?	y
"	"	y
she	she	pphs1
asked	ask	vvd
the	the	at
cashier	cashier	nn1
.	.	y
"	"	y
No	no	xx
,	,	y
ma'am	ma'am	nn1
.	.	y
This	this	dd1
close	close	jj_rr
to	to	ii
Christmas	christmas	nnt1
,	,	y
all	all	db_rr@
we	we	ppis2
got	get	vvd_vvn
is	be	vbz
out	out	rp
.	.	y
"	"	y
Mama	mama	nn1
made	make	vvd_vvn
a	a	at1
little	little	jj
sound	sound	nn1
like	like	ii
a	a	at1
sigh	sigh	nn1
and	and	cc
then	then	rt
watched	watch	vvd_vvn@
as	as	csa
he	he	pphs1
weighed	weigh	vvd
her	her	appge
purchases	purchase	nn2
.	.	y
I	i	ppis1
had	have	vhd
n't	n't	xx
really	really	rr
cried	cry	vvn
,	,	y
but	but	ccb
my	my	appge
eyes	eye	nn2
felt	feel	vvd_vvn
like	like	cs%_ii_rr%
I	i	ppis1
'd	have	vhd
rubbed	rub	vvn
them	them	ppho2
with	with	iw
sandpaper	sandpaper	nn1
as	as	csa
we	we	ppis2
walked	walk	vvd
out	out	ii21
of	of	ii22
the	the	at
A	a	zz1
&P;	&p;	x
Mama	mama	nn1
paused	pause	vvd
to	to	to
speak	speak	vvi
to	to	ii
the	the	at
young	young	jj
man	man	nn1
who	who	pnqs
was	be	vbdz
selling	sell	vvg
Christmas	christmas	nnt1
trees	tree	nn2
nearby	nearby	rl
.	.	y
"	"	y
I	i	ppis1
'll	will	vm
keep	keep	vvi
you	you	ppy
a	a	at1
good	good	jj
one	one	pn1
back	back	rp
,	,	y
"	"	y
I	i	ppis1
heard	hear	vvd
him	him	ppho1
say	say	vvi
.	.	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
without	without	iw
Mother	mother	nn1
's	's	ge
coconut	coconut	nn1
cake-I	cake-i	nn1
could	could	vm
not	not	xx
catch	catch	vvi
my	my	appge
breath	breath	nn1
just	just	rr
thinking	think	vvg
about	about	ii
it	it	pph1
.	.	y
In	in	ii
silence	silence	nn1
we	we	ppis2
walked	walk	vvd
over	over	rp
to	to	ii
the	the	at
Piggly	piggly	np1
Wiggly	wiggly	np1
,	,	y
the	the	at
other	other	jj
grocer	grocer	nn1
in	in	ii
our	our	appge
neighborhood	neighborhood	nn1
.	.	y
Mama	mama	nn1
made	make	vvd
me	me	ppio1
wait	wait	nn1@
inside	inside	ii
the	the	at
doorway	doorway	nn1
while	while	cs
she	she	pphs1
went	go	vvd
to	to	ii
the	the	at
produce	produce	nn1@
section	section	nn1
.	.	y
"	"	y
They	they	pphs2
are	be	vbr
all	all	db
out	out	rp
.	.	y
"	"	y
That	that	dd1
's	be	vbz
all	all	db
she	she	pphs1
said	say	vvd
when	when	rrq
she	she	pphs1
came	come	vvd
back	back	rp
.	.	y
"	"	y
Times	time	nnt2
are	be	vbr
different	different	jj
.	.	y
We	we	ppis2
'll	will	vm
have	have	vhi
to	to	to
make	make	vvi
do	do	vdi
,	,	y
"	"	y
Mama	mama	nn1
said	say	vvd_vvn@
to	to	ii
Mother	mother	nn1
in	in	ii
explanation	explanation	nn1
when	when	cs_rrq
we	we	ppis2
got	get	vvd
home	home	rl
,	,	y
I	i	ppis1
squeezed	squeeze	vvd
my	my	appge
eyes	eye	nn2
shut	shut	vvn_vv0_vvd
until	until	cs
they	they	pphs2
stung	sting	vvd
,	,	y
trying	try	vvg
to	to	to
keep	keep	vvi
back	back	rp
the	the	at
tears	tear	nn2
,	,	y
but	but	ccb
they	they	pphs2
came	come	vvd
anyway	anyway	rr
.	.	y
Mother	mother	nn1
held	hold	vvd
me	me	ppio1
while	while	cs
I	i	ppis1
cried	cry	vvd
.	.	y
AUNT	aunt	nn1
VIVIENNE	vivienne	nn1_np1
ALWAYS	always	rr
BROUGHT	bring	vvn_vvd
FUN	fun	nn1_jj
into	into	ii
the	the	at
house	house	nn1
.	.	y
Today	today	rt
she	she	pphs1
came	come	vvd
off	off	ii_rp
the	the	at
streetcar	streetcar	nn1
with	with	iw
a	a	at1
big	big	jj
fat	fat	jj_nn1
grin	grin	nn1
.	.	y
She	she	pphs1
wore	wear	vvd
a	a	at1
black	black	jj
tam	tam	nn1
over	over	ii_rp
her	her	appge_ppho1
bobbed	bobbed	jj@
hair	hair	nn1
that	that	cst
curled	curl	vvd
around	around	rp_ii
her	her	appge
ears	ear	nn2
and	and	cc
deep	deep	jj
red	red	jj_nn1
lipstick	lipstick	nn1
that	that	cst
made	make	vvd
her	her	appge
mouth	mouth	nn1
look	look	vvi
like	like	ii
a	a	at1
juicy	juicy	jj
plum	plum	nn1
.	.	y
I	i	ppis1
could	could	vm
n't	n't	xx
wait	wait	vvi
to	to	to
be	be	vbi
old	old	jj
enough	enough	rr
to	to	to
wear	wear	vvi
lipstick	lipstick	nn1
.	.	y
She	she	pphs1
never	never	rr
wore	wear	vvd
her	her	appge
nurse	nurse	nn1
's	's	ge
uniform	uniform	jj_nn1
home	home	nn1_rl
.	.	y
Always	always	rr
changed	change	vvn
into	into	ii
street	street	nn1
clothes	clothes	nn2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
brown	brown	jj
bag	bag	nn1
.	.	y
She	she	pphs1
snapped	snap	vvd
her	her	appge
fingers	finger	nn2
and	and	cc
pointed	point	vvd_vvn
at	at	ii
me	me	ppio1
,	,	y
saying	say	vvg
,	,	y
"	"	y
How	how	rrq
's	be	vbz_vhz@
tricks	trick	nn2
?	?	y
"	"	y
Most	most	dat
days	day	nnt2
this	this	dd1
made	make	vvd
me	me	ppio1
smile	smile	nn1
.	.	y
Today	today	rt
I	i	ppis1
blurted	blurt	vvd
out	out	rp
,	,	y
"	"	y
There	there	ex
's	be	vbz
no	no	at
more	more	dar
coconuts	coconut	nn2
at	at	ii
the	the	at
A	a	zz1
&P";	&p";	x
Aunt	aunt	nnb
Vivienne	vivienne	np1
glanced	glance	vvd
at	at	ii
Mother	mother	nn1
.	.	y
"	"	y
Thought	thought	nn1_vvd_vvn
you	you	ppy
bought	buy	vvd
one	one	mc1_pn1
last	last	md
week	week	nnt1
,	,	y
Sister	sister	nn1
.	.	y
"	"	y
Mother	mother	nn1
looked	look	vvd_vvn
even	even	rr
sadder	sad	jjr
.	.	y
"	"	y
I	i	ppis1
was	be	vbdz
waiting	wait	vvg
to	to	to
get	get	vvi
paid	pay	vvn
.	.	y
"	"	y
Aunt	aunt	nnb
Vivienne	vivienne	np1
's	's	ge
mouth	mouth	nn1
pruned	prune	vvd
up	up	rp
