##4001269		
ABSTRACT	abstract	jj_nn1@_vv0@
in	in	ii
the	the	at
crash	crash	nn1
.	.	y
These	these	dd2
issues	issue	nn2
demand	demand	vv0
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
have	have	vh0
shown	show	vvn
that	that	dd1_cst
belief	belief	nn1
that	that	cst
a	a	at1
vehicle	vehicle	nn1
crashed	crash	vvn@_jj@
has	have	vhz
no	no	at
influence	influence	nn1
on	on	ii
witnesses	witness	nn2
'	'	ge
reports	report	nn2
of	of	io
the	the	at
way	way	nn1
a	a	at1
civilian	civilian	jj_nn1
car	car	nn1
is	be	vbz
driven	drive	vvn_jj
,	,	y
but	but	ccb
when	when	rrq_cs
a	a	at1
police	police	nn2
car	car	nn1
with	with	iw
flashing	flash	vvg_jj@
lights	light	nn2
and	and	cc
sirens	siren	nn2
is	be	vbz
supposedly	supposedly	rr
involved	involved	jj
in	in	ii
a	a	at1
crash	crash	nn1
,	,	y
witnesses	witness	nn2
are	be	vbr
likely	likely	jj
to	to	to
overestimate	overestimate	vvi
the	the	at
speed	speed	nn1
,	,	y
the	the	at
likelihood	likelihood	nn1
of	of	io
someone	someone	pn1
being	be	vbg
killed	kill	vvn
,	,	y
and	and	cc
the	the	at
likelihood	likelihood	nn1
of	of	io
a	a	at1
crash	crash	nn1
.	.	y
The	the	at
implication	implication	nn1
is	be	vbz
that	that	dd1_cst_rg%
anecdotal	anecdotal	jj
reports	report	nn2
from	from	ii
police	police	nn2
officers	officer	nn2
who	who	pnqs
have	have	vh0
been	be	vbn
involved	involved	jj
in	in	ii
accidents	accident	nn2
when	when	cs_rrq
they	they	pphs2
had	have	vhd
lights	light	nn2
and	and	cc
sirens	siren	nn2
on	on	ii_rp@
may	may	vm
well	well	rr
be	be	vbi
correct	correct	jj
.	.	y
The	the	at
lights	light	nn2
and	and	cc
sirens	siren	nn2
and	and	cc
knowledge	knowledge	nn1
that	that	cst
a	a	at1
crash	crash	nn1
occurred	occur	vvd_vvn@
may	may	vm
lead	lead	vvi
witnesses	witness	nn2
to	to	to
overestimate	overestimate	vvi
speed	speed	nn1
.	.	y
Of	of	rr21
course	course	rr22
,	,	y
it	it	pph1
should	should	vm
be	be	vbi
kept	keep	vvn
in	in	ii
mind	mind	nn1
that	that	cst
in	in	ii
real	real	jj
cases	case	nn2
police	police	vv0%_nn2
officers	officer	nn2
may	may	vm
minimize	minimize	vvi
their	their	appge
speed	speed	nn1
to	to	to
prevent	prevent	vvi
disciplinary	disciplinary	jj
measures	measure	nn2
.	.	y
Nevertheless	nevertheless	rr
,	,	y
these	these	dd2
results	result	nn2
suggest	suggest	vv0
that	that	cst
witnesses	witness	nn2
'	'	ge
descriptions	description	nn2
of	of	io
crashes	crash	nn2
involving	involve	vvg
police	police	nn2
vehicles	vehicle	nn2
using	use	vvg
flashing	flashing	jj@_vvg_nn1@
lights	light	nn2
and	and	cc
sirens	siren	nn2
should	should	vm
be	be	vbi
treated	treat	vvn
with	with	iw
caution	caution	nn1
.	.	y
<p>	<p>	y
The	the	at
authors	author	nn2
thank	thank	vv0
the	the	at
British	british	jj
Academy	academy	nn1
for	for	if
the	the	at
award	award	nn1
of	of	io
a	a	at1
postdoctoral	postdoctoral	jj_nn1
fellowship	fellowship	nn1
to	to	ii
the	the	at
first	first	md
author	author	nn1
that	that	cst
partly	partly	rr
supported	support	vvn_vvd
this	this	dd1
work	work	nn1
.	.	y
We	we	ppis2
would	would	vm
also	also	rr
like	like	vvi
to	to	to
thank	thank	vvi
Edith	edith	np1
Cowan	cowan	np1_jj_nn1
University	university	nn1
for	for	if
the	the	at
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
Western	western	jj
Australian	australian	jj
Police	police	nn2
Service	service	vv0@_nn1
for	for	if
their	their	appge
help	help	nn1
in	in	ii
constructing	construct	vvg
the	the	at
materials	material	nn2
used	use	vvn_vvd
for	for	if
this	this	dd1
experiment	experiment	nn1
.	.	y
<p>	<p>	y
Address	address	nn1_vv0@
correspondence	correspondence	nn1
to	to	ii
Mark	mark	np1
R.	xx_r	np1
Kebbell	kebbell	np1
,	,	y
School	school	nn1
of	of	io
Psychology	psychology	nn1
,	,	y
James	james	np1
Cook	cook	np1
University	university	nn1
,	,	y
Townsville	townsville	np1
,	,	y
4810	4810	mc
,	,	y
Queensland	queensland	np1
,	,	y
Australia	australia	np1
;	;	y
mark.kebbell@jcu.edu.au	mark.kebbell@jcu.edu.au	fo
(	(	y
e-mail	e-mail	nn1
)	)	y
.	.	y
TABLE	table	nn1
1	1	mc1
Participants	participant	nn2
'	'	ge
Estimates	estimate	nn2
of	of	io
Speed	speed	nn1_np1@
,	,	y
Confidence	confidence	nn1
,	,	y
and	and	cc
Other	other	jj
Factors	factor	nn2
Concerning	concerning	ii_vvg
the	the	at
Dangerousness	dangerousness	nn1
of	of	io
the	the	at
Way	way	nn1
a	a	at1
Civilian	civilian	jj_nn1
Vehicle	vehicle	nn1
Was	be	vbdz
Being	be	vbg
Driven	drive	vvn_jj
PREFORMATTED	preformatted	zz
TABLE	table	nn1
TABLE	table	nn1
2	2	mc
Participants	participant	nn2
'	'	ge
Estimates	estimate	nn2
of	of	io
Speed	speed	nn1_np1@
,	,	y
Confidence	confidence	nn1
,	,	y
and	and	cc
Other	other	jj
Factors	factor	nn2
Concerning	concerning	ii_vvg
the	the	at
Dangerousness	dangerousness	nn1
of	of	io
the	the	at
Way	way	nn1
a	a	at1
Police	police	nn2
Vehicle	vehicle	nn1
Was	be	vbdz
Being	be	vbg
Driven	drive	vvn_jj
PREFORMATTED	preformatted	zz
TABLE	table	nn1
<p>	<p>	y
##4001270		
ABSTRACT	abstract	jj_nn1@_vv0@
.	.	y
Longing	longing	nn1_vvg
can	can	vm
be	be	vbi
defined	define	vvn
as	as	ii
a	a	at1
blend	blend	nn1
of	of	io
the	the	at
primary	primary	jj_nn1
emotions	emotion	nn2
of	of	io
happiness	happiness	nn1
and	and	cc
sadness	sadness	nn1
.	.	y
These	these	dd2
primary	primary	jj
emotions	emotion	nn2
are	be	vbr
experienced	experience	vvn
very	very	rg
early	early	rr_jj
by	by	ii
children	child	nn2
,	,	y
and	and	cc
the	the	at
meanings	meaning	nn2
of	of	io
the	the	at
words	word	nn2
happiness	happiness	nn1
and	and	cc
sadness	sadness	nn1
are	be	vbr
also	also	rr
known	know	vvn
by	by	ii
children	child	nn2
early	early	rr
in	in	ii
their	their	appge
verbal	verbal	jj
development	development	nn1
.	.	y
To	to	to
find	find	vvi
out	out	rp
at	at	ii
what	what	ddq
age	age	nn1_vv0@
children	child	nn2
are	be	vbr
able	able	jk
to	to	to
understand	understand	vvi
and	and	cc
use	use	vvi
the	the	at
more	more	rgr
developed	developed	jj
concept	concept	nn1
of	of	io
longing	longing	nn1_vvg
,	,	y
the	the	at
authors	author	nn2
interviewed	interview	vvd_vvn
74	74	mc
preschoolers	preschooler	nn2
(	(	y
4-	4-	nn1_jj
and	and	cc
5-year-olds	5-year-olds	nn2
)	)	y
in	in	ii
Norway	norway	np1
and	and	cc
Sweden	sweden	np1
about	about	ii
their	their	appge
experiences	experience	nn2
of	of	io
longing	longing	nn1_vvg
.	.	y
Chi-square	chi-square	nn1
analyses	analysis	nn2
showed	show	vvd
age	age	nn1
and	and	cc
sex	sex	nn1
differences	difference	nn2
in	in	ii
knowledge	knowledge	nn1
of	of	io
the	the	at
concept	concept	nn1
,	,	y
and	and	cc
some	some	dd
differences	difference	nn2
between	between	ii
categories	category	nn2
of	of	io
longing	longing	nn1
were	be	vbdr
also	also	rr
significant	significant	jj
.	.	y
Results	result	nn2
showed	show	vvd
that	that	cst_dd1
young	young	jj
children	child	nn2
's	's	ge
ability	ability	nn1
to	to	to
understand	understand	vvi
and	and	cc
use	use	vvi
the	the	at
concept	concept	nn1
of	of	io
longing	longing	nn1
appears	appear	vvz
to	to	to
be	be	vbi
limited	limit	vvn_jj
and	and	cc
that	that	cst
girls	girl	nn2
seem	seem	vv0
to	to	to
mature	mature	vvi
earlier	early	rrr_jjr
in	in	ii
this	this	dd1
respect	respect	nn1
than	than	csn
boys	boy	nn2
do	do	vd0
.	.	y
<p>	<p>	y
Key	key	jj_nn1
words	word	nn2
:	:	y
children	child	nn2
,	,	y
emotional	emotional	jj
development	development	nn1
,	,	y
emotions	emotion	nn2
,	,	y
longing	long	vvg_nn1
<p>	<p>	y
LONGING	longing	nn1
has	have	vhz
usually	usually	rr
been	be	vbn
defined	define	vvn
as	as	ii
a	a	at1
blend	blend	nn1
or	or	cc
a	a	at1
mix	mix	nn1
of	of	io
the	the	at
primary	primary	jj_nn1
emotions	emotion	nn2
of	of	io
love	love	nn1
and	and	cc
sadness	sadness	nn1
,	,	y
and	and	cc
it	it	pph1
is	be	vbz
also	also	rr
considered	consider	vvn_vvd
an	a	at1
emotion	emotion	nn1
of	of	io
second-or	second-or	jj
higher-order	higher-order	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
1999	1999	mc
)	)	y
.	.	y
It	it	pph1
is	be	vbz
also	also	rr
an	a	at1
emotion	emotion	nn1
with	with	iw
a	a	at1
character	character	nn1
of	of	io
its	its	z'
own	own	da
.	.	y
In	in	ii
a	a	at1
study	study	nn1
of	of	io
emotion	emotion	nn1
families	family	nn2
,	,	y
Shaver	shaver	np1_vv0_nn1
,	,	y
Schwartz	schwartz	np1
,	,	y
Kirson	kirson	np1
,	,	y
and	and	cc
O'Connor	o'connor	np1
(	(	y
1987	1987	mc
)	)	y
found	find	vvd
longing	long	vvg_nn1
to	to	to
be	be	vbi
the	the	at
only	only	jj
emotion	emotion	nn1
in	in	ii
one	one	mc1
of	of	io
the	the	at
subclusters	subclusters	nn2
.	.	y
The	the	at
experiencing	experiencing	nn1
of	of	io
mixed	mixed	jj@
or	or	cc
opposite	opposite	jj
emotions	emotion	nn2
comes	come	vvz
relatively	relatively	rr
late	late	jj_rr
in	in	ii
a	a	at1
child	child	nn1
's	's	ge
development	development	nn1
.	.	y
By	by	ii
the	the	at
age	age	nn1
of	of	io
9	9	mc
,	,	y
children	child	nn2
acknowledge	acknowledge	vv0
that	that	cst_dd1
one	one	mc1
situation	situation	nn1
can	can	vm
provoke	provoke	vvi
two	two	mc
opposite	opposite	jj
emotions	emotion	nn2
,	,	y
whereas	whereas	cs
younger	young	jjr
children	child	nn2
usually	usually	rr
do	do	vd0
not	not	xx
admit	admit	vvi
that	that	cst_dd1
more	more	dar
than	than	csn
one	one	mc1
emotion	emotion	nn1
at	at	ii
a	a	at1
time	time	nnt1
can	can	vm
be	be	vbi
experienced	experience	vvn
(	(	y
Harris	harris	np1
,	,	y
1993	1993	mc
;	;	y
Whitesell	whitesell	np1
&;	&;	x
Harter	harter	np1
,	,	y
1989	1989	mc
)	)	y
.	.	y
<p>	<p>	y
Age	age	nn1_vv0@
effects	effect	nn2
in	in	ii
training	training	nn1_vvg@
children	child	nn2
to	to	to
acknowledge	acknowledge	vvi
mixed	mixed	jj@
emotions	emotion	nn2
were	be	vbdr
reported	report	vvn
by	by	ii
Peng	peng	np1
,	,	y
Johnson	johnson	np1
,	,	y
Pollock	pollock	np1
,	,	y
and	and	cc
Glasspool	glasspool	np1_nn1
(	(	y
1992	1992	mc
)	)	y
,	,	y
and	and	cc
6-	6-	nn1_jj
to	to	ii
7-year-olds	7-year-olds	nn2
were	be	vbdr
found	find	vvn
to	to	to
benefit	benefit	vvi
more	more	rrr_dar
from	from	ii
such	such	da
training	training	nn1
than	than	csn
4-	4-	jj_nn1
to	to	ii
5-year-olds	5-year-olds	nn2
.	.	y
Holm	holm	np1
,	,	y
Classon	classon	np1
,	,	y
Greaker	greaker	np1_nn1
,	,	y
Karlsson	karlsson	np1
,	,	y
and	and	cc
Strmberg	strmberg	np1
(	(	y
2000	2000	mc
)	)	y
found	find	vvd
that	that	cst_dd1
6-year-old	6-year-old	jj
children	child	nn2
have	have	vh0
experienced	experience	vvn
several	several	da2
dimensions	dimension	nn2
of	of	io
longing	longing	nn1_vvg
.	.	y
Because	because	cs
4-	4-	jj_nn1
and	and	cc
5-year-olds	5-year-olds	nn2
can	can	vm
use	use	vvi
the	the	at
word	word	nn1
longing	longing	nn1_vvg
,	,	y
we	we	ppis2
wanted	want	vvd
to	to	to
find	find	vvi
out	out	rp
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
light	light	nn1_jj
on	on	ii
the	the	at
development	development	nn1
of	of	io
longing	long	vvg_nn1
as	as	ii
a	a	at1
mixed	mixed	jj@
emotion	emotion	nn1
.	.	y
In	in	ii
this	this	dd1
study	study	nn1
we	we	ppis2
wanted	want	vvd
to	to	to
discover	discover	vvi
whether	whether	csw
4-	4-	jj_nn1
and	and	cc
5-year-old	5-year-old	jj
children	child	nn2
can	can	vm
understand	understand	vvi
,	,	y
use	use	vvi
,	,	y
and	and	cc
describe	describe	vvi
the	the	at
concept	concept	nn1
of	of	io
longing	longing	nn1_vvg
and	and	cc
relate	relate	vv0
it	it	pph1
to	to	ii
their	their	appge
own	own	da
experiences	experience	nn2
.	.	y
In	in	ii
studies	study	nn2
of	of	io
children	child	nn2
's	's	ge
experiences	experience	nn2
of	of	io
the	the	at
concept	concept	nn1
of	of	io
longing	longing	nn1_vvg
,	,	y
the	the	at
term	term	nn1
love	love	nn1
has	have	vhz
been	be	vbn
replaced	replace	vvn
by	by	ii
the	the	at
more	more	rgr
appropriate	appropriate	jj
term	term	nn1
happiness	happiness	nn1
(	(	y
Holm	holm	np1
,	,	y
2001	2001	mc
;	;	y
Holm	holm	np1
et	et	ra21
al.	al	ra22
,	,	y
2000	2000	mc
)	)	y
,	,	y
and	and	cc
that	that	dd1_cst
is	be	vbz
also	also	rr
the	the	at
case	case	nn1
in	in	ii
this	this	dd1
study	study	nn1
.	.	y
Method	method	nn1
<p>	<p>	y
Participants	participant	nn2
and	and	cc
Procedure	procedure	nn1
<p>	<p>	y
Do	do	vd0
4-	4-	jj_nn1
and	and	cc
5-year-old	5-year-old	jj
children	child	nn2
know	know	vv0
what	what	ddq
longing	longing	nn1
is	be	vbz
?	?	y
Have	have	vh0
they	they	pphs2
experienced	experience	vvn
it	it	pph1
themselves	themselves	ppx2
?	?	y
How	how	rrq
do	do	vd0
they	they	pphs2
feel	feel	vvi
when	when	rrq_cs
they	they	pphs2
are	be	vbr
longing	long	vvg
?	?	y
What	what	ddq
do	do	vd0
they	they	pphs2
do	do	vdi
?	?	y
Are	be	vbr
they	they	pphs2
longing	long	vvg
for	for	if
something	something	pn1
when	when	cs_rrq
they	they	pphs2
are	be	vbr
at	at	ii
home	home	nn1
?	?	y
In	in	ii
preschool	preschool	jj_nn1@
?	?	y
Do	do	vd0
they	they	pphs2
talk	talk	vvi
about	about	ii
their	their	appge
longing	longing	nn1
with	with	iw
someone	someone	pn1
?	?	y
These	these	dd2
were	be	vbdr
questions	question	nn2
that	that	cst
we	we	ppis2
asked	ask	vvd
74	74	mc
Norwegian	norwegian	jj_nn1
and	and	cc
Swedish	swedish	jj
4-	4-	nn1_jj
and	and	cc
5-year-old	5-year-old	jj
preschoolers	preschooler	nn2
in	in	ii
an	a	at1
attempt	attempt	nn1
to	to	to
find	find	vvi
out	out	rp
if	if	cs
and	and	cc
how	how	rrq
children	child	nn2
in	in	ii
these	these	dd2
age	age	nn1_vv0@
groups	group	nn2
experience	experience	vv0
this	this	dd1
particular	particular	jj
emotion	emotion	nn1
.	.	y
Twenty-two	twenty-two	mc
Norwegian	norwegian	jj
children	child	nn2
(	(	y
15	15	mc
girls	girl	nn2
and	and	cc
7	7	mc
boys	boy	nn2
)	)	y
and	and	cc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
were	be	vbdr
interviewed	interview	vvn
individually	individually	rr
during	during	ii
ordinary	ordinary	jj
days	day	nnt2
at	at	ii
their	their	appge
preschools	preschool	nn2
.	.	y
Thirty-one	thirty-one	mc
of	of	io
the	the	at
children	child	nn2
were	be	vbdr
4	4	mc
years	year	nnt2
old	old	jj
,	,	y
and	and	cc
43	43	mc
were	be	vbdr
5	5	mc
years	year	nnt2
old	old	jj
.	.	y
<p>	<p>	y
Thirty-two	thirty-two	mc
children	child	nn2
listened	listen	vvn_vvd
to	to	ii
a	a	at1
story	story	nn1
about	about	ii
a	a	at1
boy	boy	nn1
who	who	pnqs
was	be	vbdz
longing	long	vvg
for	for	if
his	his	appge
playmate	playmate	nn1
(	(	y
a	a	at1
girl	girl	nn1
)	)	y
and	and	cc
talked	talk	vvd_vvn
a	a	rr21
little	little	rr22
about	about	ii
the	the	at
story	story	nn1
before	before	ii_cs
the	the	at
interview	interview	nn1
questions	question	nn2
were	be	vbdr
posed	pose	vvn
;	;	y
22	22	mc
listened	listen	vvd_vvn
to	to	ii
the	the	at
story	story	nn1
afterwards	afterwards	rt
;	;	y
and	and	cc
the	the	at
story	story	nn1
was	be	vbdz
not	not	xx
read	read	vvn
at	at	ii
all	all	db
to	to	ii
20	20	mc
of	of	io
them	them	ppho2
.	.	y
The	the	at
interviews	interview	nn2
were	be	vbdr
written	write	vvn
out	out	rp
and	and	cc
analyzed	analyze	vvn
by	by	ii
all	all	db
three	three	mc
authors	author	nn2
,	,	y
independent	independent	jj_nn1@
of	of	io
each	each	ppx221
other	other	ppx222
,	,	y
before	before	cs_ii
the	the	at
results	result	nn2
were	be	vbdr
summarized	summarize	vvn
.	.	y
Results	result	nn2
and	and	cc
Discussion	discussion	nn1
<p>	<p>	y
No	no	xx
effect	effect	nn1
of	of	io
the	the	at
story	story	nn1
conditions	condition	nn2
"	"	y
before	before	cs_ii_rt@
"	"	y
versus	versus	ii
"	"	y
after	after	cs_jj%_rt%
"	"	y
versus	versus	ii
"	"	y
no	no	at
story	story	nn1
"	"	y
were	be	vbdr
found	find	vvn
.	.	y
No	no	xx
nationality	nationality	nn1
differences	difference	nn2
were	be	vbdr
found	find	vvn
in	in	ii
any	any	dd
of	of	io
the	the	at
answers	answer	nn2
.	.	y
Some	some	dd
children	child	nn2
did	do	vdd
not	not	xx
answer	answer	vvi
all	all	db
the	the	at
questions	question	nn2
,	,	y
and	and	cc
some	some	dd
answers	answer	nn2
had	have	vhd
nothing	nothing	pn1
to	to	to
do	do	vdi
with	with	iw
the	the	at
question	question	nn1
posed	pose	vvd_vvn
.	.	y
The	the	at
reasons	reason	nn2
for	for	if
not	not	xx
answering	answer	vvg
all	all	db
questions	question	nn2
were	be	vbdr
mostly	mostly	rr
lack	lack	nn1
of	of	io
interest	interest	nn1
(	(	y
wanting	want	vvg_jj
to	to	to
go	go	vvi
back	back	rp
to	to	ii
some	some	dd
activity	activity	nn1
)	)	y
or	or	cc
lack	lack	nn1
of	of	io
understanding	understanding	nn1_vvg
.	.	y
<p>	<p>	y
To	to	to
find	find	vvi
out	out	rp
if	if	cs
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
longing	longing	nn1_vvg
,	,	y
we	we	ppis2
posed	pose	vvd
the	the	at
question	question	nn1
"	"	y
Do	do	vd0
you	you	ppy
know	know	vvi
what	what	ddq
longing	longing	nn1
is	be	vbz
?	?	y
"	"	y
The	the	at
answer	answer	nn1
was	be	vbdz
no	no	rr%_uh
from	from	ii
38	38	mc
children	child	nn2
and	and	cc
yes	yes	uh
from	from	ii
28	28	mc
.	.	y
Twenty	twenty	mc
of	of	io
these	these	dd2
latter	latter	da
children	child	nn2
said	say	vvd
that	that	cst
it	it	pph1
is	be	vbz
longing	long	vvg
for	for	if
someone	someone	pn1
.	.	y
An	a	at1
age	age	nn1
and	and	cc
sex	sex	nn1
difference	difference	nn1
could	could	vm
be	be	vbi
seen	see	vvn
,	,	y
namely	namely	rex
,	,	y
that	that	cst
the	the	at
yes	yes	uh
answers	answer	nn2
came	come	vvd
from	from	ii
the	the	at
5-year-old	5-year-old	jj
girls	girl	nn2
from	from	ii
both	both	db2
countries	country	nn2
in	in	ii
all	all	rr21_db
but	but	rr22_ii
5	5	mc
cases	case	nn2
.	.	y
A	a	at1_zz1
chi-square	chi-square	nn1
analysis	analysis	nn1
of	of	io
the	the	at
yes	yes	uh
and	and	cc
no	no	at
answers	answer	nn2
from	from	ii
the	the	at
5-year-old	5-year-old	jj
girls	girl	nn2
versus	versus	ii
the	the	at
rest	rest	nn1
of	of	io
the	the	at
sample	sample	nn1
,	,	y
?	?	y
(	(	y
1	1	mc1
,	,	y
N	xx_n	zz1
=	=	fo
66	66	mc
)	)	y
=	=	fo
22.05	22.05	mc
,	,	y
p	xx_p	zz1
<	&lt;	fo
.001	.001	mc
,	,	y
showed	show	vvd
that	that	cst
the	the	at
5-year-old	5-year-old	jj
girls	girl	nn2
'	'	ge
answers	answer	nn2
differed	differ	vvd_vvn
significantly	significantly	rr
from	from	ii
those	those	dd2
of	of	io
the	the	at
rest	rest	nn1
of	of	io
the	the	at
children	child	nn2
who	who	pnqs
answered	answer	vvd
the	the	at
question	question	nn1
.	.	y
<p>	<p>	y
This	this	dd1
result	result	nn1
might	might	vm
be	be	vbi
expected	expect	vvn
because	because	cs
girls	girl	nn2
often	often	rr
are	be	vbr
verbally	verbally	rr
and	and	cc
emotionally	emotionally	rr
more	more	rgr
mature	mature	jj
than	than	csn
boys	boy	nn2
(	(	y
Brody	brody	np1_nn1
&;	&;	x
Hall	hall	nn1
,	,	y
1993	1993	mc
)	)	y
.	.	y
Girls	girl	nn2
may	may	vm
be	be	vbi
more	more	rgr
observant	observant	jj
of	of	io
their	their	appge
own	own	da
feelings	feeling	nn2
,	,	y
something	something	pn1
that	that	cst
can	can	vm
be	be	vbi
seen	see	vvn
in	in	ii
results	result	nn2
regarding	regarding	ii_vvg
sex	sex	nn1
differences	difference	nn2
in	in	ii
homesickness	homesickness	nn1
(	(	y
Zimmerman	zimmerman	np1
&;	&;	x
Bijur	bijur	np1_nn1
,	,	y
1995	1995	mc
)	)	y
.	.	y
Some	some	dd
age	age	nn1
differences	difference	nn2
in	in	ii
the	the	at
depth	depth	nn1
of	of	io
understanding	understanding	nn1
of	of	io
emotions	emotion	nn2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
Garrattoni	garrattoni	np1_nn1
,	,	y
and	and	cc
Venturini	venturini	np1_nn1
(	(	y
2000	2000	mc
)	)	y
and	and	cc
by	by	ii
Lagattuta	lagattuta	np1
,	,	y
Wellman	wellman	np1
,	,	y
and	and	cc
Flavell	flavell	np1
(	(	y
1997	1997	mc
)	)	y
.	.	y
<p>	<p>	y
Sixteen	sixteen	mc
of	of	io
the	the	at
children	child	nn2
answered	answer	vvd_vvn
no	no	uh_rr%
to	to	ii
the	the	at
question	question	nn1
"	"	y
Have	have	vh0
you	you	ppy
ever	ever	rr
been	be	vbn
longing	long	vvg
?	?	y
"	"	y
All	all	db
of	of	io
the	the	at
remaining	remaining	jj
58	58	mc
who	who	pnqs
answered	answer	vvd
yes	yes	uh
also	also	rr
told	tell	vvd_vvn
the	the	at
interviewers	interviewer	nn2
what	what	ddq
they	they	pphs2
had	have	vhd
been	be	vbn
longing	long	vvg
for	for	if
.	.	y
Earlier	early	jjr
research	research	nn1
has	have	vhz
shown	show	vvn
that	that	cst
children	child	nn2
usually	usually	rr
describe	describe	vv0
emotional	emotional	jj
states	state	nn2
by	by	ii
describing	describe	vvg
what	what	ddq
induces	induce	vvz
it	it	pph1
(	(	y
Cartron-Guerin	cartron-guerin	np1
&;	&;	x
Reveillaut	reveillaut	np1
,	,	y
1980	1980	mc
)	)	y
.	.	y
Twenty-seven	twenty-seven	mc
had	have	vhd
been	be	vbn
longing	long	vvg
for	for	if
family	family	nn1
members	member	nn2
,	,	y
8	8	mc
for	for	if
playmates	playmate	nn2
,	,	y
11	11	mc
for	for	if
things	thing	nn2
,	,	y
7	7	mc
for	for	if
occasions	occasion	nn2
,	,	y
and	and	cc
5	5	mc
for	for	if
animals	animal	nn2
.	.	y
Of	of	io
the	the	at
whole	whole	jj
sample	sample	nn1
,	,	y
47%	47%	nnu
had	have	vhd
been	be	vbn
longing	long	vvg
for	for	if
persons	person	nn2
and	and	cc
31%	31%	nnu
for	for	if
nonpersons	nonpersons	nn2
.	.	y
<p>	<p>	y
A	a	at1_zz1
chi-square	chi-square	nn1
analysis	analysis	nn1
of	of	io
differences	difference	nn2
among	among	ii
the	the	at
five	five	mc
different	different	jj
categories	category	nn2
of	of	io
longing	longing	nn1
showed	show	vvd
that	that	dd1_cst
longing	longing	nn1_vvg
for	for	if
family	family	nn1
members	member	nn2
was	be	vbdz
significantly	significantly	rr
more	more	rgr
common	common	jj
than	than	csn
longing	long	vvg_nn1
for	for	if
something	something	pn1
else	else	rr
,	,	y
?	?	y
(	(	y
4	4	mc
,	,	y
N	xx_n	zz1
=	=	fo
58	58	mc
)	)	y
=	=	fo
27.16	27.16	mc
,	,	y
p	xx_p	zz1
<	&lt;	fo
.001	.001	mc
.	.	y
The	the	at
pattern	pattern	nn1
for	for	if_cs%
yes	yes	uh
and	and	cc
no	no	at
answers	answer	nn2
on	on	ii
this	this	dd1
question	question	nn1
was	be	vbdz
different	different	jj
from	from	ii
the	the	at
answers	answer	nn2
to	to	ii
the	the	at
first	first	md
question	question	nn1
.	.	y
Most	most	dat
children	child	nn2
obviously	obviously	rr
had	have	vhd
been	be	vbn
longing	long	vvg
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
not	not	xx
know	know	vvi
what	what	ddq
longing	longing	nn1
was	be	vbdz
.	.	y
<p>	<p>	y
"	"	y
How	how	rrq
do	do	vd0
you	you	ppy
feel	feel	vvi
when	when	rrq_cs
you	you	ppy
are	be	vbr
longing	long	vvg
?	?	y
"	"	y
was	be	vbdz
answered	answer	vvn
with	with	iw
"	"	y
I	i	ppis1
do	do	vd0
n't	n't	xx
know	know	vvi
"	"	y
by	by	ii
21	21	mc
of	of	io
the	the	at
children	child	nn2
.	.	y
Another	another	dd1
21	21	mc
mentioned	mention	vvd_vvn
something	something	pn1
negative	negative	jj
like	like	ii_cs%
"	"	y
not	not	xx
good	good	jj_rr%
,	,	y
"	"	y
"	"	y
a	a	rr21
little	little	rr22
sad	sad	jj
,	,	y
"	"	y
"	"	y
no	no	at
fun	fun	nn1_jj
,	,	y
"	"	y
and	and	cc
"	"	y
dreary	dreary	jj
.	.	y
"	"	y
Twelve	twelve	mc
mentioned	mention	vvd_vvn
something	something	pn1
positive	positive	jj
like	like	ii_jj@
"	"	y
good	good	jj
"	"	y
and	and	cc
"	"	y
happy	happy	jj
.	.	y
"	"	y
The	the	at
difference	difference	nn1
between	between	ii
these	these	dd2
groups	group	nn2
was	be	vbdz
not	not	xx
significant	significant	jj
.	.	y
Five	five	mc
children	child	nn2
had	have	vhd
experienced	experience	vvn
both	both	rr_db2
positive	positive	jj
and	and	cc
negative	negative	jj
feelings	feeling	nn2
(	(	y
e.g.	eg	rex
,	,	y
"	"	y
I	i	ppis1
am	be	vbm
a	a	rr21
little	little	rr22
happy	happy	jj
in	in	ii
the	the	at
beginning	beginning	nn1
,	,	y
but	but	ccb
then	then	rt
I	i	ppis1
become	become	vv0
sad	sad	jj
"	"	y
and	and	cc
"	"	y
When	when	cs_rrq
I	i	ppis1
am	be	vbm
longing	long	vvg
for	for	if
my	my	appge
uncle	uncle	nn1
I	i	ppis1
am	be	vbm
happy	happy	jj
,	,	y
but	but	ccb
not	not	xx
when	when	rrq_cs
I	i	ppis1
am	be	vbm
homesick	homesick	jj
"	"	y
)	)	y
.	.	y
