##2000173		
None	none	pn
to	to	to
be	be	vbi
in	in	ii
Atlanta	atlanta	np1
in	in	ii
'	'	ge
96	96	mc
.	.	y
"	"	y
I	i	ppis1
'll	will	vm
be	be	vbi
there	there	rl
,	,	y
"	"	y
she	she	pphs1
says	say	vvz
.	.	y
"	"	y
In	in	ii
the	the	at
stands	stand	nn2
.	.	y
"	"	y
Her	her	appge
situation	situation	nn1
in	in	ii
'	'	ge
92	92	mc
was	be	vbdz
the	the	at
American	american	jj
version	version	nn1
of	of	io
Ito	ito	np1_nn1
's	's	ge
.	.	y
The	the	at
reigning	reigning	jj
women	woman	nn2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
's	's	ge
best	best	jjt_rrt
hope	hope	nn1_vv0
for	for	if
gymnastics	gymnastics	nn1_nn2
gold	gold	nn1_jj@
--	--	x
a	a	at1
Mary	mary	np1
Lou	lou	np1
Retton	retton	np1
clone	clone	nn1_vv0
.	.	y
Her	her	appge
coach	coach	nn1
,	,	y
Bela	bela	np1
Karolyi	karolyi	np1
,	,	y
former	former	da
mentor	mentor	nn1
of	of	io
both	both	rr
Retton	retton	np1
and	and	cc
Nadia	nadia	np1
Comaneci	comaneci	np1
,	,	y
told	tell	vvd_vvn
anyone	anyone	pn1
who	who	pnqs
would	would	vm
listen	listen	vvi
that	that	dd1
little	little	jj
Kimbo	kimbo	nn1
was	be	vbdz
,	,	y
mentally	mentally	rr
,	,	y
the	the	at
athlete	athlete	nn1
who	who	pnqs
was	be	vbdz
the	the	at
strongest	strong	jjt
under	under	ii
pressure	pressure	nn1
he	he	pphs1
had	have	vhd
ever	ever	rr
coached	coach	vvn
.	.	y
And	and	cc
Kimbo	kimbo	np1_nn1
herself	herself	ppx1
?	?	y
She	she	pphs1
was	be	vbdz
convinced	convince	vvn@_jj
that	that	cst
the	the	at
Olympics	olympics	nn2
would	would	vm
be	be	vbi
the	the	at
best	best	jjt
competition	competition	nn1
of	of	io
her	her	appge
life	life	nn1
.	.	y
It	it	pph1
was	be	vbdz
n't	n't	xx
.	.	y
Far	far	rr_jj
from	from	ii
it	it	pph1
.	.	y
"	"	y
At	at	ii
the	the	at
Olympics	olympics	nn2
,	,	y
for	for	if
the	the	at
first	first	md
time	time	nnt1
,	,	y
I	i	ppis1
could	could	vm
feel	feel	vvi
people	people	nn
watching	watch	vvg
me	me	ppio1
,	,	y
"	"	y
she	she	pphs1
says	say	vvz
.	.	y
Like	like	ii
Ito	ito	np1_nn1
,	,	y
she	she	pphs1
fell	fall	vvd
on	on	ii_rp@
a	a	at1
move	move	nn1
she	she	pphs1
could	could	vm
never	never	rr
recall	recall	vvi
even	even	rr
missing	miss	vvg_jj
in	in	ii
practice	practice	nn1
,	,	y
a	a	at1
cartwheel	cartwheel	nn1
back	back	nn1_rp
handspring	handspring	nn1
off	off	ii
the	the	at
balance	balance	nn1
beam	beam	nn1
.	.	y
Zmeskal	zmeskal	np1@
was	be	vbdz
so	so	rg_rr
surprised	surprised	jj
when	when	cs_rrq
she	she	pphs1
tumbled	tumble	vvd
to	to	ii
the	the	at
mat	mat	nn1
,	,	y
she	she	pphs1
thought	think	vvd
she	she	pphs1
might	might	vm
be	be	vbi
dreaming	dream	vvg
.	.	y
"	"	y
I	i	ppis1
came	come	vvd
off	off	ii_rp
the	the	at
podium	podium	nn1
thinking	thinking	nn1_vvg
,	,	y
That	that	dd1_cst
was	be	vbdz
n't	n't	xx
the	the	at
Olympics	olympics	nn2
,	,	y
"	"	y
she	she	pphs1
says	say	vvz
.	.	y
"	"	y
Because	because	cs
I	i	ppis1
'd	have	vm_vhd
always	always	rr
imagined	imagine	vvn
the	the	at
Olympics	olympics	nn2
would	would	vm
be	be	vbi
the	the	at
best	best	jjt_rrt
meet	meet	nn1%_vv0
of	of	io
my	my	appge
whole	whole	jj
life	life	nn1
.	.	y
And	and	cc
it	it	pph1
was	be	vbdz
n't	n't	xx
.	.	y
I	i	ppis1
thought	think	vvd
,	,	y
The	the	at
Olympics	olympics	nn2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
Zmeskal	zmeskal	np1
knew	know	vvd
better	better	rrr_jjr
.	.	y
Her	her	appge
mother	mother	nn1
,	,	y
Clarice	clarice	np1
,	,	y
who	who	pnqs
was	be	vbdz
sitting	sit	vvg
in	in	ii
the	the	at
stands	stand	nn2
,	,	y
would	would	vm
n't	n't	xx
have	have	vhi
been	be	vbn
covering	cover	vvg
her	her	appge
eyes	eye	nn2
if	if	cs
the	the	at
Olympics	olympics	nn2
were	be	vbdr
starting	start	vvg
tomorrow	tomorrow	rt
.	.	y
"	"	y
I	i	ppis1
was	be	vbdz
worried	worried	jj_vvn@
I	i	ppis1
'd	have	vm
let	let	vvi
everybody	everybody	pn1
down	down	rp
,	,	y
"	"	y
says	say	vvz
Zmeskal	zmeskal	jj_np1
.	.	y
"	"	y
Bela	bela	nn1_np1@
.	.	y
The	the	at
team	team	nn1
.	.	y
The	the	at
American	american	jj
people	people	nn
.	.	y
How	how	rrq
could	could	vm
I	i	ppis1
not	not	xx
?	?	y
The	the	at
television	television	nn1
camera	camera	nn1
was	be	vbdz
right	right	jj
in	in	ii
my	my	appge
face	face	nn1
.	.	y
"	"	y
It	it	pph1
was	be	vbdz
a	a	at1
face	face	nn1
that	that	cst
showed	show	vvd
shock	shock	nn1
,	,	y
and	and	cc
that	that	dd1_cst
pained	pained	jj_vvd@
,	,	y
frightened	frightened	jj
expression	expression	nn1
seldom	seldom	rr
left	leave	vvd_vvn_jj
Zmeskal	zmeskal	np1
's	's	ge
countenance	countenance	nn1
for	for	if
the	the	at
rest	rest	nn1
of	of	io
the	the	at
competition	competition	nn1
.	.	y
It	it	pph1
was	be	vbdz
the	the	at
look	look	nn1
we	we	ppis2
had	have	vhd
seen	see	vvn
before	before	rt
,	,	y
on	on	ii
Ito	ito	np1_nn1
.	.	y
One	one	mc1
side	side	nn1
effect	effect	nn1
:	:	y
Without	without	iw
"	"	y
the	the	at
new	new	jj
Mary	mary	np1
Lou	lou	np1
"	"	y
to	to	to
write	write	vvi
about	about	ii
,	,	y
many	many	da2
American	american	jj
sportswriters	sportswriter	nn2
took	take	vvd
women	woman	nn2
's	's	ge
gymnastics	gymnastics	nn1_nn2
to	to	ii
task	task	nn1
.	.	y
The	the	at
competitors	competitor	nn2
,	,	y
some	some	dd
argued	argue	vvd
,	,	y
were	be	vbdr
too	too	rg
young	young	jj
;	;	y
they	they	pphs2
trained	train	vvd@
too	too	rg
hard	hard	rr_jj
;	;	y
they	they	pphs2
ate	eat	vvd
too	too	rg
little	little	rr_jj
;	;	y
and	and	cc
they	they	pphs2
put	put	vv0_vvd
their	their	appge
bodies	body	nn2
through	through	ii
too	too	rg
much	much	da1_rr
.	.	y
Karolyi	karolyi	nn2_np1@
in	in	rr21
particular	particular	rr22
came	come	vvd
under	under	ii
fire	fire	nn1
.	.	y
"	"	y
It	it	pph1
made	make	vvd
me	me	ppio1
so	so	rg_rr
mad	mad	jj
,	,	y
"	"	y
says	say	vvz
Zmeskal	zmeskal	jj_np1
.	.	y
"	"	y
They	they	pphs2
do	do	vd0
n't	n't	xx
understand	understand	vvi
what	what	ddq
we	we	ppis2
get	get	vv0
out	out	ii21
of	of	ii22
it	it	pph1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
.	.	y
Then	then	rt
when	when	cs_rrq
you	you	ppy
get	get	vv0
it	it	pph1
,	,	y
it	it	pph1
's	be	vbz
the	the	at
best	best	jjt_rrt
feeling	feeling	nn1_vvg
in	in	ii
the	the	at
world	world	nn1
.	.	y
The	the	at
best	best	jjt_rrt
.	.	y
We	we	ppis2
're	be	vbr
all	all	db_rr@
in	in	ii
this	this	dd1
sport	sport	nn1
because	because	cs
we	we	ppis2
love	love	vv0
it	it	pph1
.	.	y
"	"	y
Despite	despite	ii
her	her	appge
defeat	defeat	nn1
,	,	y
Zmeskal	zmeskal	np1
's	's	ge
memories	memory	nn2
of	of	io
the	the	at
Olympics	olympics	nn2
are	be	vbr
mostly	mostly	rr
good	good	jj
ones	one	z'
.	.	y
She	she	pphs1
remembers	remember	vvz
walking	walk	vvg_nn1
into	into	ii
the	the	at
therapy	therapy	nn1
room	room	nn1
and	and	cc
seeing	see	vvg_cs@
Jennifer	jennifer	np1
Capriati	capriati	np1
,	,	y
a	a	at1
gold	gold	nn1_jj@
medal	medal	nn1
winner	winner	nn1
in	in	ii
tennis	tennis	nn1
.	.	y
Being	be	vbg
waved	wave	vvn
onto	onto	ii
the	the	at
Dream	dream	nn1
Team	team	nn1
bus	bus	nn1
by	by	ii
Larry	larry	np1
Bird	bird	np1_nn1
.	.	y
Winning	win	vvg
the	the	at
team	team	nn1
bronze	bronze	nn1
medal	medal	nn1
.	.	y
"	"	y
The	the	at
bronze	bronze	nn1
medal	medal	nn1
was	be	vbdz
so	so	rg_rr
cool	cool	jj_rr@
,	,	y
"	"	y
she	she	pphs1
says	say	vvz
.	.	y
"	"	y
That	that	dd1
was	be	vbdz
the	the	at
best	best	jjt
night	night	nnt1
of	of	io
the	the	at
whole	whole	jj
year	year	nnt1
.	.	y
It	it	pph1
was	be	vbdz
my	my	appge
best	best	jjt
performance	performance	nn1
.	.	y
"	"	y
Great	great	jj
athletes	athlete	nn2
do	do	vd0
n't	n't	xx
dwell	dwell	vvi
on	on	ii_rp@
their	their	appge
mistakes	mistake	nn2
.	.	y
The	the	at
media	media	nn
do	do	vd0
.	.	y
That	that	dd1
's	be	vbz
why	why	rrq
so	so	rg
many	many	da2
athletes	athlete	nn2
shun	shun	vv0
talking	talk	vvg
to	to	ii
reporters	reporter	nn2
after	after	ii_cs
a	a	at1
loss	loss	nn1
.	.	y
Which	which	ddq
is	be	vbz
not	not	xx
to	to	to
say	say	vvi
the	the	at
mistakes	mistake	nn2
are	be	vbr
stricken	stricken	jj
from	from	ii
memory	memory	nn1
.	.	y
"	"	y
I	i	ppis1
'm	be	vbm
still	still	rr
having	have	vhg
a	a	at1
hard	hard	jj
time	time	nnt1
concentrating	concentrate	vvg
at	at	ii
school	school	nn1
,	,	y
"	"	y
Zmeskal	zmeskal	np1_jj
,	,	y
an	a	at1
11th-grader	11th-grader	nn1_jj
,	,	y
says	say	vvz
.	.	y
"	"	y
Every	every	rr31
so	so	rr32
often	often	rr33
I	i	ppis1
think	think	vv0
about	about	ii
what	what	ddq
happened	happen	vvd
,	,	y
how	how	rrq
things	thing	nn2
could	could	vm
have	have	vhi
been	be	vbn
different	different	jj
.	.	y
I	i	ppis1
wonder	wonder	vv0
what	what	ddq
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
weird	weird	jj
.	.	y
So	so	rg
many	many	da2
people	people	nn
have	have	vh0
said	say	vvn
I	i	ppis1
did	do	vdd
great	great	rr%_jj
at	at	ii
the	the	at
Olympics	olympics	nn2
,	,	y
I	i	ppis1
almost	almost	rr
think	think	vv0
I	i	ppis1
did	do	vdd
do	do	vdi
great	great	jj_rr%
.	.	y
It	it	pph1
's	be	vbz
like	like	cs%_rr%_jj@
they	they	pphs2
do	do	vd0
n't	n't	xx
know	know	vvi
I	i	ppis1
did	do	vdd
n't	n't	xx
accomplish	accomplish	vvi
everything	everything	pn1
I	i	ppis1
wanted	want	vvd
to	to	to
this	this	dd1
summer	summer	nnt1
.	.	y
I	i	ppis1
thought	think	vvd
everyone	everyone	pn1
would	would	vm
be	be	vbi
more	more	rgr
disappointed	disappointed	jj
.	.	y
"	"	y
So	so	rr
life	life	nn1
goes	go	vvz
on	on	rp@
.	.	y
Zmeskal	zmeskal	np1@_jj
cut	cut	vvd
her	her	appge
training	training	nn1
,	,	y
from	from	ii
eight	eight	mc
hours	hour	nnt2
a	a	at1
day	day	nnt1
to	to	ii
two	two	mc
,	,	y
so	so	cs@_rr
she	she	pphs1
could	could	vm
enjoy	enjoy	vvi
a	a	at1
relatively	relatively	rr
normal	normal	jj
junior	junior	jj
year	year	nnt1
at	at	ii
Westfield	westfield	np1
High	high	jj
School	school	nn1
in	in	ii
Houston	houston	np1
.	.	y
All	all	db
these	these	dd2
years	year	nnt2
people	people	nn
had	have	vhd
been	be	vbn
telling	tell	vvg
her	her	ppho1
how	how	rgq@
much	much	da1
she	she	pphs1
was	be	vbdz
missing	miss	vvg_jj
of	of	io
life	life	nn1
by	by	ii
training	training	nn1_vvg@
hour	hour	nnt1
after	after	ii_cs
hour	hour	nnt1
in	in	ii
the	the	at
gym	gym	nn1
.	.	y
So	so	rr
this	this	dd1
fall	fall	nn1
Zmeskal	zmeskal	np1
decided	decide	vvd
to	to	to
find	find	vvi
out	out	rp
.	.	y
She	she	pphs1
took	take	vvd
a	a	at1
driver	driver	nn1
's	's	ge
education	education	nn1
course	course	nn1
and	and	cc
got	get	vvd
her	her	appge
license	license	nn1
.	.	y
She	she	pphs1
went	go	vvd
to	to	ii
some	some	dd
high	high	jj
school	school	nn1
football	football	nn1
games	game	nn2
,	,	y
jogged	jog	vvd
to	to	to
stay	stay	vvi
in	in	ii
shape	shape	nn1
and	and	cc
braced	brace	vvd
herself	herself	ppx1
for	for	if
the	the	at
overflow	overflow	nn1
of	of	io
thrilling	thrilling	jj
,	,	y
everyday	everyday	jj
activities	activity	nn2
that	that	cst
she	she	pphs1
had	have	vhd
supposedly	supposedly	rr
sacrificed	sacrifice	vvn
for	for	if
gymnastics	gymnastics	nn2_nn1
.	.	y
"	"	y
After	after	ii_cs
two	two	mc
weeks	week	nnt2
it	it	pph1
was	be	vbdz
already	already	rr
boring	boring	jj
,	,	y
"	"	y
she	she	pphs1
says	say	vvz
.	.	y
"	"	y
I	i	ppis1
used	use	vmk
to	to	to
dream	dream	vvi
of	of	io
the	the	at
day	day	nnt1
when	when	rrq
I	i	ppis1
could	could	vm
just	just	rr
flop	flop	vvi
on	on	ii
the	the	at
living	living	nn1
room	room	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
p.m	pm	ra
.	.	y
But	but	ccb
now	now	cs21
that	that	cs22
I	i	ppis1
can	can	vm
do	do	vdi
it	it	pph1
,	,	y
I	i	ppis1
'm	be	vbm
not	not	xx
interested	interested	jj
.	.	y
"	"	y
Zmeskal	zmeskal	np1@_jj
is	be	vbz
debating	debate	vvg
whether	whether	csw
to	to	to
stay	stay	vvi
in	in	ii
the	the	at
sport	sport	nn1
another	another	dd1
year	year	nnt1
so	so	cs@_rr
she	she	pphs1
can	can	vm
defend	defend	vvi
her	her	appge
world	world	nn1
championship	championship	nn1
next	next	md
April	april	npm1
in	in	ii
Birmingham	birmingham	np1
,	,	y
England	england	np1
.	.	y
"	"	y
I	i	ppis1
'm	be	vbm
staying	stay	vvg
in	in	ii
shape	shape	nn1
so	so	cs@_rr
I	i	ppis1
can	can	vm
choose	choose	vvi
either	either	dd1
way	way	nn1
,	,	y
"	"	y
she	she	pphs1
says	say	vvz
.	.	y
"	"	y
But	but	ccb
a	a	at1
part	part	nn1
of	of	io
me	me	ppio1
says	say	vvz
that	that	cst
maybe	maybe	rr
it	it	pph1
's	be	vbz
time	time	nnt1
for	for	if
me	me	ppio1
to	to	to
do	do	vdi
something	something	pn1
else	else	rr
.	.	y
I	i	ppis1
'm	be	vbm
an	a	at1
athletic	athletic	jj
person	person	nn1
.	.	y
I	i	ppis1
've	have	vh0
got	get	vvn
to	to	to
do	do	vdi
something	something	pn1
.	.	y
"	"	y
Zmeskal	zmeskal	np1@_jj
has	have	vhz
thought	think	vvn
of	of	io
getting	get	vvg
into	into	ii
diving	diving	nn1_vvg_jj
,	,	y
following	follow	vvg
the	the	at
lead	lead	nn1
of	of	io
former	former	da
gymnast	gymnast	nn1
Phoebe	phoebe	np1
Mills	mills	np1
,	,	y
who	who	pnqs
is	be	vbz
on	on	ii
a	a	at1
diving	diving	jj_nn1
scholarship	scholarship	nn1
at	at	ii
the	the	at
University	university	nn1
of	of	io
Miami	miami	np1
.	.	y
But	but	ccb
when	when	cs
her	her	appge
13-year-old	13-year-old	jj
sister	sister	nn1
,	,	y
Melissa	melissa	np1
,	,	y
suggested	suggest	vvd
Kim	kim	np1
try	try	vv0
out	out	rp
for	for	if
the	the	at
neighborhood	neighborhood	nn1
swim	swim	nn1_vv0
team	team	nn1
,	,	y
Kim	kim	np1
demurred	demur	vvd
.	.	y
"	"	y
I	i	ppis1
told	tell	vvd
her	her	ppho1
I	i	ppis1
would	would	vm
n't	n't	xx
be	be	vbi
any	any	dd
good	good	jj
at	at	ii
it	it	pph1
,	,	y
"	"	y
she	she	pphs1
says	say	vvz
.	.	y
"	"	y
My	my	appge
sister	sister	nn1
jumped	jump	vvd
down	down	rp
my	my	appge
throat	throat	nn1
and	and	cc
said	say	vvd
,	,	y
'	'	ge_"@
Is	be	vbz
that	that	dd1
the	the	at
only	only	jj
reason	reason	nn1
you	you	ppy
do	do	vd0
anything	anything	pn1
?	?	y
Because	because	cs
you	you	ppy
're	be	vbr
good	good	jj
at	at	ii
it	it	pph1
?	?	y
'	'	"@_ge
I	i	ppis1
did	do	vdd
n't	n't	xx
even	even	rr
realize	realize	vvi
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Like	like	ii_vv0@
all	all	db
16-year-olds	16-year-olds	nn2
,	,	y
Zmeskal	zmeskal	np1
is	be	vbz
going	go	vvg
through	through	ii_rp@
a	a	at1
period	period	nn1
of	of	io
self-discovery	self-discovery	nn1_jj
.	.	y
"	"	y
I	i	ppis1
think	think	vv0
I	i	ppis1
'm	be	vbm
going	go	vvgk
to	to	to
be	be	vbi
a	a	at1
very	very	rg
picky	picky	jj
person	person	nn1
,	,	y
"	"	y
she	she	pphs1
says	say	vvz
.	.	y
"	"	y
I	i	ppis1
guess	guess	vv0
it	it	pph1
's	be	vbz
because	because	cs
,	,	y
as	as	csa
gymnasts	gymnasts	vvz_nn2
,	,	y
we	we	ppis2
were	be	vbdr
always	always	rr
worried	worry	vvn@_jj_vvd@
about	about	ii
what	what	ddq
other	other	jj
people	people	nn
were	be	vbdr
saying	say	vvg
about	about	ii
us	us	ppio2
.	.	y
We	we	ppis2
were	be	vbdr
always	always	rr
being	be	vbg
judged	judge	vvn
.	.	y
I	i	ppis1
find	find	vv0
myself	myself	ppx1
judging	judge	vvg
people	people	nn
the	the	at
same	same	da
way	way	nn1
.	.	y
People	people	nn
who	who	pnqs
do	do	vd0
n't	n't	xx
get	get	vvi
good	good	jj
grades	grade	nn2
at	at	ii
school	school	nn1
,	,	y
it	it	pph1
's	be	vbz
like	like	jj@_rr%
,	,	y
Well	well	rr
,	,	y
why	why	rrq
do	do	vd0
n't	n't	xx
you	you	ppy
?	?	y
I	i	ppis1
ca	can	vm
n't	n't	xx
help	help	vvi
it	it	pph1
.	.	y
I	i	ppis1
had	have	vhd
a	a	at1
B	b	zz1
recently	recently	rr
on	on	ii
an	a	at1
English	english	jj_nn1
paper	paper	nn1
.	.	y
I	i	ppis1
was	be	vbdz
so	so	rg_rr
used	used	jj
to	to	ii
getting	get	vvg
A	a	zz221
's	's	zz222
,	,	y
I	i	ppis1
was	be	vbdz
really	really	rr
,	,	y
really	really	rr
upset	upset	vvn_vv0_jj
.	.	y
My	my	appge
friend	friend	nn1
,	,	y
who	who	pnqs
got	get	vvd
a	a	at1
C	c	zz1_np1
,	,	y
said	say	vvd_vvn@
to	to	ii
me	me	ppio1
,	,	y
'	'	"@_ge
Are	be	vbr
you	you	ppy
going	go	vvgk
to	to	to
cry	cry	vvi
?	?	y
Because	because	cs
if	if	cs
you	you	ppy
're	be	vbr
going	go	vvgk
to	to	to
cry	cry	vvi
,	,	y
I	i	ppis1
'm	be	vbm
going	go	vvgk
to	to	to
slap	slap	vvi
you	you	ppy
.	.	y
