##2000750		
When	when	rrq_cs
moon	moon	nn1_vv0@
cruiser	cruiser	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
XLT	xlt	np1
4X4	4x4	fo
Engine	engine	nn1
--	--	x
4.0	4.0	mc
liter	liter	nn1
inline	inline	vv0_nn1
six-cylinder	six-cylinder	jj_nn1
Compression	compression	nn1
ratio	ratio	nn1
--	--	x
9.0:1	9.0:1	mc
Horsepower	horsepower	np1_nn1
(	(	y
at	at	ii
)	)	y
rpm	rpm	nnu
--	--	x
160(at)	160(at)	fo
4,200	4,200	mc
Torque	torque	nn1
,	,	y
lb.	lb	nnu
-ft.	-ft	nnu
(	(	y
at	at	ii
)	)	y
rpm	rpm	nnu
--	--	x
225(at)	225(at)	fo
2,800	2,800	mc
Transmission	transmission	nn1
--	--	x
Automatic	automatic	jj
electronic	electronic	jj
4-speed	4-speed	jj_nn1
Brakes	brake	npx
--	--	x
4-wheel	4-wheel	jj_nn1
hydraulic	hydraulic	jj
ABS	abs	nn1
Steering	steering	jj
--	--	x
Rack	rack	nn1
and	and	cc
pinion	pinion	nn1
Suspension	suspension	npx
,	,	y
front	front	jj
--	--	x
Short	short	np1_jj@
long	long	jj
arm	arm	nn1
and	and	cc
torsion	torsion	nn1
bar	bar	nn1
Suspension	suspension	npx
,	,	y
rear	rear	jj
--	--	x
Leaf	leaf	nn1
spring	spring	nn1
with	with	iw
stabilizer	stabilizer	nn1
bar	bar	nn1_ii%
Curb	curb	np1_vv0_nn1@
weight	weight	nn1
,	,	y
lbs	lb	nnu2
.	.	y
4,189	4,189	mc
Seating	seating	nn1_vvg
capacity	capacity	nn1
--	--	x
5	5	mc
Max.	maximum	nn1
cargo	cargo	nn1
vol.	volume	nnu
,	,	y
cu	cu	nn1
.	.	y
ft.	ft	nnu
--	--	x
81.6	81.6	mc
<p>	<p>	y
##2000755		
You	you	ppy
ask	ask	vv0
why	why	rrq
a	a	at1
six-foot-three	six-foot-three	mc
,	,	y
260-pound	260-pound	jj
Marine	marine	jj_nn1@
Vietnam	vietnam	np1
vet	vet	nn1
is	be	vbz
frolicking	frolick	vvg
in	in	ii_rp@
a	a	at1
rose	rose	nn1_jj@
garden	garden	nn1
?	?	y
I	i	ppis1
'll	will	vm
tell	tell	vvi
you	you	ppy
my	my	appge
theory	theory	nn1
--	--	x
but	but	ccb
first	first	md
you	you	ppy
should	should	vm
know	know	vvi
that	that	cst
this	this	dd1
is	be	vbz
one	one	mc1
extraordinary	extraordinary	jj
rose	rose	nn1_jj@
garden	garden	nn1
,	,	y
the	the	at
kind	kind	nn1
that	that	cst
compels	compel	nn2_vvz
passersby	passersby	vv0_jj_nn1
to	to	to
stop	stop	vvi
their	their	appge
cars	car	nn2
and	and	cc
wander	wander	vvi
,	,	y
drawn	draw	vvn
like	like	ii
hummingbirds	hummingbird	nn2
to	to	ii
the	the	at
incredible	incredible	jj
burst	burst	nn1
of	of	io
color	color	nn1
vibrating	vibrate	vvg
from	from	ii
trellises	trellis	nn2
of	of	io
climbers	climber	nn2
and	and	cc
intricate	intricate	jj
topiaries	topiary	nn2
of	of	io
bush	bush	nn1
plants	plant	nn2
.	.	y
Men	man	nn2
,	,	y
it	it	pph1
seems	seem	vvz
,	,	y
relate	relate	vv0
to	to	ii
this	this	dd1
even	even	rr
more	more	rgr
strongly	strongly	rr
than	than	csn
women	woman	nn2
.	.	y
The	the	at
garden	garden	nn1
is	be	vbz
outside	outside	ii_rl
the	the	at
landmark	landmark	nn1
Shady	shady	jj
Rest	rest	nn1
Restaurant	restaurant	nn1
on	on	ii
Route	route	nn1
9	9	mc
in	in	ii
Bayville	bayville	np1
,	,	y
New	new	np1
Jersey	jersey	np1
,	,	y
a	a	at1
beautiful	beautiful	jj
rococo	rococo	jj_nn1
device	device	nn1
that	that	cst_dd1
draws	draw	vvz
intrigued	intrigued	jj
visitors	visitor	nn2
into	into	ii
the	the	at
restaurant	restaurant	nn1
.	.	y
It	it	pph1
's	be	vbz
a	a	at1
tender	tender	jj
trap	trap	nn1
because	because	cs
the	the	at
food	food	nn1
,	,	y
which	which	ddq
centers	center	nn2_vvz%
on	on	ii
sea	sea	nn1
fare	fare	nn1
and	and	cc
pasta	pasta	nn1
,	,	y
is	be	vbz
very	very	rg
good	good	jj
.	.	y
The	the	at
garden	garden	nn1
,	,	y
I	i	ppis1
think	think	vv0
,	,	y
reflects	reflect	vvz
its	its	z'
owner	owner	nn1
's	's	ge
insatiable	insatiable	jj
infatuation	infatuation	nn1
with	with	iw
color	color	nn1
,	,	y
patterns	pattern	nn2
and	and	cc
creative	creative	jj
design	design	nn1
--	--	x
abundantly	abundantly	rr
evident	evident	jj
inside	inside	rl_nn1@
,	,	y
as	as	rr21
well	well	rr22_rr
.	.	y
Like	like	ii_vv0@
a	a	at1
bowerbird	bowerbird	nn1
,	,	y
Bob	bob	np1
Popovics	popovics	np1
,	,	y
the	the	at
ex-Marine	ex-marine	jj_nn1@
turned	turned	jj%_vvd_vvn
restaurateur	restaurateur	nn1
,	,	y
has	have	vhz
created	create	vvn
in	in	ii
his	his	appge
Shady	shady	jj
Rest	rest	nn1_vv0
a	a	at1
small	small	jj
haven	haven	nn1
evocative	evocative	jj
of	of	io
his	his	appge
passion	passion	nn1
for	for	if
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
exotic	exotic	jj
fish	fish	nn
species	species	nn
line	line	vv0@
the	the	at
walls	wall	nn2
.	.	y
There	there	ex
are	be	vbr
handsome	handsome	jj
fish	fish	nn
carvings	carving	nn2
behind	behind	ii
plexiglass	plexiglass	nn1
,	,	y
a	a	at1
gemlike	gem-like	jj
fly-tying	fly-tying	jj_nn1
display	display	nn1
and	and	cc
an	a	at1
exquisite	exquisite	jj
hand-crafted	handcrafted	jj
net	net	nn1_jj
,	,	y
the	the	at
twin	twin	nn1
of	of	io
which	which	ddq
was	be	vbdz
presented	present	vvn
to	to	ii
former	former	da
President	president	nnb
Bush	bush	np1
.	.	y
Although	although	cs
there	there	ex
's	be	vbz
no	no	at
denying	deny	vvg_nn1%
Popovics	popovics	np1_nn2_nn1
'	'	ge
passion	passion	nn1
for	for	if
angling	angling	nn1_vvg@
artifacts	artifact	nn2
that	that	cst
have	have	vh0
been	be	vbn
elevated	elevate	vvn
to	to	ii
artforms	artform	nn2
,	,	y
anglers	angler	nn2
know	know	vv0
his	his	appge
fascination	fascination	nn1
with	with	iw
color	color	nn1
,	,	y
design	design	nn1
and	and	cc
fine	fine	jj
craftsmanship	craftsmanship	nn1
through	through	ii
the	the	at
man	man	nn1
's	's	ge
own	own	da
work	work	nn1
.	.	y
It	it	pph1
is	be	vbz
for	for	if
his	his	appge
unique	unique	jj
,	,	y
tradition-breaking	tradition-breaking	jj_nn1
fly	fly	nn1_jj@
patterns	pattern	nn2
that	that	cst
Bob	bob	np1
Popovics	popovics	np1_nn1
has	have	vhz
stormed	storm	vvn
to	to	ii
prominence	prominence	nn1
in	in	ii
the	the	at
modern	modern	jj
angling	angling	nn1
world	world	nn1
.	.	y
It	it	pph1
happened	happen	vvd
quickly	quickly	rr
.	.	y
In	in	ii
1970	1970	mc
,	,	y
newly	newly	rr
married	married	jj_vvn@
and	and	cc
back	back	rp_nn1
in	in	ii
Seaside	seaside	nn1
Park	park	nn1
,	,	y
New	new	np1
Jersey	jersey	np1
,	,	y
after	after	cs_ii
his	his	appge
stint	stint	nn1
with	with	iw
the	the	at
First	first	md
Marine	marine	jj
Air	air	nn1
Wing	wing	nn1
Division	division	nn1
in	in	ii
Danang	danang	np1_nn1
,	,	y
Popovics	popovics	np1_nn2_nn1
and	and	cc
his	his	appge
pals	pal	nn2
Butch	butch	np1
Colvin	colvin	np1
and	and	cc
Jim	jim	np1
McGee	mcgee	np1
were	be	vbdr
into	into	ii
hot	hot	jj
bluefish	bluefish	nn1
one	one	mc1
day	day	nnt1
,	,	y
when	when	rrq
Bob	bob	np1
glanced	glance	vvd
over	over	rp_ii
his	his	appge
shoulder	shoulder	nn1
.	.	y
"	"	y
I	i	ppis1
suddenly	suddenly	rr
saw	see	vvd
these	these	dd2
bright	bright	jj
,	,	y
thick	thick	jj
lines	line	nn2
going	go	vvg
out	out	rp
like	like	ii
party	party	nn1
streamers	streamer	nn2
and	and	cc
realized	realize	vvd
they	they	pphs2
were	be	vbdr
fly	fly	jj@
lines	line	nn2
.	.	y
I	i	ppis1
'd	have	vm_vhd
never	never	rr
tried	try	vvn
it	it	pph1
,	,	y
always	always	rr
wanted	want	vvn_vvd
to	to	to
,	,	y
and	and	cc
told	tell	vvn
Butch	butch	np1
.	.	y
Within	within	ii
the	the	at
week	week	nnt1
he	he	pphs1
and	and	cc
his	his	appge
dad	dad	nn1
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
tackle	tackle	nn1
shop	shop	nn1
,	,	y
casting	cast	vvg
over	over	ii_rp
the	the	at
street	street	nn1
.	.	y
I	i	ppis1
got	get	vvd
excited	excited	jj
right	right	nn1_rr
away	away	rl
.	.	y
"	"	y
Soon	soon	rr
after	after	cs
,	,	y
it	it	pph1
was	be	vbdz
my	my	appge
birthday	birthday	nn1
,	,	y
and	and	cc
Butch	butch	np1
came	come	vvd
to	to	ii
our	our	appge
house	house	nn1
to	to	to
watch	watch	vvi
the	the	at
Ranger-Bruins	ranger-bruins	np2
hockey	hockey	nn1
game	game	nn1
.	.	y
In	in	ii
a	a	at1
cardboard	cardboard	jj_nn1
beer	beer	nn1
flat	flat	nn1
,	,	y
he	he	pphs1
had	have	vhd
an	a	at1
old	old	jj
vise	vise	nn1
,	,	y
tools	tool	nn2
,	,	y
bucktails	bucktails	nn2_vvz
,	,	y
feathers	feather	nn2
.	.	y
He	he	pphs1
said	say	vvd
'	'	ge
Happy	happy	jj
Birthday	birthday	nn1
!	!	y
'	'	"@_ge
I	i	ppis1
told	tell	vvd
him	him	ppho1
,	,	y
'	'	"@
Ah	ah	uh
,	,	y
Butch	butch	np1
,	,	y
I	i	ppis1
ca	can	vm
n't	n't	xx
do	do	vdi
that	that	dd1
;	;	y
look	look	vv0_nn1
at	at	ii
these	these	dd2
big	big	jj
hands	hand	nn2
.	.	y
'	'	"@_ge
He	he	pphs1
said	say	vvd
,	,	y
'	'	"@
You	you	ppy
're	be	vbr
going	go	vvgk
to	to	to
learn	learn	vvi
between	between	ii
periods	period	nn2
.	.	y
'	'	"@_ge
I	i	ppis1
liked	like	vvd
it	it	pph1
right	right	rr
away	away	rl_jj%
--	--	x
and	and	cc
then	then	rt
I	i	ppis1
went	go	vvd
crazy	crazy	jj
over	over	ii
it	it	pph1
.	.	y
Butch	butch	np1
made	make	vvd
me	me	ppio1
keep	keep	vv0_nn1%
an	a	at1
open	open	jj
mind	mind	nn1
.	.	y
There	there	ex
was	be	vbdz
no	no	at
addition	addition	nn1
in	in	ii
saltwater	saltwater	jjr_nn1
fly	fly	nn1
tying	tying	nn1_vvg
.	.	y
'	'	"@_ge
We	we	ppis2
've	have	vh0
not	not	xx
been	be	vbn
told	tell	vvn
things	thing	nn2
we	we	ppis2
can	can	vm
'	'	"@_ge
t	t	zz1
do	do	vd0
,	,	y
'	'	"@
he	he	pphs1
said	say	vvd
.	.	y
'	'	"@
There	there	ex
's	be	vbz
always	always	rr
a	a	at1
way	way	nn1
,	,	y
so	so	rr
do	do	vd0
it	it	pph1
.	.	y
"	"	y
Popovics	popovics	nn2_np1@_nn1
did	do	vdd
exactly	exactly	rr
that	that	dd1_cst
,	,	y
first	first	md
collaborating	collaborate	vvg_jj@
with	with	iw
Colvin	colvin	np1
on	on	ii
a	a	at1
method	method	nn1
to	to	to
produce	produce	vvi
big	big	jj
extended-body	extended-body	jj_nn1
streamers	streamer	nn2
that	that	cst
imitate	imitate	vv0
menhaden	menhaden	np        
(	(	y
mossbunker	mossbunker	nn1
)	)	y
,	,	y
then	then	rt
going	go	vvg
on	on	rp
to	to	to
create	create	vvi
an	a	at1
entire	entire	jj
family	family	nn1
of	of	io
patterns	pattern	nn2
that	that	cst
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
back	back	rp
to	to	ii
the	the	at
'	'	"@_ge
60	60	mc221%
's	's	mc222%
,	,	y
though	though	cs_rr@
,	,	y
and	and	cc
you	you	ppy
'd	have	vm
have	have	vhi
no	no	at
hint	hint	nn1
that	that	cst
a	a	at1
cult	cult	nn1
of	of	io
Popfleye	popfleye	np1_nn1
sic	sic	rr
,	,	y
(	(	y
as	as	csa
he	he	pphs1
calls	call	vvz
his	his	appge
creations	creation	nn2
)	)	y
,	,	y
and	and	cc
Popovics	popovics	nn1_np1
enthusiasts	enthusiast	nn2
were	be	vbdr
destined	destine	vvn
to	to	to
burst	burst	vvi
onto	onto	ii
the	the	at
fishing	fishing	nn1
scene	scene	nn1
.	.	y
Back	back	rp_nn1
then	then	rt
there	there	ex
was	be	vbdz
no	no	at
rose	rose	nn1_jj@
garden	garden	nn1
,	,	y
and	and	cc
the	the	at
restaurant	restaurant	nn1
was	be	vbdz
called	call	vvn
the	the	at
Shady	shady	jj
Rest	rest	nn1
Pizza	pizza	nn1
Parlor	parlor	nn1_np1
and	and	cc
Cabins	cabin	nn2
.	.	y
Although	although	cs
he	he	pphs1
'd	have	vhd_vm
always	always	rr
worked	work	vvn
in	in	ii
the	the	at
family	family	nn1
business	business	nn1
,	,	y
young	young	jj
Popovics	popovics	nn2_nn1
had	have	vhd
just	just	rr
finished	finish	vvn
schooling	school	vvg_nn1
as	as	ii
a	a	at1
computer	computer	nn1
programmer	programmer	nn1
when	when	cs_rrq
the	the	at
invitation	invitation	nn1
from	from	ii
the	the	at
Marine	marine	jj
Corps	corps	nn
arrived	arrive	vvd_vvn
:	:	y
"	"	y
Why	why	rrq
do	do	vd0
n't	n't	xx
you	you	ppy
join	join	vvi
us	us	ppio2
;	;	y
"	"	y
it	it	pph1
read	read	vvd
,	,	y
"	"	y
you	you	ppy
do	do	vd0
n't	n't	xx
have	have	vhi
to	to	to
go	go	vvi
right	right	rr_nn1
away	away	rl
...	...	...
"	"	y
"	"	y
Fifteen	fifteen	mc
minutes	minute	nnt2
after	after	ii
reading	read	vvg
the	the	at
invite	invite	nn1%_vv0
,	,	y
I	i	ppis1
went	go	vvd
and	and	cc
signed	sign	vvd_vvn
up	up	rp
,	,	y
and	and	cc
my	my	appge
mother	mother	nn1
said	say	vvd
,	,	y
