##4001166		
ABSTRACT	abstract	jj_nn1@_vv0@
classes	class	nn2
participated	participate	vvd_vvn@
in	in	ii
the	the	at
study	study	nn1
as	as	csa_ii@
one	one	mc1
of	of	io
several	several	da2
ways	way	nn2
to	to	to
fulfill	fulfill	vvi
a	a	at1
research	research	nn1
requirement	requirement	nn1
.	.	y
Because	because	cs
the	the	at
study	study	nn1
was	be	vbdz
limited	limit	vvn
to	to	ii
exploring	explore	vvg
Christian	christian	jj
views	view	nn2
,	,	y
we	we	ppis2
included	include	vvd
only	only	jj
respondents	respondent	nn2
who	who	pnqs
identified	identify	vvd@
themselves	themselves	ppx2
as	as	csa
having	have	vhg
a	a	at1
Christian	christian	jj
background	background	nn1
.	.	y
In	in	ii31
terms	terms	ii32
of	of	ii33
religious	religious	jj
orientation	orientation	nn1
,	,	y
participants	participant	nn2
identified	identify	vvn_vvd@
themselves	themselves	ppx2
as	as	csa_ii@
Protestant	protestant	jj_nn1
(	(	y
n	xx_n	zz1
=	=	fo
103	103	mc
)	)	y
,	,	y
Catholic	catholic	nn1_jj
(	(	y
n	xx_n	zz1
=	=	fo
72	72	mc
)	)	y
,	,	y
nondenominational	nondenominational	jj
Christian	christian	nn1@_jj
(	(	y
n	xx_n	zz1
=	=	fo
20	20	mc
)	)	y
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
other	other	jj_nn1@
(	(	y
n	xx_n	zz1
=	=	fo
8	8	mc
)	)	y
.	.	y
The	the	at
"	"	y
other	other	jj
"	"	y
category	category	nn1
included	include	vvd_vvn
individuals	individual	nn2
who	who	pnqs
identified	identify	vvd@
themselves	themselves	ppx2
as	as	csa
having	have	vhg
no	no	at
current	current	jj
Christian	christian	jj
affiliation	affiliation	nn1
but	but	ccb
whose	whose	ddqge
parents	parent	nn2
were	be	vbdr
either	either	rr
Catholic	catholic	jj
or	or	cc
Protestant	protestant	nn1_jj
.	.	y
Ages	age	nn2
of	of	io
participants	participant	nn2
ranged	range	vvn_vvd
from	from	ii
17	17	mc
to	to	ii
36	36	mc
with	with	iw
a	a	at1
mean	mean	jj
age	age	nn1
of	of	io
18	18	mc
years	year	nnt2
(	(	y
SD	sd	np1
=	=	fo
1.6	1.6	mc
)	)	y
.	.	y
The	the	at
sample	sample	nn1
was	be	vbdz
composed	compose	vvn
of	of	io
155	155	mc
first-year	first-year	jj
students	student	nn2
,	,	y
41	41	mc
sophomores	sophomore	nn2
,	,	y
19	19	mc
juniors	junior	nn2
,	,	y
and	and	cc
6	6	mc
seniors	senior	nn2
;	;	y
of	of	io
these	these	dd2
students	student	nn2
,	,	y
187	187	mc
were	be	vbdr
European	european	jj
Americans	american	nn2
,	,	y
14	14	mc
were	be	vbdr
Latinas/os	latinas/os	nn2
,	,	y
8	8	mc
were	be	vbdr
Asian	asian	jj
Americans	american	nn2
,	,	y
4	4	mc
were	be	vbdr
African	african	jj
Americans	american	nn2
,	,	y
3	3	mc
were	be	vbdr
Native	native	jj
Americans	american	nn2
,	,	y
and	and	cc
5	5	mc
did	do	vdd
not	not	xx
specify	specify	vvi
ethnicity	ethnicity	nn1
.	.	y
All	all	db
participants	participant	nn2
signed	sign	vvd_vvn
a	a	at1
consent	consent	nn1
form	form	nn1
and	and	cc
were	be	vbdr
treated	treat	vvn
in	in	ii31
accordance	accordance	ii32
with	with	ii33
the	the	at
"	"	y
ethical	ethical	jj
principles	principle	nn2
of	of	io
psychologists	psychologist	nn2
"	"	y
(	(	y
American	american	jj
Psychological	psychological	jj
Association	association	nn1
,	,	y
1992	1992	mc
)	)	y
.	.	y
Materials	material	nn2
<p>	<p>	y
The	the	at
Christian	christian	jj
Religious	religious	jj
History	history	nn1
Quiz	quiz	nn1
(	(	y
henceforth	henceforth	rt
referred	refer	vvn_vvd
to	to	ii
as	as	ii_csa
the	the	at
CRH-Quiz	crh-quiz	nn1_jj
)	)	y
was	be	vbdz
designed	design	vvn
to	to	ii
measure	measure	nn1
participants	participant	nn2
'	'	ge
knowledge	knowledge	nn1
of	of	io
Christian	christian	jj
religious	religious	jj
history	history	nn1
(	(	y
see	see	vv0
Table	table	nn1
1	1	mc1
)	)	y
.	.	y
Based	base	vvn
on	on	ii
a	a	at1
review	review	nn1
of	of	io
literature	literature	nn1
on	on	ii
the	the	at
history	history	nn1
of	of	io
Christianity	christianity	nn1
(	(	y
Reid	reid	np1
,	,	y
Linder	linder	np1
,	,	y
Shelley	shelley	np1
,	,	y
&;	&;	x
Stout	stout	nn1
,	,	y
1990	1990	mc
)	)	y
,	,	y
we	we	ppis2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Christian	christian	nn1@_jj
(	(	y
true	true	jj
for	for	if
both	both	rr
Catholics	catholic	nn2
and	and	cc
Protestants	protestant	nn2
)	)	y
statements	statement	nn2
.	.	y
Three	three	mc
historically	historically	rr
inaccurate	inaccurate	jj
statements	statement	nn2
were	be	vbdr
also	also	rr
included	include	vvn
(	(	y
one	one	mc1_pn1
presumably	presumably	rr
Catholic	catholic	jj_nn1
,	,	y
one	one	pn1
presumably	presumably	rr
Protestant	protestant	jj_nn1
,	,	y
and	and	cc
one	one	pn1_mc1
general	general	jj_nn1
Christian	christian	jj_nn1@
)	)	y
.	.	y
<p>	<p>	y
The	the	at
final	final	jj_nn1
CRH-Q	crh-q	nn1@_np1@_jj
consisted	consist	vvn_vvd
of	of	io
19	19	mc
statements	statement	nn2
(	(	y
5	5	mc
Protestant	protestant	jj_nn1
,	,	y
6	6	mc
Catholic	catholic	jj_nn1
,	,	y
and	and	cc
8	8	mc
general	general	jj_nn1
)	)	y
describing	describe	vvg
issues	issue	nn2
or	or	cc
ideological	ideological	jj
positions	position	nn2
supported	support	vvn_vvd
or	or	cc
opposed	oppose	vvn
by	by	ii
Catholic	catholic	nn1_jj
and/or	and/or	cc
Protestant	protestant	jj_nn1
conservatives	conservative	nn2
.	.	y
These	these	dd2
statements	statement	nn2
covered	cover	vvd_vvn
topics	topic	nn2
such	such	ii21
as	as	ii22
the	the	at
separation	separation	nn1
between	between	ii
science	science	nn1
and	and	cc
religion	religion	nn1
(	(	y
Items	item	nn2
3	3	mc
,	,	y
8	8	mc
,	,	y
15	15	mc
)	)	y
,	,	y
the	the	at
status	status	nn1
of	of	io
women	woman	nn2
(	(	y
Items	item	nn2
1	1	mc1
,	,	y
5	5	mc
,	,	y
6	6	mc
)	)	y
,	,	y
the	the	at
regulation	regulation	nn1
of	of	io
sexual	sexual	jj
behavior	behavior	nn1
(	(	y
Items	item	nn2
2	2	mc
,	,	y
4	4	mc
,	,	y
7	7	mc
,	,	y
9	9	mc
,	,	y
18	18	mc
)	)	y
,	,	y
the	the	at
separation	separation	nn1
of	of	io
church	church	nn1
and	and	cc
state	state	nn1_vv0
(	(	y
Items	item	nn2
10	10	mc
,	,	y
11	11	mc
,	,	y
14	14	mc
,	,	y
17	17	mc
)	)	y
,	,	y
and	and	cc
the	the	at
literal	literal	jj
interpretation	interpretation	nn1
of	of	io
the	the	at
Bible	bible	nn1
(	(	y
Item	item	nn1
13	13	mc
)	)	y
.	.	y
Participants	participant	nn2
were	be	vbdr
asked	ask	vvn@
to	to	to
indicate	indicate	vvi
whether	whether	csw
the	the	at
statements	statement	nn2
were	be	vbdr
historically	historically	rr
true	true	jj
or	or	cc
false	false	jj_rr@
.	.	y
A	a	at1
respondent	respondent	nn1
's	's	ge
CRH-Quiz	crh-quiz	jj_nn1
score	score	nn1
was	be	vbdz
obtained	obtain	vvn
by	by	ii
averaging	average	vvg
incorrect	incorrect	jj
responses	response	nn2
across	across	ii
the	the	at
19	19	mc
items	item	nn2
.	.	y
Each	each	dd1
incorrect	incorrect	jj
response	response	nn1
received	receive	vvd_vvn
a	a	at1
score	score	nn1
of	of	io
1	1	mc1
.	.	y
Averaged	averaged	jj
CRH-Quiz	crh-quiz	jj_nn1
scores	score	nn2
ranged	range	vvn_vvd
from	from	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
identification	identification	nn1
and	and	cc
lower	low	jjr
scores	score	nn2
indicating	indicate	vvg
more	more	rgr
accurate	accurate	jj
identification	identification	nn1
.	.	y
<p>	<p>	y
In	in	ii31
addition	addition	ii32
to	to	ii33
the	the	at
CRH-Quiz	crh-quiz	nn1_jj
,	,	y
two	two	mc
scales	scale	nn2
were	be	vbdr
developed	develop	vvn_jj
consistent	consistent	jj
with	with	iw
the	the	at
method	method	nn1
used	use	vvn
by	by	ii
Sugar	sugar	np1@_nn1
et	et	ra21
al	al	ra22
.	.	y
(	(	y
1992	1992	mc
)	)	y
.	.	y
The	the	at
first	first	md
,	,	y
entitled	entitle	vvn
the	the	at
Christian	christian	jj
Religious	religious	jj
Orientation	orientation	nn1
Scale	scale	nn1
(	(	y
henceforth	henceforth	rt
referred	refer	vvn_vvd
to	to	ii
as	as	ii_csa
the	the	at
CROS	cro	np2_nn2
)	)	y
,	,	y
was	be	vbdz
designed	design	vvn
to	to	to
assess	assess	vvi
whether	whether	csw
respondents	respondent	nn2
were	be	vbdr
conservative	conservative	jj
,	,	y
moderate	moderate	jj_vv0@
,	,	y
or	or	cc
liberal	liberal	jj_nn1@
in	in	ii
their	their	appge
current	current	jj
religious	religious	jj
orientation	orientation	nn1
(	(	y
see	see	vv0
Table	table	nn1
2	2	mc
)	)	y
.	.	y
The	the	at
second	second	nnt1_md
,	,	y
Perception	perception	nn1
of	of	io
Historical	historical	jj
Christian	christian	jj
Conservatism	conservatism	nn1
Scale	scale	nn1
(	(	y
henceforth	henceforth	rt
referred	refer	vvn_vvd
to	to	ii
as	as	ii_csa
the	the	at
PHCCS	phccs	np1
)	)	y
,	,	y
was	be	vbdz
designed	design	vvn
to	to	ii
measure	measure	nn1
perceptions	perception	nn2
of	of	io
conservative	conservative	jj_nn1
positions	position	nn2
in	in	ii
Christian	christian	jj
history	history	nn1
(	(	y
see	see	vv0
Table	table	nn1
3	3	mc
)	)	y
.	.	y
<p>	<p>	y
The	the	at
Christian	christian	jj
Religious	religious	jj
Orientation	orientation	nn1
Scale	scale	nn1
(	(	y
CROS	cro	np2_nn2
)	)	y
consisted	consist	vvd_vvn
of	of	io
19	19	mc
statements	statement	nn2
describing	describe	vvg
positions	position	nn2
that	that	cst
are	be	vbr
endorsed	endorse	vvn
by	by	ii
most	most	dat
Christian	christian	jj
orthodoxies	orthodoxy	nn2
in	in	ii
the	the	at
United	united	np1
States	state	np1
(	(	y
e.g.	eg	rex
,	,	y
creationism	creationism	nn1
,	,	y
sexual	sexual	jj
abstinence	abstinence	nn1
before	before	ii_cs
marriage	marriage	nn1
,	,	y
male	male	jj_nn1
ministry	ministry	nn1
,	,	y
and	and	cc
the	the	at
authority	authority	nn1
and	and	cc
infallibility	infallibility	nn1
of	of	io
the	the	at
Bible	bible	nn1
;	;	y
Reid	reid	np1
et	et	ra21
al.	al	ra22
,	,	y
1990	1990	mc
)	)	y
.	.	y
Several	several	da2
items	item	nn2
were	be	vbdr
adapted	adapt	vvn
from	from	ii
Fullerton	fullerton	np1
and	and	cc
Hunsberger	hunsberger	np1_nn1
's	's	ge
(	(	y
1982	1982	mc
)	)	y
Unidimensional	unidimensional	jj_np1
Scale	scale	nn1
of	of	io
Christian	christian	jj
Orthodoxy	orthodoxy	nn1
.	.	y
The	the	at
remaining	remaining	jj
items	item	nn2
were	be	vbdr
based	base	vvn
on	on	ii
a	a	at1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
e.g.	eg	rex
,	,	y
Zodhiates	zodhiates	np1_nn2_vvz
,	,	y
1990	1990	mc
)	)	y
.	.	y
Respondents	respondent	nn2
were	be	vbdr
asked	ask	vvn@
to	to	to
indicate	indicate	vvi
the	the	at
extent	extent	nn1
of	of	io
their	their	appge
agreement	agreement	nn1
with	with	iw
these	these	dd2
positions	position	nn2
on	on	ii
a	a	at1
7-point	7-point	jj_nn1
scale	scale	nn1
.	.	y
Eleven	eleven	mc
of	of	io
the	the	at
scale	scale	nn1
items	item	nn2
were	be	vbdr
worded	word	vvn@
so	so	cs21
that	that	cs22
a	a	at1
strongly	strongly	rr
agree	agree	vv0
response	response	nn1
reflected	reflect	vvd_vvn
a	a	at1
conservative	conservative	jj
religious	religious	jj
orientation	orientation	nn1
(	(	y
e.g.	eg	rex
,	,	y
"	"	y
The	the	at
Bible	bible	nn1
in	in	ii
every	every	at1
detail	detail	nn1
is	be	vbz
the	the	at
literal	literal	jj
word	word	nn1
of	of	io
God	god	np1
"	"	y
)	)	y
;	;	y
for	for	if
the	the	at
rest	rest	nn1
of	of	io
the	the	at
items	item	nn2
a	a	at1
strongly	strongly	rr
agree	agree	vv0
response	response	nn1
reflected	reflect	vvd_vvn
a	a	at1
liberal	liberal	jj
religious	religious	jj
orientation	orientation	nn1
(	(	y
e.g.	eg	rex
,	,	y
"	"	y
The	the	at
professional	professional	jj
ministry	ministry	nn1
or	or	cc
priesthood	priesthood	nn1
should	should	vm
be	be	vbi
open	open	jj
to	to	ii
women	woman	nn2
"	"	y
)	)	y
.	.	y
These	these	dd2
latter	latter	da
items	item	nn2
were	be	vbdr
scored	score	vvn
on	on	ii
a	a	at1
7-point	7-point	jj_nn1
scale	scale	nn1
with	with	iw
a	a	at1
strongly	strongly	rr
agree	agree	vv0
response	response	nn1
receiving	receive	vvg
a	a	at1
score	score	nn1
of	of	io
7	7	mc
and	and	cc
a	a	at1
strongly	strongly	rr
disagree	disagree	vv0
response	response	nn1
receiving	receive	vvg
a	a	at1
score	score	nn1
of	of	io
1	1	mc1
.	.	y
The	the	at
former	former	da
items	item	nn2
were	be	vbdr
reverse	reverse	nn1_jj
scored	score	vvd_vvn
.	.	y
<p>	<p>	y
The	the	at
final	final	jj_nn1
CROS	cro	nn2_np2
score	score	nn1_vv0
was	be	vbdz
computed	compute	vvn
for	for	if
each	each	dd1
participant	participant	nn1
by	by	ii
averaging	average	vvg_nn1
across	across	ii
the	the	at
19	19	mc
items	item	nn2
.	.	y
In	in	rr21
addition	addition	rr22
,	,	y
participants	participant	nn2
were	be	vbdr
asked	ask	vvn@
to	to	to
give	give	vvi
a	a	at1
personal	personal	jj
definition	definition	nn1
of	of	io
religious	religious	jj
conservatism	conservatism	nn1
and	and	cc
liberalism	liberalism	nn1
.	.	y
These	these	dd2
definitions	definition	nn2
were	be	vbdr
used	use	vvn
to	to	to
confirm	confirm	vvi
knowledge	knowledge	nn1
of	of	io
the	the	at
meaning	meaning	nn1
of	of	io
conservatism	conservatism	nn1
and	and	cc
liberalism	liberalism	nn1
.	.	y
Participants	participant	nn2
were	be	vbdr
also	also	rr
asked	ask	vvn
to	to	ii
rate	rate	nn1
on	on	ii
a	a	at1
7-point	7-point	jj_nn1
scale	scale	nn1
how	how	rrq_rgq@
religiously	religiously	rr
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
as	as	ii_csa
the	the	at
religious	religious	jj
self-rating	self-rating	jj_nn1
item	item	nn1
)	)	y
.	.	y
<p>	<p>	y
The	the	at
Perception	perception	nn1
of	of	io
Historical	historical	jj
Christian	christian	jj
Conservatism	conservatism	nn1
Scale	scale	nn1
(	(	y
PHCCS	phccs	np1
)	)	y
consisted	consist	vvd_vvn
of	of	io
the	the	at
same	same	da
items	item	nn2
as	as	csa
the	the	at
CRH-Quiz	crh-quiz	nn1_jj
with	with	iw
different	different	jj
instructions	instruction	nn2
.	.	y
Instead	instead	ii21
of	of	ii22
judging	judge	vvg
whether	whether	csw
a	a	at1
statement	statement	nn1
was	be	vbdz
true	true	jj
or	or	cc
false	false	jj_rr@
,	,	y
participants	participant	nn2
were	be	vbdr
asked	ask	vvn@
to	to	to
assume	assume	vvi
that	that	cst
the	the	at
statements	statement	nn2
were	be	vbdr
historically	historically	rr
accurate	accurate	jj
and	and	cc
to	to	to
judge	judge	vvi
whether	whether	csw
each	each	dd1
item	item	nn1
was	be	vbdz
more	more	rgr
likely	likely	jj
to	to	to
represent	represent	vvi
the	the	at
position	position	nn1
of	of	io
a	a	at1
conservative	conservative	nn1_jj
or	or	cc
a	a	at1
liberal	liberal	jj_nn1@
.	.	y
Eight	eight	mc
items	item	nn2
reflected	reflect	vvd_vvn
the	the	at
position	position	nn1
of	of	io
a	a	at1
conservative	conservative	nn1_jj
.	.	y
For	for	rex21
example	example	rex22
,	,	y
one	one	mc1
PHCCS	phccs	np1
conservative	conservative	jj_nn1
item	item	nn1
stated	state	vvd_vvn
that	that	cst
"	"	y
Until	until	cs_ii@
1961	1961	mc
,	,	y
it	it	pph1
was	be	vbdz
illegal	illegal	jj
in	in	ii
most	most	dat
states	state	nn2
east	east	nd1
of	of	io
the	the	at
Mississippi	mississippi	np1
River	river	nnl1
to	to	to
keep	keep	vvi
a	a	at1
business	business	nn1
open	open	vv0_jj_rr@
on	on	ii
Sunday	sunday	npd1
.	.	y
Sunday	sunday	npd1_np1@
was	be	vbdz
considered	consider	vvn
the	the	at
appointed	appointed	jj@
day	day	nnt1
of	of	io
rest	rest	nn1
and	and	cc
worship	worship	nn1
.	.	y
"	"	y
Respondents	respondent	nn2
were	be	vbdr
asked	ask	vvn@
to	to	to
indicate	indicate	vvi
on	on	ii_rp@
a	a	at1
scale	scale	nn1
from	from	ii
1	1	mc1
to	to	ii
7	7	mc
whether	whether	csw
those	those	dd2
who	who	pnqs
were	be	vbdr
opposed	oppose	vvn
to	to	ii
opening	open	vvg
a	a	at1
place	place	nn1
of	of	io
business	business	nn1
on	on	ii
Sunday	sunday	npd1
were	be	vbdr
more	more	rgr
likely	likely	jj
to	to	to
be	be	vbi
religiously	religiously	rr
liberal	liberal	jj
or	or	cc
conservative	conservative	nn1_jj
.	.	y
A	a	at1
score	score	nn1
of	of	io
1	1	mc1
indicated	indicate	vvd_vvn
that	that	cst
the	the	at
respondent	respondent	nn1
judged	judge	vvd_vvn
a	a	at1
given	given	jj@
position	position	nn1
to	to	to
be	be	vbi
conservative	conservative	jj
and	and	cc
a	a	at1
score	score	nn1
of	of	io
7	7	mc
indicated	indicate	vvd_vvn
that	that	cst
a	a	at1
respondent	respondent	nn1
judged	judge	vvd_vvn
a	a	at1
given	given	jj@
position	position	nn1
to	to	to
be	be	vbi
liberal	liberal	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
liberals	liberal	nn2
and	and	cc
were	be	vbdr
reverse	reverse	nn1_jj
scored	score	vvd_vvn
.	.	y
For	for	rex21
example	example	rex22
,	,	y
one	one	mc1
item	item	nn1
stated	state	vvd_vvn
that	that	cst_dd1
"	"	y
In	in	ii
the	the	at
18th	18th	md
century	century	nnt1
,	,	y
the	the	at
vaccine	vaccine	nn1
preventing	prevent	vvg
smallpox	smallpox	nn
was	be	vbdz
introduced	introduce	vvn
.	.	y
Some	some	dd
Christians	christian	nn2
denounced	denounce	vvd_vvn
the	the	at
practice	practice	nn1
of	of	io
inoculation	inoculation	nn1
as	as	csa_ii@
interfering	interfere	vvg
in	in	ii
God	god	np1
's	's	ge
work	work	nn1
.	.	y
"	"	y
2	2	mc
Respondents	respondent	nn2
were	be	vbdr
asked	ask	vvn@
to	to	to
assume	assume	vvi
that	that	cst
the	the	at
statement	statement	nn1
was	be	vbdz
historically	historically	rr
accurate	accurate	jj
and	and	cc
to	to	to
indicate	indicate	vvi
on	on	ii_rp@
a	a	at1
7-point	7-point	jj_nn1
scale	scale	nn1
whether	whether	csw
those	those	dd2
who	who	pnqs
were	be	vbdr
favorable	favorable	jj
to	to	ii
vaccination	vaccination	nn1
were	be	vbdr
more	more	rgr
likely	likely	jj
to	to	to
be	be	vbi
liberal	liberal	jj
or	or	cc
conservative	conservative	nn1_jj
.	.	y
Respondents	respondent	nn2
who	who	pnqs
answered	answer	vvd
liberal	liberal	jj_nn1@
(	(	y
7	7	mc
)	)	y
received	receive	vvd
a	a	at1
score	score	nn1
of	of	io
1	1	mc1
.	.	y
<p>	<p>	y
The	the	at
three	three	mc
historically	historically	rr
inaccurate	inaccurate	jj
items	item	nn2
were	be	vbdr
included	include	vvn
in	in	ii
the	the	at
scale	scale	nn1
to	to	to
disguise	disguise	vvi
the	the	at
purpose	purpose	nn1
of	of	io
the	the	at
scale	scale	nn1
,	,	y
but	but	ccb
were	be	vbdr
not	not	xx
entered	enter	vvn
in	in	ii
the	the	at
final	final	jj_nn1
score	score	nn1
.	.	y
The	the	at
final	final	jj_nn1
PHCCS	phccs	np1
score	score	nn1
was	be	vbdz
computed	compute	vvn
for	for	if
each	each	dd1
participant	participant	nn1
by	by	ii
averaging	average	vvg_nn1
across	across	ii
the	the	at
16	16	mc
historically	historically	rr
accurate	accurate	jj
items	item	nn2
.	.	y
The	the	at
final	final	jj_nn1
scores	score	nn2
could	could	vm
range	range	vvi
from	from	ii
I	i	zz1%_mc1%
(	(	y
accurate	accurate	jj
judgment	judgment	nn1
)	)	y
to	to	ii
7	7	mc
(	(	y
inaccurate	inaccurate	jj
judgment	judgment	nn1
)	)	y
.	.	y
Higher	high	jjr
scores	score	nn2
indicated	indicate	vvd_vvn
more	more	dar
errors	error	nn2
in	in	ii
the	the	at
identification	identification	nn1
of	of	io
the	the	at
stance	stance	nn1
of	of	io
conservatives	conservative	nn2
on	on	ii
religious	religious	jj
historical	historical	jj
events	event	nn2
.	.	y
Procedure	procedure	nn1
<p>	<p>	y
Because	because	cs
some	some	dd
CROS	cro	nn2
items	item	nn2
share	share	vv0_nn1
themes	theme	nn2
with	with	iw
PHCCS	phccs	np1
items	item	nn2
,	,	y
we	we	ppis2
thought	think	vvd
it	it	pph1
possible	possible	jj
that	that	cst_dd1
previous	previous	jj
experience	experience	nn1
with	with	iw
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
the	the	at
order	order	nn1
of	of	io
presentation	presentation	nn1
of	of	io
these	these	dd2
two	two	mc
scales	scale	nn2
was	be	vbdz
balanced	balance	vvn_jj
.	.	y
Half	half	db
of	of	io
the	the	at
participants	participant	nn2
completed	complete	vvd_vvn
the	the	at
three	three	mc
scales	scale	nn2
in	in	ii
the	the	at
following	following	jj
order	order	nn1
:	:	y
CROS	cro	np2_nn2
,	,	y
CRH-Quiz	crh-quiz	nn1_jj
,	,	y
followed	follow	vvn
by	by	ii
the	the	at
PHCCS	phccs	np1
.	.	y
The	the	at
other	other	jj
half	half	nn1@_db_rr@
completed	complete	vvd_vvn
the	the	at
scales	scale	nn2
in	in	ii
the	the	at
following	following	jj
order	order	nn1
:	:	y
CRH-Quiz	crh-quiz	jj_nn1
,	,	y
PHCCS	phccs	np1
,	,	y
followed	follow	vvn
by	by	ii
the	the	at
CROS	cro	np2_nn2
.	.	y
Upon	upon	ii
completion	completion	nn1
of	of	io
the	the	at
three	three	mc
scales	scale	nn2
,	,	y
participants	participant	nn2
were	be	vbdr
asked	ask	vvn@
to	to	to
provide	provide	vvi
information	information	nn1
regarding	regarding	ii_vvg
their	their	appge
current	current	jj
religious	religious	jj
affiliation	affiliation	nn1
,	,	y
personal	personal	jj
religious	religious	jj
background	background	nn1
,	,	y
frequency	frequency	nn1
of	of	io
attendance	attendance	nn1
at	at	ii
religious	religious	jj
services	service	nn2
,	,	y
and	and	cc
their	their	appge
parents	parent	nn2
'	'	ge
religious	religious	jj
backgrounds	background	nn2
.	.	y
Participants	participant	nn2
were	be	vbdr
then	then	rt
debriefed	debrief	vvn_vvd
on	on	ii
the	the	at
goals	goal	nn2
of	of	io
the	the	at
study	study	nn1
.	.	y
Results	result	nn2
<p>	<p>	y
An	a	at1
alpha	alpha	nn1
level	level	nn1
of	of	io
.05	.05	mc
was	be	vbdz
used	use	vvn
for	for	if
all	all	db
statistical	statistical	jj
tests	test	nn2
.	.	y
No	no	xx
order	order	nn1
effects	effect	nn2
were	be	vbdr
found	find	vvn
for	for	if
the	the	at
CROS	cro	np2_nn2
and	and	cc
PHCCS	phccs	np1
;	;	y
data	data	nn
were	be	vbdr
therefore	therefore	rr
collapsed	collapse	vvn_vvd
across	across	ii
order	order	nn1
of	of	io
presentation	presentation	nn1
.	.	y
Internal	internal	jj
consistency	consistency	nn1
of	of	io
the	the	at
CROS	cro	np2
scale	scale	nn1
was	be	vbdz
verified	verify	vvn
by	by	ii
Cronbach	cronbach	np1
's	's	ge
alpha	alpha	nn1
(	(	y
.90	.90	mc
)	)	y
.	.	y
The	the	at
CROS	cro	np2_nn2
score	score	nn1_vv0
was	be	vbdz
found	find	vvn
to	to	to
be	be	vbi
significantly	significantly	rr
correlated	correlate	vvn_vvd
with	with	iw
the	the	at
religious	religious	jj
self-rating	self-rating	jj_nn1
item	item	nn1
,	,	y
r	xx_r	zz1
(	(	y
220	220	mc
)	)	y
=	=	fo
.65	.65	mc
,	,	y
p	xx_p	zz1
<	&lt;	fo
.01	.01	mc
.	.	y
Accordingly	accordingly	rr
,	,	y
the	the	at
mean	mean	jj
CROS	cro	nn2_np2
score	score	vv0_nn1
and	and	cc
the	the	at
self-rating	self-rating	jj_nn1
item	item	nn1
were	be	vbdr
averaged	average	vvn
to	to	to
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
The	the	at
TRO	tro	nn1_np1
score	score	nn1
could	could	vm
range	range	vvi
from	from	ii
1	1	mc1
to	to	ii
7	7	mc
;	;	y
the	the	at
observed	observed	jj@
range	range	nn1
was	be	vbdz
from	from	ii
1.2	1.2	mc
to	to	ii
6.9	6.9	mc
,	,	y
with	with	iw
higher	high	jjr
scores	score	nn2
indicating	indicate	vvg
a	a	at1
liberal	liberal	jj
orientation	orientation	nn1
and	and	cc
lower	low	jjr
scores	score	nn2
indicating	indicate	vvg
a	a	at1
conservative	conservative	jj_nn1
orientation	orientation	nn1
.	.	y
Consistent	consistent	jj
with	with	iw
the	the	at
method	method	nn1
used	use	vvn
by	by	ii
Sugar	sugar	np1@_nn1
et	et	ra21
al	al	ra22
.	.	y
(	(	y
1992	1992	mc
)	)	y
,	,	y
participants	participant	nn2
were	be	vbdr
categorized	categorize	vvn@
as	as	csa_ii@_rg@
conservative	conservative	jj_nn1
if	if	cs_csw@
their	their	appge
mean	mean	jj
TRO	tro	nn1
score	score	nn1
was	be	vbdz
between	between	ii
1.0	1.0	mc
and	and	cc
3.95	3.95	mc
(	(	y
n	xx_n	zz1
=	=	fo
69	69	mc
)	)	y
,	,	y
moderate	moderate	jj_vv0@
if	if	cs_csw@
their	their	appge
mean	mean	jj
score	score	nn1
was	be	vbdz
between	between	ii
3.96	3.96	mc
and	and	cc
4.95	4.95	mc
(	(	y
n	xx_n	zz1
=	=	fo
67	67	mc
)	)	y
,	,	y
and	and	cc
liberal	liberal	jj
if	if	cs_csw@
their	their	appge
mean	mean	jj
score	score	nn1
was	be	vbdz
between	between	ii
4.96	4.96	mc
and	and	cc
7.0	7.0	mc
(	(	y
n	xx_n	zz1
=	=	fo
85	85	mc
)	)	y
.	.	y
The	the	at
internal	internal	jj
consistency	consistency	nn1
of	of	io
the	the	at
PHCCS	phccs	np1
was	be	vbdz
confirmed	confirm	vvn
by	by	ii
Cronbach	cronbach	np1
's	's	ge
alpha	alpha	nn1
(	(	y
.78	.78	mc
)	)	y
.	.	y
The	the	at
overall	overall	jj_nn1
mean	mean	jj_nn1@_vv0
score	score	nn1
for	for	if
the	the	at
PHCCS	phccs	np1
was	be	vbdz
2.6	2.6	mc
(	(	y
SD	sd	np1
=	=	fo
.77	.77	mc
)	)	y
;	;	y
the	the	at
range	range	nn1
was	be	vbdz
1.1	1.1	mc
to	to	ii
6.3	6.3	mc
.	.	y
