##4002466		
Key	key	jj_nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
that	that	cst
Israel	israel	np1
had	have	vhd
the	the	at
upper	upper	jj
hand	hand	nn1
militarily	militarily	rr
and	and	cc
that	that	cst
the	the	at
United	united	np1
States	state	np1
gave	give	vvd
Israel	israel	np1
$4	$4	nnu
billion	billion	m
a	a	at1
year	year	nnt1
in	in	ii
military	military	jj_nn1@
and	and	cc
financial	financial	jj
aid	aid	nn1
,	,	y
the	the	at
Arab	arab	jj_nn1
League	league	nn1
recognized	recognize	vvd_vvn
that	that	cst
the	the	at
imbalance	imbalance	nn1
of	of	io
power	power	nn1
favoring	favor	vvg
Israel	israel	np1
would	would	vm
remain	remain	vvi
indefinitely	indefinitely	rr
.	.	y
Retaliation	retaliation	nn1
against	against	ii
Israel	israel	np1
began	begin	vvd
to	to	to
take	take	vvi
different	different	jj
forms	form	nn2
.	.	y
Because	because	ii21
of	of	ii22
their	their	appge
frustration	frustration	nn1
at	at	ii
the	the	at
political	political	jj
advantage	advantage	nn1
that	that	cst
Israel	israel	np1
and	and	cc
the	the	at
United	united	np1
States	state	np1
had	have	vhd
in	in	ii
the	the	at
region	region	nn1
,	,	y
protesters	protester	nn2
resorted	resort	vvn_vvd
to	to	ii
acts	act	nn2
of	of	io
terror	terror	nn1
,	,	y
which	which	ddq
became	become	vvd
widespread	widespread	jj
in	in	ii
the	the	at
Middle	middle	jj
East	east	nd1
.	.	y
Other	other	jj
Events	event	nn2
Affecting	affect	vvg
the	the	at
Turmoil	turmoil	nn1
in	in	ii
the	the	at
Middle	middle	jj
East	east	nd1
<p>	<p>	y
In	in	ii
1953	1953	mc
,	,	y
the	the	at
United	united	np1
States	state	np1
helped	help	vvd
Iran	iran	np1
's	's	ge
military	military	jj
stage	stage	nn1
a	a	at1
coup	coup	nn1
,	,	y
overthrowing	overthrow	vvg
the	the	at
democratically	democratically	rr
elected	elect	vvn
Prime	prime	jj
Minister	minister	nn1
Mohammad	mohammad	np1
Mossadeq	mossadeq	np1
,	,	y
whom	whom	pnqo
the	the	at
United	united	np1
States	state	np1
feared	fear	vvd_vvn
might	might	vm
be	be	vbi
a	a	at1
communist	communist	jj
threat	threat	nn1
.	.	y
The	the	at
United	united	np1
States	state	np1
then	then	rt
reinstalled	reinstal	vvd
the	the	at
hated	hated	jj@
Mohammed	mohammed	np1
Reza	reza	np1
Pahlavi	pahlavi	np1_nn1
as	as	ii_csa
the	the	at
Shah	shah	nn1@_np1
of	of	io
Iran	iran	np1
.	.	y
<p>	<p>	y
In	in	ii
1968	1968	mc
,	,	y
Arab	arab	jj_nn1
militants	militant	nn2
hijacked	hijack	vvd
an	a	at1
El	el	np1
Al	al	np1
flight	flight	nn1
from	from	ii
Rome	rome	np1
to	to	ii
Tel	tel	np1
Aviv	aviv	np1
.	.	y
That	that	dd1
was	be	vbdz
followed	follow	vvn
by	by	ii
decades	decade	nnt2
of	of	io
hostage	hostage	nn1
taking	take	vvg
,	,	y
hijackings	hijacking	nn2
,	,	y
and	and	cc
assassinations	assassination	nn2
,	,	y
which	which	ddq
characterized	characterize	vvd
the	the	at
strategy	strategy	nn1
used	use	vvn
by	by	ii
Arab	arab	jj_nn1
militant	militant	jj_nn1
groups	group	nn2
.	.	y
<p>	<p>	y
In	in	ii
1972	1972	mc
,	,	y
eight	eight	mc
Arab	arab	jj
commandos	commando	nn2
from	from	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
Munich	munich	np1
Olympic	olympic	jj
Games	game	nn2
.	.	y
<p>	<p>	y
In	in	ii
1973	1973	mc
,	,	y
the	the	at
Nixon	nixon	np1
administration	administration	nn1
provided	provide	vvd_cs
Israel	israel	np1
with	with	iw
the	the	at
means	mean	nn
of	of	io
producing	produce	vvg
an	a	at1
atomic	atomic	jj
bomb	bomb	nn1
.	.	y
<p>	<p>	y
In	in	ii
1979	1979	mc
,	,	y
Ayatollah	ayatollah	nnb
Ruhollah	ruhollah	np1
Khomeini	khomeini	np1
led	lead	vvd
a	a	at1
revolution	revolution	nn1
in	in	ii
Iran	iran	np1
,	,	y
overthrowing	overthrow	vvg
the	the	at
U.S.-supported	us-supported	jj_nn1
Shah	shah	nn1@
of	of	io
Iran	iran	np1
and	and	cc
taking	take	vvg
sixty-six	sixty-six	mc
Americans	american	nn2
hostage	hostage	nn1
for	for	if
fifteen	fifteen	mc
months	month	nnt2
.	.	y
<p>	<p>	y
In	in	ii
1983	1983	mc
,	,	y
a	a	at1
truck	truck	nn1
bomb	bomb	nn1
exploded	explode	vvd_vvn@
at	at	ii
the	the	at
U.S.	us	np1
marine	marine	jj
barracks	barracks	nn
in	in	ii
Lebanon	lebanon	np1
,	,	y
killing	kill	vvg_nn1
241	241	mc
soldiers	soldier	nn2
.	.	y
The	the	at
United	united	np1
States	state	np1
subsequently	subsequently	rr
withdrew	withdraw	vvd
from	from	ii
Lebanon	lebanon	np1
.	.	y
<p>	<p>	y
After	after	cs_ii
the	the	at
Iranian	iranian	jj
Air	air	nn1
Flight	flight	nn1
655	655	mc
with	with	iw
290	290	mc
passengers	passenger	nn2
was	be	vbdz
accidentally	accidentally	rr
shot	shoot	vvn_vvd
down	down	rp
by	by	ii
the	the	at
USS	uss	np1_nn1
Vincennes	vincennes	np1
missile	missile	nn1
cruiser	cruiser	nn1
in	in	ii
Iranian	iranian	jj
waters	water	nn2
in	in	ii
1986	1986	mc
,	,	y
the	the	at
crew	crew	nn1
of	of	io
the	the	at
Vincennes	vincennes	np1
was	be	vbdz
rewarded	reward	vvn
with	with	iw
military	military	jj
medals	medal	nn2
for	for	if
their	their	appge
bravery	bravery	nn1
.	.	y
<p>	<p>	y
In	in	ii
1993	1993	mc
,	,	y
the	the	at
World	world	nn1
Trade	trade	nn1
Center	center	nn1
in	in	ii
New	new	np1
York	york	np1
City	city	nn1
was	be	vbdz
bombed	bomb	vvn_jj
,	,	y
killing	kill	vvg_nn1
six	six	mc
.	.	y
<p>	<p>	y
In	in	ii
1996	1996	mc
,	,	y
a	a	at1
truck	truck	nn1
bomb	bomb	nn1
exploded	explode	vvd_vvn@
outside	outside	ii
U.S.	us	np1
military	military	jj
barracks	barracks	nn
in	in	ii
Saudi	saudi	np1
Arabia	arabia	np1
.	.	y
<p>	<p>	y
In	in	ii
1998	1998	mc
,	,	y
bombs	bomb	nn2
exploded	explode	vvd_vvn@
outside	outside	ii
U.S.	us	np1
embassies	embassy	nn2
in	in	ii
Kenya	kenya	np1
and	and	cc
Tanzania	tanzania	np1
.	.	y
The	the	at
United	united	np1
States	state	np1
linked	link	vvd@
the	the	at
bombings	bombing	nn2
to	to	ii
Osama	osama	np1
bin	bin	np
Laden	laden	vvn_jj
.	.	y
<p>	<p>	y
In	in	ii
2000	2000	mc
,	,	y
the	the	at
USS	uss	np1_nn1
Cole	cole	np1
was	be	vbdz
bombed	bomb	vvn
in	in	ii
Yemen	yemen	np1
's	's	ge
Aden	aden	np1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
act	act	nn1
.	.	y
<p>	<p>	y
On	on	ii
September	september	npm1
11	11	mc
,	,	y
2001	2001	mc
,	,	y
hijackers	hijacker	nn2
crashed	crash	vvd
two	two	mc
planes	plane	nn2
into	into	ii
the	the	at
World	world	nn1
Trade	trade	nn1
Center	center	nn1
buildings	building	nn2
in	in	ii
New	new	np1
York	york	np1
City	city	nn1
,	,	y
killing	kill	vvg
more	more	dar
than	than	csn
two	two	mc
thousand	thousand	m
people	people	nn
,	,	y
and	and	cc
another	another	dd1
into	into	ii
the	the	at
Pentagon	pentagon	np1_nn1@
,	,	y
headquarters	headquarters	nn
of	of	io
the	the	at
U.S.	us	np1
Department	department	nn1
of	of	io
Defense	defense	nn1
.	.	y
A	a	at1
fourth	fourth	md
plane	plane	nn1
bound	bind	vvn_vvd
for	for	if
either	either	rr
the	the	at
White	white	np1
House	house	nn1
or	or	cc
the	the	at
Capitol	capitol	np1
crashed	crash	vvd
in	in	ii
Pennsylvania	pennsylvania	np1
before	before	ii
reaching	reach	vvg
its	its	z'
target	target	nn1
.	.	y
The	the	at
United	united	np1
States	state	np1
linked	link	vvd@_jj
Osama	osama	np1_nn1@
bin	bin	np
Laden	laden	vvn
to	to	ii
the	the	at
attack	attack	nn1
.	.	y
An	a	at1
Economic	economic	jj
Analysis	analysis	nn1
<p>	<p>	y
Those	those	dd2
seem	seem	vv0
to	to	to
be	be	vbi
senseless	senseless	jj
acts	act	nn2
.	.	y
In	in	ii
many	many	da2
cases	case	nn2
,	,	y
the	the	at
terrorists	terrorist	nn2
themselves	themselves	ppx2
died	die	vvd_vvn@
in	in	ii
the	the	at
attack	attack	nn1
.	.	y
How	how	rrq
can	can	vm
such	such	da
behavior	behavior	nn1
be	be	vbi
considered	consider	vvn
rational	rational	jj
?	?	y
Explaining	explain	vvg
such	such	da
behavior	behavior	nn1
is	be	vbz
troublesome	troublesome	jj
if	if	cs_csw@
one	one	pn1
teaches	teach	vvz
high	high	jj
school	school	nn1
economics	economics	nn1
.	.	y
After	after	ii
all	all	db
,	,	y
the	the	at
most	most	rgt
basic	basic	jj
assumption	assumption	nn1
of	of	io
economics	economics	nn1
is	be	vbz
that	that	cst
people	people	nn
act	act	vv0_nn1
in	in	ii_rp@
their	their	appge
own	own	da
best	best	jjt
interest	interest	nn1
.	.	y
Paul	paul	np1
Heyne	heyne	np1
,	,	y
well	well	rr
known	know	vvn
for	for	if
his	his	appge
textbook	textbook	nn1
The	the	at
Economic	economic	jj
Way	way	nn1
of	of	io
Thinking	thinking	nn1_vvg
,	,	y
states	state	vvz_nn2
:	:	y
<p>	<p>	y
The	the	at
theories	theory	nn2
of	of	io
economics	economics	nn1
,	,	y
with	with	iw
surprisingly	surprisingly	rr
few	few	da2
exceptions	exception	nn2
,	,	y
are	be	vbr
simple	simple	jj
extensions	extension	nn2
of	of	io
the	the	at
assumptions	assumption	nn2
that	that	cst
individuals	individual	nn2
take	take	vv0
those	those	dd2
actions	action	nn2
they	they	pphs2
think	think	vv0
will	will	vm
yield	yield	vvi
them	them	ppho2
the	the	at
largest	large	jjt
net	net	jj_nn1
advantage	advantage	nn1
.	.	y
Everyone	everyone	pn1
,	,	y
it	it	pph1
is	be	vbz
assumed	assume	vvn
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
spendthrift	spendthrift	nn1_vv0
,	,	y
saint	saint	nn1
or	or	cc
sinner	sinner	nn1
,	,	y
consumer	consumer	nn1
or	or	cc
seller	seller	nn1
,	,	y
politician	politician	nn1
or	or	cc
business	business	nn1
executive	executive	nn1
,	,	y
cautious	cautious	jj
calculator	calculator	nn1
or	or	cc
spontaneous	spontaneous	jj
improviser.	improviser	nnu
(	(	y
1994,5	1994,5	mc
)	)	y
<p>	<p>	y
It	it	pph1
is	be	vbz
nearly	nearly	rr
impossible	impossible	jj
to	to	to
reconcile	reconcile	vvi
the	the	at
behavior	behavior	nn1
of	of	io
terrorists	terrorist	nn2
with	with	iw
the	the	at
behavior	behavior	nn1
of	of	io
the	the	at
rational	rational	jj
,	,	y
self-interested	self-interested	jj
individuals	individual	nn2
whom	whom	pnqo
Heyne	heyne	np1
and	and	cc
many	many	da2
others	others	nn2
associate	associate	vv0
with	with	iw
the	the	at
economics	economics	nn1
approach	approach	nn1
.	.	y
Should	should	vm
economics	economics	nn1
teachers	teacher	nn2
suggest	suggest	vv0
that	that	cst_dd1
economic	economic	jj
theory	theory	nn1
applies	apply	vvz
to	to	ii
all	all	db
sorts	sort	nn2
of	of	io
people	people	nn
,	,	y
at	at	ii
many	many	da2
times	time	nnt2
and	and	cc
across	across	ii
many	many	da2
cultures	culture	nn2
,	,	y
but	but	ccb
that	that	dd1_cst@
some	some	dd
people	people	nn
in	in	ii
the	the	at
Middle	middle	jj
East	east	nd1
are	be	vbr
somehow	somehow	rr
a	a	at1
special	special	jj
class	class	nn1
exempt	exempt	vv0_jj
from	from	ii
basic	basic	jj
economic	economic	jj
theory	theory	nn1
?	?	y
If	if	cs
people	people	nn
in	in	ii
the	the	at
Middle	middle	jj
East	east	nd1
are	be	vbr
not	not	xx
exempt	exempt	jj_vv0
from	from	ii
economic	economic	jj
theory	theory	nn1
,	,	y
what	what	ddq
should	should	vm
a	a	at1
high	high	jj
school	school	nn1
teacher	teacher	nn1
say	say	vv0
?	?	y
How	how	rrq
would	would	vm
an	a	at1
economist	economist	nn1
approach	approach	vvi
the	the	at
problem	problem	nn1
of	of	io
Middle	middle	jj
East	east	nd1
terror	terror	nn1
?	?	y
Specifically	specifically	rr
,	,	y
let	let	vv0
us	us	ppio2
consider	consider	vvi
the	the	at
events	event	nn2
of	of	io
September	september	npm1
11	11	mc
,	,	y
2001	2001	mc
.	.	y
How	how	rrq
Were	be	vbdr
the	the	at
Terrorists	terrorist	nn2
Organized	organize	vvn
and	and	cc
Financed	finance	vvd_vvn
?	?	y
<p>	<p>	y
The	the	at
al	al	np1_fw
Qaeda	qaeda	np1
network	network	nn1
is	be	vbz
headed	head	vvn
by	by	ii
the	the	at
Emir	emir	nn1
General	general	nn1
(	(	y
Osama	osama	np1
bin	bin	zz
Laden	laden	jj_vvn
)	)	y
and	and	cc
his	his	appge
immediate	immediate	jj
lieutenants	lieutenant	nn2
,	,	y
Ayman	ayman	np1_nn1
Al-Zawahiri	al-zawahiri	nn1_jj
(	(	y
al-Jihid	al-jihid	nn1_jj
)	)	y
and	and	cc
Mohammed	mohammed	np1
Atef	atef	np1
(	(	y
Military	military	jj
Operations	operation	nn2
)	)	y
.	.	y
Other	other	jj
leaders	leader	nn2
have	have	vh0
assigned	assign	vvn
roles	role	nn2
in	in	ii
areas	area	nn2
dealing	deal	vvg
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
and	and	cc
the	the	at
media	media	nn
.	.	y
The	the	at
al	al	np1_fw
Qaeda	qaeda	np1
network	network	nn1
is	be	vbz
largely	largely	rr
a	a	at1
decentralized	decentralized	jj
operation	operation	nn1
,	,	y
with	with	iw
individual	individual	jj
terrorist	terrorist	jj_nn1
cells	cell	nn2
playing	play	vvg
key	key	jj
roles	role	nn2
.	.	y
<p>	<p>	y
Al	al	np1
Qaeda	qaeda	np1
has	have	vhz
established	establish	vvn
several	several	da2
key	key	jj
alliances	alliance	nn2
.	.	y
Among	among	ii
the	the	at
most	most	rgt
important	important	jj
are	be	vbr
the	the	at
following	following	jj
:	:	y
<p>	<p>	y
--	--	x
Al-Jihad	al-jihad	np1
(	(	y
Egypt	egypt	np1
)	)	y
:	:	y
assassination	assassination	nn1
of	of	io
Sadat	sadat	np1
in	in	ii
1981	1981	mc
<p>	<p>	y
--	--	x
Hamas	hamas	np2_nn2@
(	(	y
West	west	nd1
Bank/Gaza	bank/gaza	np1
)	)	y
:	:	y
ongoing	ongoing	jj
attacks	attack	nn2
against	against	ii
Israel	israel	np1
<p>	<p>	y
--	--	x
Hezbollah	hezbollah	np1
(	(	y
Lebanon	lebanon	np1
)	)	y
:	:	y
bombing	bombing	nn1
of	of	io
the	the	at
U.S.	us	np1
embassy	embassy	nn1
in	in	ii
1983	1983	mc
<p>	<p>	y
--	--	x
GIA	gia	nn1_np1
(	(	y
Algeria	algeria	np1
)	)	y
:	:	y
planned	planned	jj@
millennium	millennium	nnt1
attacks	attack	nn2
<p>	<p>	y
--	--	x
Harakat-al-Mujadi	harakat-al-mujadi	np1
:	:	y
completed	completed	jj@_vvn_vvd
terrorist	terrorist	jj_nn1
actions	action	nn2
in	in	ii
Pakistan	pakistan	np1
<p>	<p>	y
--	--	x
Abu-Sayyaf	abu-sayyaf	np1
:	:	y
completed	completed	jj@_vvn_vvd
terrorist	terrorist	jj_nn1
actions	action	nn2
in	in	ii
the	the	at
Philippines	philippines	np2
<p>	<p>	y
Al	al	np1
Qaeda	qaeda	np1
could	could	vm
not	not	xx
survive	survive	vvi
without	without	iw
sources	source	nn2
of	of	io
funds	fund	nn2
and	and	cc
protection	protection	nn1
.	.	y
Osama	osama	nn1_np1@
bin	bin	np
Laden	laden	vvn_jj
was	be	vbdz
able	able	jk
to	to	to
launch	launch	vvi
al	al	np1_fw
Qaeda	qaeda	np1
in	in	rr21
part	part	rr22
with	with	iw
funding	funding	nn1_vvg@
from	from	ii
his	his	appge
own	own	da
personal	personal	jj
fortune	fortune	nn1
and	and	cc
businesses	business	nn2
,	,	y
which	which	ddq
have	have	vh0
been	be	vbn
estimated	estimate	vvn
to	to	to
be	be	vbi
worth	worth	ii
$150	$150	nnu
million	million	m
.	.	y
(	(	y
Considering	considering	cs21
that	that	cs22
al	al	np1
Qaeda	qaeda	np1
likely	likely	rr@_jj
spent	spend	vvd_vvn
no	no	at
more	more	dar_rrr
than	than	csn
$200,000	$200,000	nnu
on	on	ii
the	the	at
entire	entire	jj
September	september	npm1
11	11	mc
operation	operation	nn1
,	,	y
bin	bin	zz
Laden	laden	jj
's	's	ge
fortune	fortune	nn1
can	can	vm
support	support	vvi
numerous	numerous	jj
acts	act	nn2
of	of	io
terrorism	terrorism	nn1
)	)	y
.	.	y
To	to	to
survive	survive	vvi
,	,	y
al	al	np1_fw
Qaeda	qaeda	np1
and	and	cc
similar	similar	jj
groups	group	nn2
need	need	vv0
the	the	at
help	help	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
can	can	vm
shelter	shelter	vvi
them	them	ppho2
from	from	ii
apprehension	apprehension	nn1
and	and	cc
allow	allow	vvi
them	them	ppho2
to	to	to
conduct	conduct	vvi
business	business	nn1
.	.	y
Afghanistan	afghanistan	np1
and	and	cc
Iraq	iraq	np1
were	be	vbdr
widely	widely	rr
regarded	regard	vvn
as	as	ii
states	state	nn2
willing	willing	jj_vvg%
to	to	to
harbor	harbor	vvi
terrorist	terrorist	jj_nn1
groups	group	nn2
.	.	y
Additional	additional	jj
sources	source	nn2
of	of	io
funds	fund	nn2
come	come	vv0_vvn@
from	from	ii
Islamic	islamic	jj
charities	charity	nn2
and	and	cc
individual	individual	jj
wealthy	wealthy	jj
families	family	nn2
in	in	ii
the	the	at
Persian	persian	jj
Gulf	gulf	nn1
.	.	y
Drug	drug	nn1
trafficking	trafficking	nn1
also	also	rr
contributed	contribute	vvn_vvd
to	to	ii
al	al	np1
Qaeda	qaeda	np1
's	's	ge
income	income	nn1
.	.	y
Rational	rational	jj
Behavior	behavior	nn1_np1
<p>	<p>	y
The	the	at
organization	organization	nn1
and	and	cc
finances	finance	nn2
of	of	io
al	al	np1_fw
Qaeda	qaeda	np1
suggest	suggest	vv0
that	that	cst_dd1
terrorist	terrorist	jj_nn1
acts	act	nn2
are	be	vbr
planned	plan	vvn
by	by	ii
rational	rational	jj
people	people	nn
who	who	pnqs
lead	lead	vv0
terrorist	terrorist	jj_nn1
groups	group	nn2
.	.	y
Those	those	dd2
leaders	leader	nn2
seek	seek	vv0
to	to	to
benefit	benefit	vvi
even	even	rr
while	while	cs
some	some	dd
of	of	io
their	their	appge
followers	follower	nn2
are	be	vbr
destroyed	destroy	vvn
.	.	y
They	they	pphs2
view	view	vv0@
their	their	appge
actions	action	nn2
in	in	ii_rp@
much	much	rr
the	the	at
same	same	da
way	way	nn1
as	as	csa
military	military	jj
leaders	leader	nn2
view	view	vv0@_nn1
war	war	nn1
casualties	casualty	nn2
--	--	x
as	as	ii_csa
a	a	at1
price	price	nn1
to	to	to
be	be	vbi
paid	pay	vvn
.	.	y
<p>	<p>	y
The	the	at
organization	organization	nn1
and	and	cc
finances	finance	nn2
of	of	io
al	al	np1_fw
Qaeda	qaeda	np1
also	also	rr
reveal	reveal	vv0
that	that	cst
the	the	at
actions	action	nn2
of	of	io
al	al	np1_fw
Qaeda	qaeda	np1
are	be	vbr
influenced	influence	vvn
by	by	ii
the	the	at
existence	existence	nn1
of	of	io
goals	goal	nn2
.	.	y
They	they	pphs2
are	be	vbr
making	make	vvg
choices	choice	nn2
that	that	cst_dd1
,	,	y
given	give	vvn_jj@
available	available	jj
information	information	nn1
,	,	y
they	they	pphs2
hope	hope	vv0
will	will	vm
go	go	vvi
farthest	far	rrt
toward	toward	ii
achieving	achieve	vvg
those	those	dd2
ends	end	nn2
.	.	y
The	the	at
long-term	long-term	jj
goals	goal	nn2
of	of	io
al	al	np1_fw
Qaeda	qaeda	np1
include	include	vv0
the	the	at
following	following	jj
:	:	y
<p>	<p>	y
--	--	x
The	the	at
liberation	liberation	nn1
of	of	io
Saudi	saudi	np1
Arabia	arabia	np1
and	and	cc
other	other	jj
countries	country	nn2
from	from	ii
U.S.	us	np1
troops	troop	nn2
<p>	<p>	y
--	--	x
The	the	at
replacement	replacement	nn1
of	of	io
pro-Western	pro-western	jj
regimes	regime	nn2
with	with	iw
militant	militant	jj
Islamic	islamic	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
of	of	io
Muslim	muslim	jj
control	control	nn1
over	over	ii
holy	holy	jj
places	place	nn2
in	in	ii
Jerusalem	jerusalem	np1
<p>	<p>	y
To	to	to
accomplish	accomplish	vvi
its	its	z'
long-term	long-term	jj
goals	goal	nn2
,	,	y
al	al	np1_fw
Qaeda	qaeda	np1
identified	identify	vvd@
the	the	at
United	united	np1
States	state	np1
as	as	ii_csa
the	the	at
primary	primary	jj_nn1
enemy	enemy	nn1
.	.	y
Following	follow	vvg_ii@
its	its	z'
goal-orientated	goal-orientated	jj_nn1
behavior	behavior	nn1
,	,	y
al	al	np1_fw
Qaeda	qaeda	np1
made	make	vvd
meticulous	meticulous	jj
plans	plan	nn2
,	,	y
arranged	arrange	vvn_vvd
for	for	if
logistical	logistical	jj
support	support	nn1
,	,	y
and	and	cc
aimed	aim	vvn_vvd
for	for	if
efficiency	efficiency	nn1
in	in	ii
its	its	z'
execution	execution	nn1
of	of	io
specific	specific	jj
acts	act	nn2
of	of	io
terrorism	terrorism	nn1
.	.	y
It	it	pph1
took	take	vvd
several	several	da2
specific	specific	jj
actions	action	nn2
that	that	cst
were	be	vbdr
intended	intend	vvn
to	to	to
destabilize	destabilize	vvi
the	the	at
<p>	<p>	y
U.S.	us	np1
economy	economy	nn1
and	and	cc
reduce	reduce	vvi
U.S.	us	np1
influence	influence	nn1_vv0
in	in	ii
the	the	at
Middle	middle	jj
East	east	nd1
.	.	y
In	in	ii
that	that	dd1
sense	sense	nn1
,	,	y
then	then	rt
,	,	y
the	the	at
actions	action	nn2
of	of	io
terrorist	terrorist	jj_nn1
groups	group	nn2
such	such	ii21
as	as	ii22
al	al	np1
Qaeda	qaeda	np1
appear	appear	vv0
to	to	to
be	be	vbi
rational	rational	jj
rather	rather	ii21
than	than	ii22
the	the	at
result	result	nn1
of	of	io
some	some	dd
form	form	nn1
of	of	io
psychosis	psychosis	nn1
.	.	y
Economic	economic	jj
Analysis	analysis	nn1
of	of	io
Criminal	criminal	jj_nn1
Behavior	behavior	nn1_np1
<p>	<p>	y
For	for	if
a	a	at1
deeper	deep	jjr
understanding	understanding	nn1
of	of	io
the	the	at
economics	economics	nn1
approach	approach	nn1
to	to	ii
terrorism	terrorism	nn1
,	,	y
let	let	vv0
us	us	ppio2
turn	turn	vvi
to	to	ii
related	related	jj
areas	area	nn2
of	of	io
economic	economic	jj
theory	theory	nn1
and	and	cc
research	research	nn1
.	.	y
Economists	economist	nn2
for	for	if
many	many	da2
years	year	nnt2
have	have	vh0
studied	study	vvn
human	human	jj_nn1
behavior	behavior	nn1
in	in	ii
areas	area	nn2
beyond	beyond	ii
the	the	at
production	production	nn1
of	of	io
goods	good	nn2
and	and	cc
services	service	nn2
.	.	y
Economists	economist	nn2
,	,	y
for	for	rex21
example	example	rex22
,	,	y
have	have	vh0
studied	study	vvn
behavior	behavior	nn1
in	in	ii
such	such	da
areas	area	nn2
as	as	csa
dating	date	vvg_nn1
,	,	y
voting	vote	vvg_nn1
,	,	y
fertility	fertility	nn1
,	,	y
obesity	obesity	nn1
,	,	y
racial	racial	jj
discrimination	discrimination	nn1
,	,	y
and	and	cc
criminal	criminal	jj_nn1
behavior	behavior	nn1
.	.	y
<p>	<p>	y
We	we	ppis2
decided	decide	vvd
to	to	to
examine	examine	vvi
how	how	rrq
the	the	at
economic	economic	jj
analysis	analysis	nn1
of	of	io
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
acts	act	nn2_vvz
,	,	y
after	after	ii
all	all	db
,	,	y
can	can	vm
be	be	vbi
viewed	view	vvn
as	as	csa_rg@
simply	simply	rr
another	another	dd1
form	form	nn1
of	of	io
criminal	criminal	jj_nn1
behavior	behavior	nn1
.	.	y
Terrorists	terrorist	nn2
,	,	y
like	like	ii
other	other	jj
criminals	criminal	nn2
,	,	y
violate	violate	vv0_nn1
laws	law	nn2
and	and	cc
hurt	hurt	jj_vv0
innocents	innocent	nn2
as	as	csa
they	they	pphs2
pursue	pursue	vv0
their	their	appge
aims	aim	nn2
.	.	y
<p>	<p>	y
Sociologists	sociologist	nn2
and	and	cc
other	other	jj
intellectuals	intellectual	nn2
have	have	vh0
argued	argue	vvn
that	that	cst
the	the	at
root	root	nn1
causes	cause	nn2_vvz
of	of	io
crime	crime	nn1
are	be	vbr
to	to	to
be	be	vbi
found	find	vvn
in	in	ii
such	such	da
things	thing	nn2
as	as	csa
racism	racism	nn1
,	,	y
poverty	poverty	nn1
,	,	y
discrimination	discrimination	nn1
,	,	y
lack	lack	nn1
of	of	io
jobs	job	nn2
,	,	y
and	and	cc
globalization	globalization	nn1
.	.	y
In	in	ii
that	that	dd1
line	line	nn1
of	of	io
analysis	analysis	nn1
,	,	y
little	little	rr_da1
can	can	vm
be	be	vbi
done	do	vdn
in	in	ii
the	the	at
short	short	jj
term	term	nn1
to	to	to
change	change	vvi
criminal	criminal	jj
behavior	behavior	nn1
.	.	y
Actions	action	nn2_vvz@
that	that	cst_dd1
should	should	vm
be	be	vbi
taken	take	vvn
include	include	vv0
expanding	expand	vvg
the	the	at
rights	right	nn2
of	of	io
the	the	at
accused	accused	jj@
,	,	y
reducing	reduce	vvg
sentences	sentence	nn2
,	,	y
expanding	expanding	jj_vvg
probation	probation	nn1
,	,	y
and	and	cc
tightening	tightening	jj_vvg_nn1
restrictions	restriction	nn2
on	on	ii
police	police	nn2
.	.	y
<p>	<p>	y
Gary	gary	np1
S.	s	np1
Becker	becker	np1
,	,	y
the	the	at
Nobel	nobel	np1
Prizewinning	prizewinning	np1
economist	economist	nn1
from	from	ii
the	the	at
University	university	nn1
of	of	io
Chicago	chicago	np1
,	,	y
approached	approach	vvd_vvn
the	the	at
problem	problem	nn1
of	of	io
criminal	criminal	jj_nn1
behavior	behavior	nn1
differently	differently	rr
.	.	y
He	he	pphs1
applied	apply	vvd
the	the	at
economic	economic	jj
way	way	nn1
of	of	io
thinking	think	vvg_nn1
to	to	ii
criminal	criminal	jj_nn1
behavior	behavior	nn1
.	.	y
Becker	becker	np1
and	and	cc
Becker	becker	np1
(	(	y
1997	1997	mc
)	)	y
state	state	vv0
that	that	cst
criminals	criminal	nn2
,	,	y
like	like	ii_vv0@_cs%
everyone	everyone	pn1
else	else	rr
,	,	y
respond	respond	vv0
to	to	ii
incentives	incentive	nn2
in	in	ii
predictable	predictable	jj
ways	way	nn2
.	.	y
For	for	rex21
example	example	rex22
,	,	y
more	more	dar
college	college	nn1
students	student	nn2
go	go	vv0
into	into	ii
computer	computer	nn1
science	science	nn1
and	and	cc
chemical	chemical	jj_nn1
engineering	engineering	nn1
when	when	rrq_cs
earnings	earnings	nn2
and	and	cc
other	other	jj
advantages	advantage	nn2
