##5995		
20:00-21:00		mcmc
'll	will	vm
lose	lose	vvi
support	support	nn1_vv0
in	in	ii
the	the	at
Islamic	islamic	jj
world	world	nn1
.	.	y
And	and	cc
of	of	rr21
course	course	rr22
,	,	y
nothing	nothing	pn1
happens	happen	vvz
in	in	ii
the	the	at
Islamic	islamic	jj
world	world	nn1
unless	unless	cs
God	god	np1
wills	will	vvz@
it	it	pph1
.	.	y
If	if	cs
there	there	ex
is	be	vbz
a	a	at1
failure	failure	nn1
,	,	y
it	it	pph1
's	be	vbz
not	not	xx
exactly	exactly	rr
the	the	at
failure	failure	nn1
of	of	io
a	a	at1
person	person	nn1
to	to	to
carry	carry	vvi
out	out	rp
an	a	at1
attack	attack	nn1
.	.	y
It	it	pph1
's	be	vbz
that	that	cst
God	god	np1
's	's	ge
will	will	nn1@
did	do	vdd
n't	n't	xx
--		nn1_jj
was	be	vbdz
n't	n't	xx
in	in	ii31
favor	favor	ii32
of	of	ii33
the	the	at
attack	attack	nn1
at	at	ii
that	that	dd1
moment	moment	nn1
.	.	y
So	so	rr
we	we	ppis2
will	will	vm
very	very	rg
often	often	rr
try	try	vvi
to	to	to
put	put	vvi
our	our	appge
way	way	nn1
of	of	io
thinking	think	vvg_nn1
on	on	rp_ii21
to	to	ii_ii22
the	the	at
enemy	enemy	nn1
's	's	ge
way	way	nn1
of	of	io
thinking	thinking	nn1_vvg
.	.	y
O'REILLY	o'reilly	np1
:	:	y
I	i	ppis1
got	get	vvd
it	it	pph1
.	.	y
So	so	rr
there	there	ex
's	be	vbz
never	never	rr
a	a	at1
setback	setback	nn1
for	for	if
bin	bin	np
Laden	laden	vvn_jj
?	?	y
Well	well	rr
...	...	...
@!SCHEUER		zzq
:	:	y
Well	well	rr
,	,	y
there	there	ex
's	be	vbz
always	always	rr
...	...	...
O'REILLY	o'reilly	np1
:	:	y
It	it	pph1
's	be	vbz
always	always	rr
Allah	allah	np1
saying	say	vvg
for	for	if
whatever	whatever	ddqv
reason	reason	nn1
"	"	y
Well	well	rr_nn1@
,	,	y
I	i	ppis1
do	do	vd0
n't	n't	xx
really	really	rr
want	want	vvi
it	it	pph1
to	to	to
happen	happen	vvi
now	now	rt
.	.	y
"	"	y
@!SCHEUER		zzq
:	:	y
That	that	dd1
's	be	vbz
exactly	exactly	rr
right	right	jj
,	,	y
sir	sir	nn1
.	.	y
That	that	dd1
's	be	vbz
what	what	ddq
gives	give	vvz
them	them	ppho2
their	their	appge
steadfastness	steadfastness	nn1
...	...	...
O'REILLY	o'reilly	np1
:	:	y
Right	right	rr_nn1_jj
.	.	y
@!SCHEUER		zzq
:	:	y
...	...	...
and	and	cc
their	their	appge
determination	determination	nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Was	be	vbdz
n't	n't	xx
our	our	appge
fault	fault	nn1
.	.	y
It	it	pph1
's	be	vbz
that	that	cst
Allah	allah	np1
just	just	rr
did	do	vdd
n't	n't	xx
sign	sign	vvi
onto	onto	ii
murdering	murdering	jj_vvg
babies	baby	nn2
today	today	rt
.	.	y
@!SCHEUER		zzq
:	:	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
that	that	cst_dd1
might	might	vm
be	be	vbi
a	a	rr21
little	little	rr22
strong	strong	jj
,	,	y
but	but	ccb
I	i	ppis1
think	think	vv0
it	it	pph1
's	be	vbz
...	...	...
O'REILLY	o'reilly	np1
:	:	y
Well	well	rr
,	,	y
but	but	ccb
-	-	-
I	i	ppis1
mean	mean	vv0
,	,	y
you	you	ppy
say	say	vv0
it	it	pph1
's	be	vbz
a	a	rr21
little	little	rr22
strong	strong	jj
,	,	y
but	but	ccb
are	be	vbr
n't	n't	xx
the	the	at
al	al	np1
Qaedas	qaedas	np2
murdering	murder	vvg_jj
babies	baby	nn2
today	today	rt
?	?	y
Are	be	vbr
they	they	pphs2
not	not	xx
doing	do	vdg
that	that	dd1
?	?	y
@!SCHEUER		zzq
:	:	y
Well	well	rr
,	,	y
sure	sure	jj
,	,	y
sir	sir	nn1
,	,	y
but	but	ccb
I	i	ppis1
think	think	vv0
we	we	ppis2
only	only	rr
bring	bring	vv0
that	that	dd1
up	up	rp
because	because	cs
we	we	ppis2
somehow	somehow	rr
have	have	vh0
convinced	convince	vvn
ourselves	ourselves	ppx2
that	that	cst
war	war	nn1
does	do	vdz
n't	n't	xx
involve	involve	vvi
killing	killing	nn1_vvg
,	,	y
and	and	cc
killing	kill	vvg_nn1
innocents	innocent	nn2
.	.	y
O'REILLY	o'reilly	np1
:	:	y
No	no	uh
,	,	y
no	no	uh
,	,	y
no	no	uh
,	,	y
no	no	uh
,	,	y
but	but	ccb
I	i	ppis1
'm	be	vbm
not	not	xx
bringing	bring	vvg
it	it	pph1
up	up	rp
for	for	if
that	that	dd1
.	.	y
@!SCHEUER		zzq
:	:	y
No	no	uh
.	.	y
O'REILLY	o'reilly	np1
:	:	y
I	i	ppis1
'm	be	vbm
bringing	bring	vvg
it	it	pph1
up	up	rp
to	to	to
be	be	vbi
-	-	-
to	to	to
show	show	vvi
the	the	at
Islamic	islamic	jj
world	world	nn1
and	and	cc
those	those	dd2
Muslims	muslim	nn2
who	who	pnqs
are	be	vbr
watching	watch	vvg
us	us	ppio2
right	right	rr
now	now	rt
,	,	y
the	the	at
inconsistency	inconsistency	nn1
of	of	io
their	their	appge
thought	thought	nn1
that	that	cst_dd1
,	,	y
if	if	cs
there	there	ex
was	be	vbdz
a	a	at1
-	-	-
you	you	ppy
know	know	vv0
,	,	y
a	a	at1
God	god	nn1@_np1
that	that	cst_dd1
was	be	vbdz
actually	actually	rr
wanting	want	vvg
them	them	ppho2
to	to	to
do	do	vdi
whatever	whatever	ddqv
,	,	y
how	how	rrq
could	could	vm
he	he	pphs1
possibly	possibly	rr
want	want	vvi
them	them	ppho2
to	to	to
kill	kill	vvi
babies	baby	nn2
on	on	ii
any	any	dd
day	day	nnt1
?	?	y
You	you	ppy
know	know	vv0
what	what	ddq
I	i	ppis1
'm	be	vbm
talking	talk	vvg
about	about	ii
?	?	y
@!SCHEUER		zzq
:	:	y
No	no	uh
,	,	y
I	i	ppis1
do	do	vd0
n't	n't	xx
quite	quite	rr@
follow	follow	vvi
it	it	pph1
,	,	y
sir	sir	nn1
,	,	y
because	because	cs
I	i	ppis1_mc1%_zz1%
--		zz
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
life	life	nn1
is	be	vbz
sacred	sacred	jj
in	in	ii
all	all	db
instances	instance	nn2
,	,	y
war	war	nn1
,	,	y
whether	whether	csw
it	it	pph1
's	be	vbz
conducted	conduct	vvn
by	by	ii
Americans	american	nn2
or	or	cc
by	by	ii
British	british	jj
or	or	cc
by	by	ii
Chinese	chinese	jj_np1@
or	or	cc
by	by	ii
Muslims	muslim	nn2
,	,	y
war	war	nn1
is	be	vbz
just	just	jj@_rr
war	war	nn1
.	.	y
And	and	cc
it	it	pph1
kills	kill	vvz
innocent	innocent	jj
people	people	nn
.	.	y
And	and	cc
that	that	dd1
's	be	vbz
the	the	at
way	way	nn1
it	it	pph1
is	be	vbz
.	.	y
O'REILLY	o'reilly	np1
:	:	y
But	but	ccb
there	there	ex
's	be	vbz
a	a	at1
way	way	nn1
to	to	to
wage	wage	vvi
it	it	pph1
.	.	y
And	and	cc
the	the	at
way	way	nn1
that	that	cst
the	the	at
al	al	np1
Qaedas	qaedas	np2
are	be	vbr
waging	wage	vvg
it	it	pph1
is	be	vbz
by	by	ii
killing	kill	vvg_nn1
civilians	civilian	nn2
.	.	y
They	they	pphs2
're	be	vbr
not	not	xx
waging	wage	vvg
war	war	nn1
in	in	ii
a	a	at1
conventional	conventional	jj
way	way	nn1
,	,	y
as	as	csa
you	you	ppy
know	know	vv0
.	.	y
Now	now	rt
...	...	...
@!SCHEUER		zzq
:	:	y
Well	well	rr
,	,	y
they	they	pphs2
are	be	vbr
waging	wage	vvg
war	war	nn1
in	in	ii
the	the	at
conventional	conventional	jj
way	way	nn1
that	that	cst
we	we	ppis2
waged	wage	vvd
war	war	nn1
until	until	ii@_cs
1945	1945	mc
,	,	y
sir	sir	nn1
,	,	y
which	which	ddq
is	be	vbz
the	the	at
last	last	md
war	war	nn1
we	we	ppis2
've	have	vh0
won	win	vvn
.	.	y
Once	once	cs@_rr
we	we	ppis2
stopped	stop	vvd
waging	wage	vvg
war	war	nn1
in	in	ii
the	the	at
American	american	jj
fashion	fashion	nn1
,	,	y
we	we	ppis2
have	have	vh0
n't	n't	xx
won	win	vvn
a	a	at1
war	war	nn1
since	since	rr@_ii@
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Well	well	rr
,	,	y
I	i	ppis1
mean	mean	vv0
,	,	y
that	that	dd1
's	be	vbz
a	a	at1
good	good	jj
debate	debate	nn1
for	for	if
another	another	dd1
day	day	nnt1
,	,	y
but	but	ccb
I	i	ppis1
think	think	vv0
that	that	cst
Americans	american	nn2
in	in	ii
war	war	nn1
wear	wear	vv0_nn1@
uniforms	uniform	nn2
and	and	cc
fight	fight	vv0_nn1
for	for	if
a	a	at1
flag	flag	nn1
.	.	y
Al	al	np1
Qaedas	qaedas	np1
do	do	vd0
not	not	xx
.	.	y
And	and	cc
they	they	pphs2
attack	attack	vv0
civilian	civilian	jj_nn1
targets	target	nn2
.	.	y
And	and	cc
I	i	ppis1
'm	be	vbm
not	not	xx
aware	aware	jj
that	that	cst
Americans	american	nn2
have	have	vh0
done	do	vdn
that	that	dd1
in	in	ii
any	any	dd
of	of	io
our	our	appge
wars	war	nn2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
more	more	dar_rrr
.	.	y
We	we	ppis2
had	have	vhd
Dick	dick	np1
Cheney	cheney	np1
in	in	ii
here	here	rl
talking	talk	vvg
to	to	ii
Neil	neil	np1
cavuto	cavuto	nn1
today	today	rt
.	.	y
@!SCHEUER		zzq
:	:	y
Yes	yes	uh
,	,	y
sir	sir	nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Cheney	cheney	np1
comes	come	vvz
in	in	rp@
.	.	y
And	and	cc
number	number	nn1
one	one	mc1
,	,	y
do	do	vd0
you	you	ppy
believe	believe	vvi
that	that	cst
he	he	pphs1
's	be	vbz
the	the	at
chief	chief	jj_nn1
architect	architect	nn1
in	in	ii
the	the	at
war	war	nn1
on	on	ii
terror	terror	nn1
?	?	y
Do	do	vd0
you	you	ppy
believe	believe	vvi
Cheney	cheney	np1
is	be	vbz
the	the	at
chief	chief	jj_nn1
guy	guy	nn1
?	?	y
@!SCHEUER		zzq
:	:	y
I	i	ppis1
think	think	vv0
the	the	at
president	president	nn1
's	be	vbz
the	the	at
chief	chief	jj_nn1
guy	guy	nn1
,	,	y
sir	sir	nn1
,	,	y
but	but	ccb
I	i	ppis1
certainly	certainly	rr
think	think	vv0
that	that	cst
Mr.	mr	nnb
Cheney	cheney	np1
has	have	vhz
an	a	at1
awfully	awfully	rr
big	big	jj
role	role	nn1
in	in	ii
both	both	db2
Iraq	iraq	np1
and	and	cc
the	the	at
war	war	nn1
on	on	ii
terror	terror	nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
OK	ok	rr
.	.	y
Now	now	rt
he	he	pphs1
comes	come	vvz
in	in	rp@_ii
very	very	rg
cool	cool	jj
and	and	cc
confident	confident	jj
as	as	csa
he	he	pphs1
usually	usually	rr
is	be	vbz
when	when	rrq_cs
--		nn1_jj
he	he	pphs1
does	do	vdz
n't	n't	xx
do	do	vdi
a	a	at1
lot	lot	nn1
of	of	io
media	media	nn
,	,	y
but	but	ccb
when	when	cs_rrq
you	you	ppy
see	see	vv0
him	him	ppho1
,	,	y
he	he	pphs1
's	be	vbz
cool	cool	jj
and	and	cc
confident	confident	jj
.	.	y
And	and	cc
he	he	pphs1
basically	basically	rr
says	say	vvz
,	,	y
look	look	vv0_nn1
,	,	y
we	we	ppis2
could	could	vm
get	get	vvi
attacked	attack	vvn
,	,	y
but	but	ccb
we	we	ppis2
have	have	vh0
done	do	vdn
a	a	at1
tremendous	tremendous	jj
amount	amount	nn1
of	of	io
damage	damage	nn1
to	to	ii
al	al	np1
Qaeda	qaeda	np1
.	.	y
This	this	dd1
is	be	vbz
Dick	dick	np1
Cheney	cheney	np1
saying	say	vvg
this	this	dd1
to	to	ii
Neil	neil	np1
Cavuto	cavuto	np1_nn1
.	.	y
Do	do	vd0
you	you	ppy
believe	believe	vvi
that	that	dd1
?	?	y
@!SCHEUER		zzq
:	:	y
No	no	uh
,	,	y
sir	sir	nn1
.	.	y
He	he	pphs1
's	be	vbz
whistling	whistle	vvg
past	past	ii
the	the	at
graveyard	graveyard	nn1
,	,	y
sir	sir	nn1
.	.	y
They	they	pphs2
have	have	vh0
a	a	at1
body	body	nn1
count	count	nn1
of	of	io
how	how	rgq@_rrq
many	many	da2
people	people	nn
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
have	have	vh0
had	have	vhn
an	a	at1
idea	idea	nn1
of	of	io
how	how	rgq@_rrq
big	big	jj
al	al	np1_fw
Qaeda	qaeda	np1
was	be	vbdz
,	,	y
or	or	cc
is	be	vbz
.	.	y
And	and	cc
so	so	rr
when	when	cs_rrq
Mr.	mr	nnb
Cheney	cheney	np1
says	say	vvz
that	that	cst_dd1
,	,	y
it	it	pph1
's	be	vbz
simply	simply	rr
to	to	ii
me	me	ppio1
a	a	at1
sign	sign	nn1
of	of	io
panic	panic	nn1
,	,	y
because	because	cs
if	if	cs
al	al	np1
Qaeda	qaeda	np1
attacks	attack	vvz@
us	us	ppio2
again	again	rt
in	in	ii
the	the	at
United	united	np1
States	state	np1
,	,	y
the	the	at
United	united	np1
States	state	np1
has	have	vhz
absolutely	absolutely	rr
nothing	nothing	pn1
to	to	to
respond	respond	vvi
against	against	ii
unless	unless	cs
we	we	ppis2
're	be	vbr
willing	willing	jj
to	to	to
take	take	vvi
out	out	rp
a	a	at1
city	city	nn1
like	like	ii
Riyadh	riyadh	np1
or	or	cc
Cairo	cairo	np1
.	.	y
The	the	at
president	president	nn1
and	and	cc
the	the	at
vice	vice	jj_nn1
president	president	nn1
and	and	cc
Mr.	mr	nnb
Clinton	clinton	np1
before	before	ii
them	them	ppho2
play	play	vv0
a	a	at1
very	very	rg
dangerous	dangerous	jj
game	game	nn1
here	here	rl
,	,	y
because	because	cs
if	if	cs
we	we	ppis2
are	be	vbr
attacked	attack	vvn
again	again	rt
,	,	y
what	what	ddq
do	do	vd0
we	we	ppis2
respond	respond	vvi
against	against	ii
?	?	y
And	and	cc
to	to	to
think	think	vvi
that	that	cst_dd1
somehow	somehow	rr
we	we	ppis2
're	be	vbr
winning	win	vvg
this	this	dd1
war	war	nn1
is	be	vbz
really	really	rr
to	to	to
fly	fly	vvi
in	in	ii
the	the	at
face	face	nn1
of	of	io
reality	reality	nn1
,	,	y
sir	sir	nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Is	be	vbz
there	there	ex
anything	anything	pn1
we	we	ppis2
can	can	vm
do	do	vdi
to	to	to
win	win	vvi
it	it	pph1
?	?	y
@!SCHEUER		zzq
:	:	y
Yes	yes	uh
,	,	y
sir	sir	nn1
.	.	y
We	we	ppis2
certainly	certainly	rr
have	have	vh0
to	to	to
kill	kill	vvi
more	more	dar
of	of	io
the	the	at
enemy	enemy	nn1
.	.	y
That	that	dd1
's	be	vbz
the	the	at
first	first	md
--		nn1
the	the	at
first	first	md
step	step	nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Any	any	dd
way	way	nn1
we	we	ppis2
can	can	vm_vv0%
?	?	y
@!SCHEUER		zzq
:	:	y
Anywhere	anywhere	rl
we	we	ppis2
can	can	vm
,	,	y
whenever	whenever	rrqv
we	we	ppis2
can	can	vm
,	,	y
without	without	iw
a	a	at1
great	great	jj
deal	deal	nn1
of	of	io
concern	concern	nn1
for	for	if
civilian	civilian	jj_nn1
casualties	casualty	nn2
.	.	y
As	as	csa
I	i	ppis1
said	say	vvd
,	,	y
war	war	nn1
is	be	vbz
war	war	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Zawahiri	zawahiri	nn1_jj_np1_nn2@
to	to	ii
dinner	dinner	nn1
were	be	vbdr
not	not	xx
friends	friend	nn2
of	of	io
the	the	at
United	united	np1
States	state	np1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
All	all	rr21
right	right	rr22
,	,	y
Mr.	mr	nnb
Scheuer	scheuer	np1
,	,	y
always	always	rr
a	a	at1
pleasure	pleasure	nn1
to	to	to
talk	talk	vvi
with	with	iw
you	you	ppy
.	.	y
Thank	thank	vv0
you	you	ppy
very	very	rg
much	much	da1
for	for	if
taking	take	vvg
the	the	at
time	time	nnt1
.	.	y
@!SCHEUER		zzq
:	:	y
It	it	pph1
's	be	vbz
always	always	rr
my	my	appge
pleasure	pleasure	nn1
,	,	y
sir	sir	nn1
.	.	y
Thank	thank	vv0
you	you	ppy
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Next	next	md
on	on	ii
the	the	at
rundown	rundown	nn1_jj
,	,	y
most	most	dat
Republicans	republican	nn2
are	be	vbr
very	very	rg
worried	worried	jj
about	about	ii
terrorism	terrorism	nn1
,	,	y
but	but	ccb
most	most	dat
Democrats	democrat	nn2
say	say	vv0
they	they	pphs2
are	be	vbr
not	not	xx
.	.	y
Tony	tony	np1
Snow	snow	np1
and	and	cc
Juan	juan	np1
Williams	williams	np1
with	with	iw
analysis	analysis	nn1
,	,	y
moments	moment	nn2
away	away	rl
.	.	y
@(COMMERCIAL-BREAK)		zzc
@(NEWSBREAK)		zzc
##6294		
O'REILLY	o'reilly	np1
:	:	y
Thanks	thanks	nn2
for	for	if
staying	stay	vvg
with	with	iw
us	us	ppio2
.	.	y
I	i	ppis1
'm	be	vbm
Bill	bill	np1
O'Reilly	o'reilly	np1
.	.	y
In	in	ii
the	the	at
"	"	y
Factor	factor	nn1
Follow	follow	nn121@_vv0
Up	up	nn122_rp
"	"	y
segment	segment	nn1
tonight	tonight	rt
,	,	y
accused	accuse	vvd_jj@_vvn
wife	wife	nn1
and	and	cc
baby	baby	nn1
killer	killer	nn1
Neil	neil	np1
Entwistle	entwistle	np1_nn1
is	be	vbz
now	now	rt
in	in	ii
custody	custody	nn1
here	here	rl
in	in	ii
the	the	at
USA	usa	np1
after	after	ii
being	be	vbg
extradited	extradit	vvn@
from	from	ii
Great	great	np1
Britain	britain	np1
.	.	y
Geraldo	geraldo	np1
Rivera	rivera	np1
has	have	vhz
some	some	dd
thoughts	thought	nn2
on	on	ii
that	that	dd1
and	and	cc
also	also	rr
on	on	ii
Dick	dick	np1
Cheney	cheney	np1
's	's	ge
dilemma	dilemma	nn1
.	.	y
He	he	pphs1
joins	join	vvz
us	us	ppio2
now	now	rt
from	from	ii
New	new	np1
York	york	np1
City	city	nn1
,	,	y
where	where	cs_rrq
he	he	pphs1
's	be	vhz
just	just	rr
finished	finish	vvn
his	his	appge
syndicated	syndicated	jj@
program	program	nn1
"	"	y
Geraldo	geraldo	np1
at	at	rr21
Large	large	rr22
.	.	y
"	"	y
All	all	rr21
right	right	rr22
.	.	y
So	so	rr
Entwistle	entwistle	vv0_np1
,	,	y
is	be	vbz
this	this	dd1
thing	thing	nn1
as	as	csa
cut	cut	vvn_nn1
and	and	cc
dry	dry	jj
as	as	csa
it	it	pph1
looks	look	vvz
?	?	y
@!GERALDO-RIVERA-HO		zzq
:	:	y
I	i	ppis1
think	think	vv0
so	so	rr
.	.	y
He	he	pphs1
landed	land	vvd
at	at	ii
about	about	rg
5:20	5:20	mc
Eastern	eastern	jj
Time	time	nnt1
at	at	ii
an	a	at1
Air	air	nn1
Force	force	nn1
base	base	nn1
.	.	y
He	he	pphs1
'll	will	vm
be	be	vbi
arraigned	arraign	vvn@
tomorrow	tomorrow	rt
at	at	ii
2	2	mc
p.m	pm	ra
.	.	y
The	the	at
state	state	nn1
is	be	vbz
very	very	rg
convinced	convinced	jj
,	,	y
reading	read	vvg
the	the	at
200-odd	200-odd	jj
pages	page	nn2
in	in	ii
the	the	at
affidavits	affidavit	nn2
supporting	support	vvg
the	the	at
search	search	nn1
warrants	warrant	nn2_vvz
of	of	io
his	his	appge
computer	computer	nn1
and	and	cc
his	his	appge
home	home	nn1
,	,	y
they	they	pphs2
think	think	vv0
they	they	pphs2
have	have	vh0
a	a	at1
lead	lead	nn1
pipe	pipe	nn1
cinch	cinch	vv0_nn1
here	here	rl
.	.	y
They	they	pphs2
think	think	vv0
they	they	pphs2
've	have	vh0
got	get	vvn
this	this	dd1
guy	guy	nn1
.	.	y
Not	not	xx
only	only	rr
did	do	vdd
he	he	pphs1
have	have	vhi
this	this	dd1
bizarre	bizarre	jj
life	life	nn1
,	,	y
this	this	dd1
dark	dark	jj_nn1
secret	secret	jj_nn1
life	life	nn1
and	and	cc
no	no	at
visible	visible	jj
--		zz
visible	visible	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
opportunity	opportunity	nn1
to	to	to
kill	kill	vvi
his	his	appge
wife	wife	nn1
and	and	cc
baby	baby	nn1
.	.	y
His	his	appge
DNA	dna	nn1
is	be	vbz
on	on	ii
the	the	at
--		nn1_jj
on	on	ii
the	the	at
.22-caliber	.22-caliber	jj_nn1
pistol	pistol	nn1
seized	seize	vvn_vvd
at	at	ii
the	the	at
father-in-law	father-in-law	nn1
's	's	ge
--		nn1_jj
the	the	at
stepfather-in-law	stepfather-in-law	nn1
's	's	ge
house	house	nn1
.	.	y
Rachel	rachel	np1
's	's	ge
DNA	dna	nn1
is	be	vbz
on	on	ii
the	the	at
barrel	barrel	nn1
where	where	cs_rrq
he	he	pphs1
allegedly	allegedly	rr
put	put	vv0_vvd_vvn
the	the	at
gun	gun	nn1
almost	almost	rr
on	on	ii
her	her	appge
hairline	hairline	nn1
before	before	ii
pulling	pull	vvg
the	the	at
trigger	trigger	nn1
.	.	y
It	it	pph1
really	really	rr
--		zz
he	he	pphs1
made	make	vvd
conflicting	conflicting	jj
statements	statement	nn2
to	to	ii
the	the	at
cops	cop	nn2
.	.	y
He	he	pphs1
fled	flee	vvd
the	the	at
scene	scene	nn1
.	.	y
He	he	pphs1
refused	refuse	vvd
to	to	to
come	come	vvi
back	back	rp
for	for	if
their	their	appge
--		nn1_jj
the	the	at
burial	burial	nn1
of	of	io
his	his	appge
wife	wife	nn1
and	and	cc
baby	baby	nn1
.	.	y
I	i	ppis1
think	think	vv0
this	this	dd1
is	be	vbz
Scott	scott	np1
Peterson	peterson	np1
second	second	nnt1_md
.	.	y
His	his	appge
alibi	alibi	nn1
is	be	vbz
just	just	rr
as	as	rg
preposterous	preposterous	jj
as	as	csa
Scott	scott	np1
Peterson	peterson	np1
's	's	ge
alibi	alibi	nn1
,	,	y
this	this	dd1
fertilizer	fertilizer	nn1
salesman	salesman	nn1
who	who	pnqs
said	say	vvd
he	he	pphs1
was	be	vbdz
out	out	rp
fishing	fishing	nn1
on	on	ii
Christmas	christmas	nnt1
eave	eave	nn1_vv0
.	.	y
Another	another	dd1
--		nn1_jj
another	another	dd1
slam-dunk	slam-dunk	nn1_jj
here	here	rl
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Yes	yes	uh
.	.	y
All	all	rr21
right	right	rr22
.	.	y
You	you	ppy
reference	reference	vv0@
--		zz
you	you	ppy
reference	reference	vv0@
a	a	at1
dark	dark	jj_nn1
side	side	nn1
,	,	y
and	and	cc
you	you	ppy
know	know	vv0
,	,	y
we	we	ppis2
hear	hear	vv0
Internet	internet	np1_nn1
stuff	stuff	vvi
.	.	y
What	what	ddq
is	be	vbz
that	that	dd1
all	all	db_rr@
about	about	rp@_ii
?	?	y
@!RIVERA		zzq
:	:	y
Well	well	rr
,	,	y
he	he	pphs1
was	be	vbdz
desperate	desperate	jj
for	for	if
money	money	nn1
.	.	y
The	the	at
guy	guy	nn1
could	could	vm
n't	n't	xx
get	get	vvi
a	a	at1
job	job	nn1
in	in	ii
England	england	np1
.	.	y
That	that	dd1
's	be	vbz
where	where	rrq
he	he	pphs1
and	and	cc
Rachel	rachel	np1
met	meet	vvd
.	.	y
He	he	pphs1
alleged	allege	vvd
because	because	cs
he	he	pphs1
had	have	vhd
this	this	dd1
cockney	cockney	jj_nn1
accent	accent	nn1
that	that	cst
the	the	at
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
to	to	ii
the	the	at
new	new	jj
world	world	nn1
and	and	cc
he	he	pphs1
could	could	vm
n't	n't	xx
get	get	vvi
a	a	at1
job	job	nn1
here	here	rl
either	either	rr
,	,	y
apparently	apparently	rr
.	.	y
So	so	rr
he	he	pphs1
got	get	vvd
involved	involved	jj
in	in	ii
these	these	dd2
various	various	jj
pyramid	pyramid	nn1
schemes	scheme	nn2
involving	involve	vvg
the	the	at
Internet	internet	nn1_np1
.	.	y
Soft	soft	jj
core	core	nn1
porn	porn	nn1
.	.	y
He	he	pphs1
had	have	vhd
something	something	pn1
called	call	vvn
the	the	at
Big	big	jj
Penis	penis	nn1
Manual	manual	nn1
that	that	cst
he	he	pphs1
was	be	vbdz
trying	try	vvg
to	to	to
sell	sell	vvi
online	online	rr_jj
,	,	y
another	another	dd1
fake	fake	jj
thing	thing	nn1
that	that	cst
he	he	pphs1
was	be	vbdz
trying	try	vvg
to	to	to
market	market	vvi
.	.	y
All	all	db
of	of	io
these	these	dd2
things	thing	nn2
collapsed	collapse	vvn_vvd
in	in	ii
the	the	at
days	day	nnt2
leading	lead	vvg
up	up	ii21
to	to	ii22
the	the	at
rental	rental	nn1
of	of	io
the	the	at
new	new	jj
house	house	nn1
.	.	y
And	and	cc
so	so	rr_cs@
he	he	pphs1
had	have	vhd
this	this	dd1
house	house	nn1
and	and	cc
he	he	pphs1
was	be	vbdz
paying	pay	vvg
$2,700	$2,700	nnu
a	a	at1
month	month	nnt1
rent	rent	nn1_vv0
for	for	if
it	it	pph1
.	.	y
He	he	pphs1
had	have	vhd
$6,000	$6,000	nnu
he	he	pphs1
paid	pay	vvd
on	on	ii
credit	credit	nn1
for	for	if
the	the	at
furniture	furniture	nn1
.	.	y
He	he	pphs1
had	have	vhd
a	a	at1
new	new	jj
BMW	bmw	np1
that	that	cst
he	he	pphs1
was	be	vbdz
leasing	lease	vvg
for	for	if
over	over	rg
$500	$500	nnu
a	a	at1
month	month	nnt1
.	.	y
He	he	pphs1
had	have	vhd
zero	zero	mc_nn1
money	money	nn1
.	.	y
He	he	pphs1
literally	literally	rr
did	do	vdd
n't	n't	xx
have	have	vhi
a	a	at1
dime	dime	nn1
to	to	ii
his	his	appge
name	name	nn1
.	.	y
So	so	rr
he	he	pphs1
had	have	vhd
all	all	db_rr@
that	that	dd1
financial	financial	jj
pressure	pressure	nn1
.	.	y
Plus	plus	nn1@_rr%_ii
,	,	y
he	he	pphs1
was	be	vbdz
evidently	evidently	rr
sexually	sexually	rr
frustrated	frustrate	vvn_vvd_jj
.	.	y
He	he	pphs1
was	be	vbdz
searching	search	vvg
the	the	at
Internet	internet	nn1_np1
,	,	y
not	not	xx
only	only	rr
these	these	dd2
dark	dark	jj
porn	porn	nn1
sites	site	nn2
but	but	ccb
also	also	rr
sites	site	nn2
on	on	ii
how	how	rrq
to	to	to
kill	kill	vvi
people	people	nn
and	and	cc
how	how	rrq
to	to	to
commit	commit	vvi
suicide	suicide	nn1
with	with	iw
a	a	at1
knife	knife	nn1
.	.	y
So	so	rr
it	it	pph1
's	be	vbz
pretty	pretty	rg
clear	clear	jj
that	that	cst
this	this	dd1
guy	guy	nn1
