##2000850		
OPPOSITE	opposite	jj_nn1@_rl@
and	and	cc
fondling	fondle	vvg_jj@
pups	pup	nn2
should	should	vm
be	be	vbi
kept	keep	vvn
to	to	ii
a	a	at1
minimum	minimum	nn1_jj
at	at	ii
the	the	at
early	early	jj
stage	stage	nn1
,	,	y
some	some	dd
is	be	vbz
necessary	necessary	jj
and	and	cc
I	i	ppis1
think	think	vv0
beneficial	beneficial	jj
.	.	y
A	a	at1
hunter	hunter	nn1
can	can	vm
get	get	vvi
the	the	at
right	right	jj_nn1
kind	kind	nn1
of	of	io
dog	dog	nn1
,	,	y
about	about	rg
9	9	mc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
treats	treat	vvz
him	him	ppho1
right	right	rr
,	,	y
starts	start	vvz
his	his	appge
training	training	nn1
early	early	rr_jj
and	and	cc
quits	quit	vvz_jj
making	make	vvg_nn1@
excuses	excuse	nn2
for	for	if
not	not	xx
getting	get	vvg
at	at	ii
it	it	pph1
by	by	ii
saying	say	vvg
,	,	y
"	"	y
Oh	oh	uh
,	,	y
that	that	dd1
pup	pup	nn1
's	be	vbz
too	too	rg
young	young	jj
for	for	if
training	training	nn1
.	.	y
I	i	ppis1
'll	will	vm
wait	wait	vvi
until	until	cs
he	he	pphs1
's	be	vbz
a	a	at1
year	year	nnt1
old	old	jj
.	.	y
"	"	y
A	a	at1
pup	pup	nn1
is	be	vbz
never	never	rr
too	too	rg
young	young	jj
.	.	y
Get	get	vv0
with	with	iw
it	it	pph1
.	.	y
Sidebar	sidebar	nn1_np1@
FLASH	flash	nn1_jj
FACT	fact	nn1
In	in	ii
a	a	at1
1914	1914	mc
media	media	nn
stunt	stunt	vv0_nn1
,	,	y
Gladys	gladys	np1
Hardy	hardy	np1
,	,	y
from	from	ii
Washington	washington	np1
,	,	y
collected	collect	vvd_vvn
more	more	dar_rrr
than	than	csn
1	1	mc1
,	,	y
OOO	ooo	uh
new	new	jj
subscriptions	subscription	nn2
for	for	if
OL	ol	nn1_np1
during	during	ii
a	a	at1
nearly	nearly	rr
1,000-mile	1,000-mile	fo
trip	trip	nn1
on	on	ii
horseback	horseback	nn1
from	from	ii
Spokane	spokane	np1
to	to	ii
San	san	np1
Francisco	francisco	np1
.	.	y
//	//	x
<p>	<p>	y
##2000853		
OL	ol	np1_nn1
's	's	ge
shooting	shooting	nn1_jj@_vvg
editor	editor	nn1
remembers	remember	vvz
one	one	mc1
of	of	io
O'Connor	o'connor	np1
's	's	ge
best	best	jjt
columns	column	nn2
//	//	x
Mention	mention	nn1_vv0
Jack	jack	np1
O'Connor	o'connor	np1
and	and	cc
the	the	at
first	first	md
two	two	mc
things	thing	nn2
that	that	cst_dd1
spring	spring	vv0@_nn1
to	to	to
mind	mind	vvi
are	be	vbr
sheep	sheep	nn
hunting	hunting	nn1_vvg@
and	and	cc
the	the	at
.270	.270	mc
Winchester	winchester	np1
cartridge	cartridge	nn1
.	.	y
He	he	pphs1
wrote	write	vvd
a	a	at1_rr21@
lot	lot	nn1_rr22
about	about	ii
both	both	db2_rr
,	,	y
and	and	cc
his	his	appge
style	style	nn1
was	be	vbdz
informative	informative	jj
and	and	cc
entertaining	entertaining	jj
.	.	y
A	a	at1_zz1
rare	rare	jj
combination	combination	nn1
.	.	y
Back	back	nn1_rp
when	when	cs_rrq
I	i	ppis1
was	be	vbdz
a	a	at1
slab-footed	slab-footed	jj
farm	farm	nn1
lad	lad	nn1
,	,	y
I	i	ppis1
slurped	slurp	vvd
up	up	rp
shooting	shoot	vvg_nn1_jj@
information	information	nn1
(	(	y
along	along	ii21
with	with	ii22
lots	lots	pn
of	of	io
misinformation	misinformation	nn1
)	)	y
like	like	ii
a	a	at1
bear	bear	nn1
robbing	rob	vvg
a	a	at1
beehive	beehive	nn1
,	,	y
and	and	cc
every	every	at1
copy	copy	nn1
of	of	io
OUTDOOR	outdoor	jj
LIFE	life	nn1
contained	contain	vvd_vvn
radiant	radiant	jj
pearls	pearl	nn2
of	of	io
knowledge	knowledge	nn1
.	.	y
Later	later	rrr_jjr
,	,	y
after	after	cs_ii
college	college	nn1
and	and	cc
some	some	dd
exposure	exposure	nn1
to	to	ii
what	what	ddq
is	be	vbz
generally	generally	rr
considered	consider	vvn_vvd
to	to	to
be	be	vbi
good	good	jj
literature	literature	nn1
,	,	y
I	i	ppis1
came	come	vvd
to	to	to
recognize	recognize	vvi
O'Connor	o'connor	np1
not	not	xx
only	only	rr
as	as	ii_csa
a	a	at1
fount	fount	nn1
of	of	io
solid	solid	jj_nn1@
,	,	y
experience-backed	experience-backed	jj_nn1
shooting	shooting	nn1_jj@
information	information	nn1
,	,	y
but	but	ccb
also	also	rr
as	as	ii_csa
a	a	at1
truly	truly	rr
gifted	gifted	jj
writer	writer	nn1
in	in	ii
the	the	at
great	great	jj
storytelling	storytelling	nn1_jj@
tradition	tradition	nn1
.	.	y
A	a	at1
writer	writer	nn1
who	who	pnqs
polished	polish	vvd
each	each	dd1
phrase	phrase	nn1
until	until	cs
,	,	y
in	in	ii
his	his	appge
own	own	da
words	word	nn2
,	,	y
it	it	pph1
"	"	y
flowed	flow	vvd
like	like	ii
cream	cream	nn1
,	,	y
"	"	y
and	and	cc
charmed	charm	vvd
the	the	at
reader	reader	nn1
with	with	iw
precision	precision	nn1
or	or	cc
humor	humor	nn1
.	.	y
To	to	to
pick	pick	vvi
my	my	appge
favorite	favorite	jj_nn1
O'Connor	o'connor	np1
piece	piece	nn1
would	would	vm
be	be	vbi
too	too	rg
daunting	daunting	jj
to	to	to
contemplate	contemplate	vvi
,	,	y
but	but	ccb
here	here	rl
is	be	vbz
Jack	jack	np1
at	at	ii
his	his	appge
best	best	jjt
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
too	too	rg
young	young	jj
to	to	to
have	have	vhi
read	read	vvn
O'Connor	o'connor	np1
,	,	y
now	now	rt_cs%
you	you	ppy
'll	will	vm
know	know	vvi
why	why	rrq
he	he	pphs1
'll	will	vm
never	never	rr
be	be	vbi
forgotten	forget	vvn
.	.	y
Enjoy	enjoy	vv0
.	.	y
Which	which	ddq
Rifle	rifle	nn1
for	for	if
Sheep	sheep	nn
?	?	y
By	by	ii
Jack	jack	np1
O'Connor	o'connor	np1
June	june	npm1
1960	1960	mc
Before	before	cs
I	i	ppis1
made	make	vvd
my	my	appge
first	first	md
hunt	hunt	nn1_vv0
for	for	if
wild	wild	jj
sheep	sheep	nn
around	around	rg
a	a	at1
quarter	quarter	nn1
of	of	io
a	a	at1
century	century	nnt1
ago	ago	ra
,	,	y
I	i	ppis1
had	have	vhd
done	do	vdn
a	a	at1
lot	lot	nn1
of	of	io
reading	read	vvg_nn1
on	on	ii
the	the	at
subject	subject	nn1
of	of	io
proper	proper	jj
rifles	rifle	nn2
and	and	cc
cartridges	cartridge	nn2
for	for	if
the	the	at
sport	sport	nn1
.	.	y
The	the	at
phrase	phrase	nn1
"	"	y
long	long	jj
shots	shot	nn2
at	at	ii
sheep	sheep	nn
and	and	cc
goats	goat	nn2
"	"	y
occurred	occur	vvd_vvn@
like	like	ii
a	a	at1
refrain	refrain	nn1
in	in	ii
everything	everything	pn1
I	i	ppis1
read	read	vvd_vv0
.	.	y
Much	much	da1_rr
was	be	vbdz
made	make	vvn
of	of	io
the	the	at
need	need	nn1
for	for	if
flat	flat	jj_nn1
trajectory	trajectory	nn1
.	.	y
I	i	ppis1
pictured	picture	vvd
myself	myself	ppx1
perched	perch	vvn
on	on	ii
a	a	at1
knife-edged	knife-edged	jj_nn1
ridge	ridge	nn1
shooting	shoot	vvg_nn1
at	at	ii
a	a	at1
ram	ram	nn1
on	on	ii
another	another	dd1
ridge	ridge	nn1
at	at	rr21
least	least	rr22
500	500	mc
yards	yard	nn2
away	away	rl
.	.	y
The	the	at
only	only	jj
real	real	jj
sheep	sheep	nn
hunter	hunter	nn1
I	i	ppis1
knew	know	vvd
at	at	ii
that	that	dd1
time	time	nnt1
was	be	vbdz
a	a	at1
skinny	skinny	jj
and	and	cc
tough	tough	jj
little	little	jj
character	character	nn1
who	who	pnqs
was	be	vbdz
,	,	y
by	by	ii
profession	profession	nn1
,	,	y
a	a	at1
mining	mining	nn1
engineer	engineer	nn1
but	but	ccb
who	who	pnqs
was	be	vbdz
also	also	rr
,	,	y
by	by	ii
preference	preference	nn1
,	,	y
a	a	at1
desert	desert	nn1
rat	rat	nn1
,	,	y
prospector	prospector	nn1
and	and	cc
sheep	sheep	nn
hunter	hunter	nn1
.	.	y
He	he	pphs1
liked	like	vvd
nothing	nothing	pn1
better	better	jjr_rrr
than	than	csn
to	to	to
disappear	disappear	vvi
into	into	ii
the	the	at
harsh	harsh	jj
,	,	y
barren	barren	jj
mountains	mountain	nn2
of	of	io
the	the	at
Arizona	arizona	np1
and	and	cc
Sonora	sonora	np1
deserts	desert	nn2
to	to	to
look	look	vvi
for	for	if
gold	gold	nn1
and	and	cc
copper	copper	nn1_jj@
and	and	cc
to	to	to
hunt	hunt	vvi
sheep	sheep	nn
.	.	y
In	in	ii
his	his	appge
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
although	although	cs
he	he	pphs1
claimed	claim	vvd
he	he	pphs1
'd	have	vhd
got	get	vvn
them	them	ppho2
all	all	db
in	in	ii
northern	northern	jj
Mexico	mexico	np1
,	,	y
I	i	ppis1
strongly	strongly	rr
suspect	suspect	vv0
that	that	cst_dd1
in	in	ii
those	those	dd2
lawless	lawless	jj
times	time	nnt2
he	he	pphs1
did	do	vdd
a	a	at1
good	good	jj
deal	deal	nn1
of	of	io
his	his	appge
hunting	hunting	nn1
illegally	illegally	rr
in	in	ii
Arizona	arizona	np1
.	.	y
I	i	ppis1
was	be	vbdz
astounded	astounded	jj_vvn%
to	to	to
discover	discover	vvi
that	that	cst
his	his	appge
sheep	sheep	nn
rifle	rifle	nn1
was	be	vbdz
a	a	at1
Winchester	winchester	np1
Model	model	nn1
94	94	mc
carbine	carbine	nn1
with	with	iw
a	a	at1
20-inch	20-inch	nnu1_jj
barrel	barrel	nn1
and	and	cc
in	in	ii_rp@
.25/35	.25/35	mf
caliber	caliber	nn1
,	,	y
about	about	ii_rp@
as	as	rg@
evil-looking	evil-looking	jj
a	a	at1
firearm	firearm	nn1
as	as	csa
I	i	ppis1
had	have	vhd
ever	ever	rr
seen	see	vvn
.	.	y
Not	not	xx
a	a	at1
vestige	vestige	nn1
of	of	io
finish	finish	nn1
remained	remain	vvd_vvn
on	on	ii
the	the	at
stock	stock	nn1
or	or	cc
barrel	barrel	nn1
.	.	y
The	the	at
bore	bore	nn1
,	,	y
however	however	rr
,	,	y
was	be	vbdz
mirror	mirror	nn1
bright	bright	jj
,	,	y
and	and	cc
later	later	rrr_jjr
when	when	cs
I	i	ppis1
hunted	hunt	vvd
with	with	iw
him	him	ppho1
I	i	ppis1
found	find	vvd
him	him	ppho1
to	to	to
be	be	vbi
an	a	at1
excellent	excellent	jj
shot	shot	nn1
.	.	y
"	"	y
Hell	hell	nn1
's	's	ge
bells	bell	nn2
,	,	y
"	"	y
he	he	pphs1
told	tell	vvd
me	me	ppio1
when	when	rrq_cs
I	i	ppis1
tried	try	vvd
to	to	to
pump	pump	vvi
him	him	ppho1
about	about	ii
sheep	sheep	nn
rifles	rifle	nn2
,	,	y
"	"	y
the	the	at
trick	trick	nn1
of	of	io
sheep	sheep	nn
hunting	hunting	nn1
is	be	vbz
to	to	to
find	find	vvi
the	the	at
things	thing	nn2
.	.	y
Once	once	cs@_rr
you	you	ppy
've	have	vh0
done	do	vdn
that	that	dd1
you	you	ppy
can	can	vm
knock	knock	vvi
them	them	ppho2
over	over	rp
with	with	iw
just	just	rr21
about	about	rr22
anything	anything	pn1
.	.	y
"	"	y
He	he	pphs1
showed	show	vvd
me	me	ppio1
his	his	appge
binocular-a	binocular-a	jj
big	big	jj
,	,	y
much-used	much-used	jj_nn1
Hensoldt	hensoldt	np1_nn1@
roof-prism	roof-prism	jj_nn1
set	set	nn1_vvd
which	which	ddq
I	i	ppis1
believe	believe	vv0
was	be	vbdz
10x56	10x56	fo
.	.	y
"	"	y
Give	give	vv0
me	me	ppio1
a	a	at1
good	good	jj
glass	glass	nn1
,	,	y
"	"	y
he	he	pphs1
said	say	vvd
,	,	y
"	"	y
and	and	cc
I	i	ppis1
'll	will	vm
hunt	hunt	vvi
sheep	sheep	nn
with	with	iw
a	a	at1
.22	.22	mc
.	.	y
I	i	ppis1
do	do	vd0
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
so	so	rg
long	long	rr_jj
as	as	csa
it	it	pph1
's	be	vbz
light	light	jj_nn1
.	.	y
"	"	y
I	i	ppis1
took	take	vvd
his	his	appge
advice	advice	nn1
about	about	ii
Mexican	mexican	jj
sheep	sheep	nn
country	country	nn1
,	,	y
but	but	ccb
I	i	ppis1
had	have	vhd
my	my	appge
own	own	da
notions	notion	nn2
as	as	ii21
to	to	ii22
suitable	suitable	jj
sheep	sheep	nn
rifles	rifle	nn2
.	.	y
I	i	ppis1
simply	simply	rr
could	could	vm
not	not	xx
believe	believe	vvi
him	him	ppho1
when	when	cs_rrq
he	he	pphs1
told	tell	vvd
me	me	ppio1
that	that	cst
he	he	pphs1
generally	generally	rr
killed	kill	vvn_vvd
his	his	appge
rams	ram	nn2
at	at	ii
150	150	mc
yards	yard	nn2
or	or	cc
less	less	rrr_dar
.	.	y
I	i	ppis1
expended	expend	vvd
a	a	at1
good	good	jj
deal	deal	nn1
of	of	io
sweat	sweat	nn1
and	and	cc
effort	effort	nn1
before	before	cs
I	i	ppis1
got	get	vvd
my	my	appge
first	first	md
ram	ram	nn1
.	.	y
I	i	ppis1
had	have	vhd
to	to	to
learn	learn	vvi
the	the	at
hard	hard	jj
way	way	nn1
that	that	cst
in	in	ii
sheep	sheep	nn
hunting	hunting	nn1
,	,	y
good	good	jj
binoculars	binoculars	nn2
and	and	cc
the	the	at
ability	ability	nn1
to	to	to
use	use	vvi
them	them	ppho2
are	be	vbr
more	more	rgr
important	important	jj
than	than	csn
the	the	at
rifle	rifle	nn1
and	and	cc
cartridge	cartridge	nn1
and	and	cc
generally	generally	rr
,	,	y
but	but	ccb
by	by	rr31
no	no	rr32
means	means	rr33
always	always	rr
,	,	y
more	more	rgr
important	important	jj
even	even	rr
than	than	csn
shooting	shooting	jj@_vvg_nn1
skill	skill	nn1
.	.	y
I	i	ppis1
also	also	rr
learned	learn	vvd
that	that	cst_dd1
two	two	mc
or	or	cc
three	three	mc
extra	extra	jj
pounds	pound	nn2
in	in	ii
the	the	at
weight	weight	nn1
of	of	io
a	a	at1
rifle	rifle	nn1
seem	seem	vv0
like	like	ii
20	20	mc
or	or	cc
30	30	mc
at	at	ii
the	the	at
end	end	nn1
of	of	io
a	a	at1
long	long	jj_rr
,	,	y
rough	rough	jj
day	day	nnt1
.	.	y
When	when	cs_rrq
I	i	ppis1
had	have	vhd
finally	finally	rr
learned	learn	vvn
by	by	ii
trial	trial	nn1
and	and	cc
error	error	nn1
enough	enough	rr
about	about	ii
sheep	sheep	nn
hunting	hunting	nn1_vvg@
to	to	to
get	get	vvi
myself	myself	ppx1
a	a	at1
ram	ram	nn1
,	,	y
the	the	at
shot	shot	nn1
that	that	cst_dd1
did	do	vdd
the	the	at
business	business	nn1
was	be	vbdz
not	not	xx
from	from	ii
ridge	ridge	nn1
to	to	ii
ridge	ridge	nn1
across	across	ii
a	a	at1
big	big	jj
canyon	canyon	nn1
but	but	ccb
at	at	ii
maybe	maybe	rr
55	55	mc
or	or	cc
60	60	mc
yards	yard	nn2
.	.	y
The	the	at
rifle	rifle	nn1
I	i	ppis1
used	use	vvd
was	be	vbdz
a	a	at1
7x57	7x57	fo
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
a	a	at1
sling	sling	nn1
,	,	y
and	and	cc
the	the	at
load	load	nn1
was	be	vbdz
a	a	at1
now	now	rt
obsolete	obsolete	jj
one	one	pn1
formerly	formerly	rr
loaded	load	vvn
by	by	ii
Western	western	np1_jj
with	with	iw
a	a	at1
139grain	139grain	fo
,	,	y
open-point	open-point	jj_nn1
bullet	bullet	nn1
at	at	ii
a	a	at1
velocity	velocity	nn1
of	of	io
about	about	rg
2,900	2,900	mc
feet	foot	nn2
per	per	ii
second	second	nnt1
.	.	y
Except	except	cs21
that	that	cs22
I	i	ppis1
would	would	vm
now	now	rt
have	have	vhi
a	a	at1
4X	4x	fo
scope	scope	nn1
on	on	ii
such	such	da
a	a	at1
rifle	rifle	nn1
,	,	y
I	i	ppis1
do	do	vd0
n't	n't	xx
know	know	vvi
of	of	io
a	a	at1
much	much	rr
better	better	jjr
combination	combination	nn1
today	today	rt
.	.	y
After	after	ii
all	all	db
the	the	at
buildup	buildup	nn1
one	one	pn1_mc1
reads	read	vvz
about	about	ii
long-range	long-range	jj
shots	shot	nn2
at	at	ii
sheep	sheep	nn
and	and	cc
goats	goat	nn2
,	,	y
it	it	pph1
is	be	vbz
difficult	difficult	jj
to	to	to
realize	realize	vvi
the	the	at
fact	fact	nn1
that	that	cst
the	the	at
average	average	jj_nn1
ram	ram	nn1
is	be	vbz
taken	take	vvn
at	at	ii
no	no	at
great	great	jj
range	range	nn1
.	.	y
The	the	at
best	best	rrt_jjt
bighorn	bighorn	vv0_nn1
I	i	ppis1
ever	ever	rr
knocked	knock	vvn_vvd
over	over	rp
was	be	vbdz
somewhere	somewhere	rl
around	around	rg
100	100	mc
yards	yard	nn2
away	away	rl
.	.	y
The	the	at
best	best	rrt_jjt
Dall	dall	vv0@_nn1@
I	i	ppis1
have	have	vh0
ever	ever	rr
taken	take	vvn
a	a	at1
crack	crack	nn1
at	at	ii
fell	fell	nn1@_jj@_vvd
somewhere	somewhere	rl
around	around	rg
50	50	mc
or	or	cc
60	60	mc
yards	yard	nn2
from	from	ii
the	the	at
muzzle	muzzle	nn1
,	,	y
and	and	cc
the	the	at
last	last	md
desert	desert	nn1
bighorn	bighorn	vv0_nn1
I	i	ppis1
folded	fold	vvd@
was	be	vbdz
probably	probably	rr
about	about	rg
35	35	mc
yards	yard	nn2
away	away	rl
.	.	y
Photograph	photograph	vv0@_nn1
This	this	dd1
41	41	mc
1/2-inch	1/2-inch	fu
Stone	stone	nn1
ram	ram	nn1
was	be	vbdz
taken	take	vvn
by	by	ii
O'Connor	o'connor	np1
at	at	ii
about	about	rg
300	300	mc
yards	yard	nn2
with	with	iw
a	a	at1
.270	.270	mc
.	.	y
Though	though	cs
it	it	pph1
has	have	vhz
since	since	rr@
been	be	vbn
surpassed	surpass	vvn
,	,	y
the	the	at
ram	ram	nn1
was	be	vbdz
number	number	nn1_jjr%
10	10	mc
in	in	ii
the	the	at
Boone	boone	np1_nn1
&;	&;	x
Crockett	crockett	np1
record	record	nn1
book	book	nn1
at	at	ii
the	the	at
time	time	nnt1
.	.	y
//	//	x
All	all	db
this	this	dd1
is	be	vbz
not	not	xx
to	to	to
say	say	vvi
that	that	dd1_cst
long	long	jj
shots	shot	nn2
are	be	vbr
never	never	rr
taken	take	vvn
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
only	only	jj
way	way	nn1
the	the	at
sheep	sheep	nn
hunter	hunter	nn1
can	can	vm
get	get	vvi
.	.	y
the	the	at
ram	ram	nn1
he	he	pphs1
wants	want	vvz
.	.	y
It	it	pph1
is	be	vbz
always	always	rr
wise	wise	jj
to	to	to
be	be	vbi
prepared	prepare	vvn
for	for	if
such	such	da
a	a	at1
shot	shot	nn1
,	,	y
but	but	ccb
the	the	at
old-timer	old-timer	nn1_jj
usually	usually	rr
tries	try	vvz
to	to	to
get	get	vvi
reasonably	reasonably	rr
close	close	vv0_jj
so	so	cs21
that	that	cs22
he	he	pphs1
can	can	vm
make	make	vvi
a	a	at1
sure	sure	jj
shot	shot	nn1
.	.	y
Above	above	ii
all	all	db
,	,	y
the	the	at
sheep	sheep	nn
rifle	rifle	nn1
should	should	vm
be	be	vbi
reasonably	reasonably	rr
light	light	jj
and	and	cc
handy	handy	jj
.	.	y
A	a	at1_zz1
good	good	jj
weight	weight	nn1
with	with	iw
a	a	at1
scope	scope	nn1
is	be	vbz
about	about	rg
8	8	mc
pounds	pound	nn2
,	,	y
though	though	cs
some	some	dd
can	can	vm
weigh	weigh	vvi
as	as	rg
little	little	da1
as	as	csa
71/2	71/2	mf
pounds	pound	nn2
.	.	y
Often	often	rr
the	the	at
sheep	sheep	nn
hunter	hunter	nn1
has	have	vhz
to	to	to
take	take	vvi
some	some	dd
fearful	fearful	jj
treks	trek	nn2
.	.	y
I	i	ppis1
generally	generally	rr
use	use	vv0
a	a	at1
22-inch	22-inch	nnu1_jj
barrel	barrel	nn1
,	,	y
but	but	ccb
there	there	ex
is	be	vbz
no	no	at_uh_rr%
particularly	particularly	rr
good	good	jj
reason	reason	nn1
why	why	rrq
the	the	at
sheep	sheep	nn
hunter	hunter	nn1
could	could	vm
n't	n't	xx
use	use	vvi
a	a	at1
barrel	barrel	nn1
as	as	rg
short	short	jj_rr@
as	as	csa
20	20	mc
inches	inch	nnu2
.	.	y
A	a	at1_zz1
short	short	jj
barrel	barrel	nn1
cuts	cut	vvz
down	down	rp
on	on	ii
velocity	velocity	nn1
a	a	rr21
bit	bit	rr22
but	but	ccb
has	have	vhz
little	little	rr_da1
,	,	y
if	if	cs
any	any	dd
,	,	y
effect	effect	nn1_vv0@
on	on	ii
accuracy	accuracy	nn1
.	.	y
Often	often	rr
it	it	pph1
's	be	vbz
necessary	necessary	jj
for	for	if
the	the	at
sheep	sheep	nn
hunter	hunter	nn1
to	to	ii
strap	strap	nn1
his	his	appge
rifle	rifle	nn1
across	across	ii
his	his	appge
back	back	nn1
so	so	cs@_rr
he	he	pphs1
can	can	vm
climb	climb	vvi
a	a	at1
cliff	cliff	nn1
or	or	cc
work	work	vv0_nn1
along	along	rp_ii
a	a	at1
ledge	ledge	nn1
with	with	iw
both	both	db2
hands	hand	nn2
.	.	y
Then	then	rt
he	he	pphs1
does	do	vdz
n't	n't	xx
want	want	vvi
a	a	at1
long	long	jj
barrel	barrel	nn1
that	that	cst_dd1
will	will	vm
catch	catch	vvi
on	on	ii
the	the	at
overhanging	overhanging	jj
rocks	rock	nn2
.	.	y
In	in	ii
many	many	da2
areas	area	nn2
,	,	y
a	a	at1
.243	.243	mc
,	,	y
.244	.244	mc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
sheep	sheep	nn
.	.	y
All	all	db
of	of	io
them	them	ppho2
have	have	vh0
sufficient	sufficient	jj
killing	killing	nn1
power	power	nn1
and	and	cc
trajectory	trajectory	nn1
flat	flat	nn1_rr@
enough	enough	rr
for	for	if
300-yard	300-yard	nn1_jj
shooting-and	shooting	cc
anyone	anyone	pn1
should	should	vm
generally	generally	rr
think	think	vvi
long	long	jj_rr
and	and	cc
hard	hard	rr_jj
before	before	cs
he	he	pphs1
tries	try	vvz
to	to	to
shoot	shoot	vvi
a	a	at1
sheep	sheep	nn
at	at	ii
greater	great	jjr
range	range	nn1
.	.	y
Photograph	photograph	nn1_vv0@
"	"	y
Above	above	ii
all	all	db
,	,	y
a	a	at1
sheep	sheep	nn
rifle	rifle	nn1
should	should	vm
be	be	vbi
reasonably	reasonably	rr
light	light	jj
and	and	cc
handy	handy	jj
"	"	y
...	...	...
about	about	rg
8	8	mc
pounds	pound	nn2
with	with	iw
scope	scope	nn1
.	.	y
//	//	x
I	i	ppis1
have	have	vh0
shot	shoot	vvn
more	more	dar_rrr
rams	ram	nn2
with	with	iw
.270	.270	mc
caliber	caliber	nn1
rifles	rifle	nn2
than	than	csn
with	with	iw
anything	anything	pn1
else	else	rr
,	,	y
but	but	ccb
I	i	ppis1
have	have	vh0
also	also	rr
used	use	vvn
the	the	at
.30/06	.30/06	mf
extensively	extensively	rr
as	as	ii31
well	well	ii32
as	as	ii33
the	the	at
7mm	7mm	nnu
.	.	y
I	i	ppis1
have	have	vh0
shot	shoot	vvn
one	one	mc1
ram	ram	nn1
with	with	iw
the	the	at
.257	.257	mc
and	and	cc
one	one	mc1
with	with	iw
the	the	at
.348	.348	mc
.	.	y
Whatever	whatever	ddqv
caliber	caliber	nn1
is	be	vbz
chosen	choose	vvn
,	,	y
it	it	pph1
should	should	vm
be	be	vbi
used	use	vvn
with	with	iw
a	a	at1
fast-stepping	fast-stepping	nn1_jj
,	,	y
quick-opening	quick-opening	nn1_jj
bullet-the	bullet	at
140-grain	140-grain	nn1_jj
in	in	ii
the	the	at
7mm	7mm	nnu
,	,	y
150-grain	150-grain	nn1_jj
in	in	ii
the	the	at
.308	.308	mc
and	and	cc
.30/06	.30/06	mf
,	,	y
130-grain	130-grain	nn1_jj
in	in	ii
the	the	at
.270	.270	mc
and	and	cc
125-grain	125-grain	nn1_jj
in	in	ii
the	the	at
.280	.280	mc
Remington	remington	np1
.	.	y
Such	such	da
bullets	bullet	nn2
give	give	vv0
flatter	flat	jjr
trajectory	trajectory	nn1
over	over	ii
practical	practical	jj
sheep	sheep	nn
ranges	range	nn2
than	than	csn
do	do	vd0
heavier	heavy	jjr
ones	one	z'
of	of	io
the	the	at
same	same	da
caliber	caliber	nn1
,	,	y
and	and	cc
they	they	pphs2
also	also	rr
are	be	vbr
better	better	jjr
at	at	ii
killing	killing	nn1_vvg
or	or	cc
disabling	disable	vvg
the	the	at
animal	animal	nn1
with	with	iw
poorly	poorly	rr
placed	place	vvn
hits	hit	nn2
.	.	y
If	if	cs
luck	luck	nn1
is	be	vbz
good	good	jj
and	and	cc
the	the	at
stalk	stalk	nn1
successful	successful	jj
,	,	y
sheep	sheep	nn
are	be	vbr
generally	generally	rr
cold	cold	jj
turkey	turkey	nn1
.	.	y
Now	now	rt
and	and	cc
then	then	rt
,	,	y
however	however	rr
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
run	run	nn1
or	or	cc
at	at	ii
long	long	jj
range	range	nn1
and	and	cc
shot	shot	nn1_vvd_vvn
placement	placement	nn1
may	may	vm
not	not	xx
be	be	vbi
good	good	jj
.	.	y
Then	then	rt
that	that	cst_dd1
extra	extra	jj
shocking	shocking	jj
power	power	nn1
from	from	ii
a	a	at1
fast	fast	jj_rr
,	,	y
rapidly	rapidly	rr
opening	open	vvg_jj@
bullet	bullet	nn1
comes	come	vvz
in	in	rp
handy	handy	jj
.	.	y
There	there	ex
is	be	vbz
no	no	pn121
one	one	pn122
best	best	jjt_rrt_vv0%
sheep	sheep	nn
cartridge	cartridge	nn1
.	.	y
I	i	ppis1
have	have	vh0
known	know	vvn
good	good	jj
sheep	sheep	nn
hunters	hunter	nn2
to	to	to
use	use	vvi
everything	everything	pn1
from	from	ii
the	the	at
.25/35	.25/35	mf
to	to	ii
the	the	at
.357	.357	mc
Magnum	magnum	np1_nn1
.	.	y
One	one	mc1
Britisher	britisher	nn1
I	i	ppis1
read	read	vv0_vvd
about	about	rp@
made	make	vvd
the	the	at
long	long	jj
trip	trip	nn1
to	to	ii
Alaska	alaska	np1
and	and	cc
took	take	vvd
everything	everything	pn1
from	from	ii
white	white	jj
sheep	sheep	nn
through	through	ii
caribou	caribou	nn
and	and	cc
moose	moose	nn
to	to	ii
brown	brown	jj
bear	bear	nn1
with	with	iw
a	a	at1
double	double	jj_rr@_nn1
.450/400	.450/400	mf
.	.	y
I	i	ppis1
can	can	vm
think	think	vvi
of	of	io
a	a	at1
great	great	jj
many	many	da2
other	other	jj
rifles	rifle	nn2
I	i	ppis1
would	would	vm
