##4000077		
Research	research	nn1_vv0@
for	for	if
new	new	jj
methods	method	nn2
<p>	<p>	y
Below	below	ii
the	the	at
highway	highway	nn1
,	,	y
in	in	ii
the	the	at
lower	low	jjr
part	part	nn1
of	of	io
Kaupulehu	kaupulehu	np1_nn1
,	,	y
the	the	at
working	working	jj
group	group	nn1
in	in	ii
1995	1995	mc
began	begin	vvd
work	work	nn1
at	at	ii
a	a	at1
second	second	md_nnt1
site	site	nn1
,	,	y
a	a	at1
70-acre	70-acre	nnu1_jj
dry	dry	jj
forest	forest	nn1
patch	patch	nn1
known	know	vvn
as	as	ii
Kaupulehu	kaupulehu	np1_nn1
makai	makai	nn2
.	.	y
<p>	<p>	y
The	the	at
focus	focus	nn1
at	at	ii
this	this	dd1
site	site	nn1
is	be	vbz
larger-scale	larger-scale	jj
restoration	restoration	nn1
demonstration	demonstration	nn1
and	and	cc
experiments	experiment	nn2
.	.	y
Group	group	nn1
members	member	nn2
want	want	vv0
to	to	to
show	show	vvi
that	that	dd1_cst
dry	dry	jj
forest	forest	nn1
can	can	vm
be	be	vbi
protected	protect	vvn
from	from	ii
fire	fire	nn1
and	and	cc
restored	restore	vvn
using	use	vvg
economical	economical	jj
methods	method	nn2
.	.	y
Row	row	vv0_nn1
after	after	ii_cs
row	row	nn1
of	of	io
test	test	nn1
plots	plot	nn2
spread	spread	vvn_vv0_vvd
across	across	ii
the	the	at
site	site	nn1
,	,	y
around	around	ii
which	which	ddq
a	a	at1
large	large	jj
fence	fence	nn1
and	and	cc
firebreaks	firebreak	nn2
have	have	vh0
been	be	vbn
constructed	construct	vvn
.	.	y
Among	among	ii
other	other	jj
experimental	experimental	jj
variations	variation	nn2
,	,	y
some	some	dd
plots	plot	nn2
have	have	vh0
been	be	vbn
irrigated	irrigate	vvn@
,	,	y
some	some	dd
covered	cover	vvd_jj@
with	with	iw
shade	shade	nn1
cloth	cloth	nn1
,	,	y
some	some	dd
outplanted	outplanted	vvd_jj@
with	with	iw
native	native	jj
tree	tree	nn1
seedlings	seedling	nn2
,	,	y
and	and	cc
some	some	dd
directly	directly	rr
seeded	seed	vvd_vvn@
.	.	y
<p>	<p>	y
"	"	y
We	we	ppis2
want	want	vv0
to	to	to
come	come	vvi
up	up	rp
with	with	iw
coarser	coarse	jjr
,	,	y
more	more	rgr
efficient	efficient	jj
,	,	y
bigger-scale	bigger-scale	jj
projects	project	nn2
,	,	y
"	"	y
Cabin	cabin	nn1
said	say	vvd
.	.	y
The	the	at
researchers	researcher	nn2
hope	hope	vv0
that	that	cst_dd1
such	such	da
projects	project	nn2
will	will	vm
help	help	vvi
the	the	at
working	working	jj
group	group	nn1
persuade	persuade	vv0
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
.	.	y
At	at	rr21
least	least	rr22
one	one	mc1
local	local	jj
rancher	rancher	nn1
has	have	vhz
shown	show	vvn
interest	interest	nn1
in	in	ii
the	the	at
group	group	nn1
's	's	ge
activities	activity	nn2
.	.	y
But	but	ccb
members	member	nn2
acknowledge	acknowledge	vv0
that	that	dd1_cst
building	building	nn1
relationships	relationship	nn2
with	with	iw
local	local	jj
landowners	landowner	nn2
will	will	vm
be	be	vbi
difficult	difficult	jj
,	,	y
largely	largely	rr
because	because	ii21
of	of	ii22
the	the	at
history	history	nn1
of	of	io
polarization	polarization	nn1
between	between	ii
many	many	da2
ranchers	rancher	nn2
and	and	cc
environmentalists	environmentalist	nn2
.	.	y
<p>	<p>	y
The	the	at
working	working	jj
group	group	nn1
has	have	vhz
organized	organize	vvn
field	field	nn1
trips	trip	vvz_nn2
to	to	ii
Kaupulehu	kaupulehu	nn1_np1
for	for	if
schools	school	nn2
and	and	cc
local	local	jj
residents	resident	nn2
.	.	y
Interest	interest	nn1
has	have	vhz
grown	grow	vvn
,	,	y
but	but	ccb
the	the	at
project	project	nn1
must	must	vm
still	still	rr
overcome	overcome	vvi
a	a	at1
widely	widely	rr
held	hold	vvn_vvd
attitude	attitude	nn1
that	that	cst
restoring	restore	vvg
the	the	at
system	system	nn1
is	be	vbz
hopeless	hopeless	jj
.	.	y
That	that	dd1
's	be	vbz
why	why	rrq
demonstration	demonstration	nn1
is	be	vbz
so	so	rg_rr
important	important	jj
.	.	y
<p>	<p>	y
Despite	despite	ii
learning	learn	vvg
much	much	rr_da1
,	,	y
the	the	at
researchers	researcher	nn2
admit	admit	vv0
they	they	pphs2
have	have	vh0
a	a	at1
long	long	jj
way	way	nn1
to	to	to
go	go	vvi
.	.	y
Basic	basic	jj
questions	question	nn2
they	they	pphs2
are	be	vbr
studying	study	vvg
include	include	vv0
the	the	at
role	role	nn1
of	of	io
soil	soil	nn1
organisms	organism	nn2
and	and	cc
the	the	at
physiology	physiology	nn1
of	of	io
key	key	jj_nn1
tree	tree	nn1
species	species	nn
,	,	y
to	to	to
better	better	rrr
understand	understand	vvi
the	the	at
ecological	ecological	jj
factors	factor	nn2
involved	involved	jj
in	in	ii
regeneration	regeneration	nn1
.	.	y
On	on	ii
a	a	at1
more	more	rgr
practical	practical	jj
research	research	nn1
level	level	nn1
,	,	y
they	they	pphs2
have	have	vh0
studied	study	vvn
whether	whether	csw
spraying	spray	vvg_nn1
herbicide	herbicide	nn1_vv0
from	from	ii
helicopters	helicopter	nn2
can	can	vm
kill	kill	vvi
fountain	fountain	nn1
grass	grass	nn1
on	on	ii
a	a	at1
large	large	jj
scale	scale	nn1
(	(	y
it	it	pph1
ca	can	vm
n't	n't	xx
)	)	y
and	and	cc
whether	whether	csw
the	the	at
controversial	controversial	jj
approach	approach	nn1
of	of	io
turning	turn	vvg
over	over	rp
the	the	at
fountain	fountain	nn1
grass-choked	grass-choked	nn1_jj
landscape	landscape	nn1
with	with	iw
a	a	at1
bulldozer	bulldozer	nn1
might	might	vm
give	give	vvi
native	native	jj
plants	plant	nn2
an	a	at1
advantage	advantage	nn1
.	.	y
<p>	<p>	y
Beyond	beyond	ii
these	these	dd2
questions	question	nn2
of	of	io
how	how	rrq
to	to	to
restore	restore	vvi
the	the	at
Hawaiian	hawaiian	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
:	:	y
What	what	ddq
exactly	exactly	rr
was	be	vbdz
the	the	at
Hawaiian	hawaiian	jj
dry	dry	jj
forest	forest	nn1
ecosystem	ecosystem	nn1_vv0
?	?	y
If	if	cs
the	the	at
biologists	biologist	nn2
ca	can	vm
n't	n't	xx
answer	answer	vvi
this	this	dd1
question	question	nn1
,	,	y
how	how	rrq
can	can	vm
they	they	pphs2
be	be	vbi
sure	sure	jj
that	that	cst_dd1
,	,	y
if	if	cs
left	left	jj_vvn
alone	alone	jj
,	,	y
the	the	at
system	system	nn1
will	will	vm
regenerate	regenerate	vvi
into	into	ii
what	what	ddq
it	it	pph1
was	be	vbdz
before	before	rt@
?	?	y
"	"	y
Because	because	cs
nothing	nothing	pn1
is	be	vbz
left	leave	vvn_jj
of	of	io
any	any	dd
size	size	nn1
,	,	y
we	we	ppis2
do	do	vd0
n't	n't	xx
know	know	vvi
what	what	ddq
the	the	at
model	model	nn1
is	be	vbz
to	to	to
restore	restore	vvi
to	to	ii_to
,	,	y
and	and	cc
that	that	dd1_cst
's	be	vbz
a	a	at1
big	big	jj
problem	problem	nn1
,	,	y
both	both	rr_db2
biologically	biologically	rr
and	and	cc
philosophically	philosophically	rr
,	,	y
"	"	y
Cabin	cabin	nn1
said	say	vvd
.	.	y
"	"	y
Should	should	vm
you	you	ppy
just	just	rr
do	do	vdi
what	what	ddq
works	work	vvz
?	?	y
Should	should	vm
you	you	ppy
try	try	vvi
to	to	to
restore	restore	vvi
in	in	ii_rp@
some	some	dd
image	image	nn1
of	of	io
what	what	ddq
you	you	ppy
think	think	vv0
was	be	vbdz
here	here	rl
?	?	y
"	"	y
<p>	<p>	y
He	he	pphs1
bent	bend	vvd
down	down	rp
and	and	cc
pulled	pull	vvn_vvd
at	at	ii
another	another	dd1
clump	clump	nn1
of	of	io
dead	dead	jj
fountain	fountain	nn1
grass	grass	nn1
as	as	csa_ii@
vehicles	vehicle	nn2
whizzed	whizz	vvd
past	past	rl
on	on	ii
the	the	at
highway	highway	nn1
a	a	at1
hundred	hundred	m
meters	meter	nn2
or	or	cc
so	so	rr
above	above	ii
him	him	ppho1
.	.	y
"	"	y
You	you	ppy
could	could	vm
n't	n't	xx
create	create	vvi
a	a	at1
perfect	perfect	jj
replica	replica	nn1
of	of	io
what	what	ddq
was	be	vbdz
here	here	rl
if	if	cs
you	you	ppy
wanted	want	vvd
to	to	to
,	,	y
"	"	y
he	he	pphs1
said	say	vvd
.	.	y
"	"	y
The	the	at
system	system	nn1
has	have	vhz
changed	change	vvn
.	.	y
The	the	at
soil	soil	nn1
is	be	vbz
all	all	db
fountain	fountain	nn1
grass	grass	nn1
litter	litter	nn1
.	.	y
The	the	at
dispersal	dispersal	nn1
agents	agent	nn2
in	in	ii
this	this	dd1
system-the	system	at
birds-are	birds-are	vbr
gone	go	vvn
.	.	y
Rats	rat	nn2
are	be	vbr
here	here	rl
to	to	to
stay	stay	vvi
.	.	y
For	for	if
me	me	ppio1
,	,	y
as	as	csa_ii
a	a	at1
pragmatist	pragmatist	nn1
,	,	y
I	i	ppis1
say	say	vv0
forget	forget	vv0
about	about	ii
trying	try	vvg
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
extinctions	extinction	nn2
right	right	rr_nn1_jj
and	and	cc
left	leave	vvd_jj_vvn
,	,	y
we	we	ppis2
've	have	vh0
got	get	vvn
new	new	jj
species	species	nn
that	that	cst
are	be	vbr
here	here	rl
to	to	to
stay	stay	vvi
.	.	y
Let	let	vm21
's	be	vm22
do	do	vdi
what	what	ddq
works	work	vvz_nn
.	.	y
"	"	y
The	the	at
important	important	jj
point	point	nn1
,	,	y
say	say	vv0
working	working	jj
group	group	nn1
members	member	nn2
,	,	y
is	be	vbz
that	that	dd1
the	the	at
dry	dry	jj
forest	forest	nn1
can	can	vm
come	come	vvi
back	back	rp
.	.	y
<p>	<p>	y
Table	table	nn1_vv0%
1	1	mc1
.	.	y
Federally	federally	rr
endangered	endangered	jj_vvn
dry	dry	jj
forest	forest	nn1
species	species	nn
to	to	to
be	be	vbi
outplanted	outplanted	vvn@
in	in	ii
the	the	at
Kaupulehu	kaupulehu	nn1_np1
preserve	preserve	nn1@_vv0
.	.	y
PREFORMATTED	preformatted	zz
TABLE	table	nn1
<p>	<p>	y
Robert	robert	np1
Cabin	cabin	nn1
,	,	y
US	us	np1
Forest	forest	nn1
Service	service	nn1
plant	plant	nn1
ecologist	ecologist	nn1
,	,	y
examines	examine	vvz
ilima	ilima	nn1
(	(	y
Sida	sida	np1
fallax	fallax	nn1_vv0
)	)	y
at	at	ii
the	the	at
Kaupulehu	kaupulehu	nn1_np1
preserve	preserve	vv0_nn1@
on	on	ii
the	the	at
Kona	kona	np1_nn1@
slope	slope	nn1
of	of	io
Hawaii	hawaii	np1
.	.	y
This	this	dd1
and	and	cc
other	other	jj
native	native	jj
species	species	nn
have	have	vh0
begun	begin	vvn
to	to	to
take	take	vvi
hold	hold	nn1_vv0
in	in	ii
the	the	at
preserve	preserve	nn1@
since	since	cs_ii@
Cabin	cabin	nn1
and	and	cc
his	his	appge
colleagues	colleague	nn2
removed	remove	vvd_vvn
nonnative	non-native	jj
fountain	fountain	nn1
grass	grass	nn1
.	.	y
<p>	<p>	y
Native	native	jj
vines	vine	nn2
like	like	ii
the	the	at
awikiwiki	awikiwiki	nn2
(	(	y
Canavalia	canavalia	np1
hawaiiensis	hawaiiensis	nn1
)	)	y
have	have	vh0
made	make	vvn
a	a	at1
strong	strong	jj
comeback	comeback	nn1
since	since	cs_ii@
nonnative	non-native	jj
fountain	fountain	nn1
grass	grass	nn1
has	have	vhz
been	be	vbn
removed	remove	vvn
from	from	ii
the	the	at
experimental	experimental	jj
plots	plot	nn2
.	.	y
<p>	<p>	y
Lisa	lisa	np1
Hadway	hadway	np1
(	(	y
left	left	jj_vvn_nn1@
)	)	y
,	,	y
North	north	nd1
Kona	kona	np1
Dryland	dryland	np1
Forest	forest	nn1
Working	working	jj
Group	group	nn1
coordinator	coordinator	nn1
,	,	y
collaborates	collaborate	vvz
with	with	iw
Susan	susan	np1
Cordell	cordell	np1
,	,	y
US	us	np1
Forest	forest	nn1
Service	service	nn1
plant	plant	nn1_vv0@
physiological	physiological	jj
ecologist	ecologist	nn1
.	.	y
<p>	<p>	y
Experimental	experimental	jj
plots	plot	nn2
at	at	ii
Kaupulehu	kaupulehu	np1_nn1
,	,	y
on	on	ii
the	the	at
Kona	kona	np1_nn1@
slope	slope	nn1
.	.	y
Within	within	ii
this	this	dd1
fenced	fenced	jj@_vvd
area	area	nn1
,	,	y
the	the	at
North	north	nd1
Kona	kona	np1
Dry	dry	jj
Forest	forest	nn1
Working	working	jj
Group	group	nn1
is	be	vbz
trying	try	vvg
to	to	to
learn	learn	vvi
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
forests	forest	nn2
.	.	y
Covered	covered	jj@_vvn
plots	plot	nn2
are	be	vbr
testing	test	vvg
the	the	at
effect	effect	nn1
of	of	io
shade	shade	nn1
on	on	ii
seedling	seedling	nn1
growth	growth	nn1
.	.	y
<p>	<p>	y
US	us	np1
Forest	forest	nn1
Service	service	nn1
technicians	technician	nn2
Don	don	np1_vv0@_nn1
Goo	goo	np1_nn1
(	(	y
left	left	jj_vvn_nn1@
)	)	y
and	and	cc
Alan	alan	np1
Urakami	urakami	np1
have	have	vh0
worked	work	vvn
closely	closely	rr
with	with	iw
Cabin	cabin	nn1
and	and	cc
others	others	nn2
on	on	ii
the	the	at
restoration	restoration	nn1
project	project	nn1
.	.	y
<p>	<p>	y
By	by	ii
William	william	np1
Allen	allen	np1
<p>	<p>	y
<p>	<p>	y
William	william	np1
Allen	allen	np1
is	be	vbz
a	a	at1
science	science	nn1
writer	writer	nn1
with	with	iw
the	the	at
St.	st	np1
Louis	louis	np1
Post-Dispatch	post-dispatch	np1
.	.	y
He	he	pphs1
was	be	vbdz
a	a	at1
Hewlett	hewlett	nn1@_np1
Foundation	foundation	nn1
journalist-in-residence	journalist-in-residence	nn1
in	in	ii
June	june	npm1
at	at	ii
Environment	environment	nn1
Hawaii	hawaii	np1
,	,	y
a	a	at1
public	public	jj_nn1
affairs	affair	nn2
newsletter	newsletter	nn1
based	base	vvn
in	in	ii
Hilo	hilo	np1
.	.	y
Allen	allen	np1
's	's	ge
first	first	md
book	book	nn1
,	,	y
Green	green	np1@_jj
Phoenix	phoenix	np1
:	:	y
Restoring	restore	vvg
the	the	at
Forests	forest	nn2
of	of	io
Guanacaste	guanacaste	np1_nn1
,	,	y
Costa	costa	np1
Rica	rica	np1
,	,	y
will	will	vm
be	be	vbi
published	publish	vvn
in	in	ii
January	january	npm1
.	.	y
<p>	<p>	y
##4000078		
The	the	at
biological	biological	jj
diversity	diversity	nn1
within	within	ii
soils	soil	nn2
and	and	cc
sediments	sediment	nn2
may	may	vm
be	be	vbi
orders	order	nn2
of	of	io
magnitude	magnitude	nn1
greater	great	jjr
than	than	csn
that	that	dd1_cst
above	above	ii
the	the	at
surface	surface	nn1
,	,	y
but	but	ccb
it	it	pph1
has	have	vhz
not	not	xx
been	be	vbn
fully	fully	rr
documented	document	vvn_vvd
in	in	ii_rp@
any	any	dd
system	system	nn1
(	(	y
Anderson	anderson	np1
1995	1995	mc
,	,	y
Wall	wall	np1@_nn1
Freckman	freckman	np1
et	et	ra21
al	al	ra22
.	.	y
1997	1997	mc
)	)	y
.	.	y
In	in	ii
soils	soil	nn2
,	,	y
only	only	rr
an	a	at1
estimated	estimated	jj@
10%	10%	nnu
of	of	io
protozoa	protozoa	nn1
and	and	cc
5%	5%	nnu
of	of	io
mite	mite	nn1
species	species	nn
have	have	vh0
been	be	vbn
taxonomically	taxonomically	rr
described	describe	vvn
(	(	y
Brussaard	brussaard	np1
et	et	ra21
al	al	ra22
.	.	y
1997	1997	mc
)	)	y
,	,	y
and	and	cc
in	in	ii
marine	marine	jj
sediments	sediment	nn2
,	,	y
Snelgrove	snelgrove	np1
et	et	ra21
al	al	ra22
.	.	y
(	(	y
1997	1997	mc
)	)	y
estimate	estimate	vv0
that	that	cst_dd1
just	just	rr
0.1%	0.1%	fo
of	of	io
species	species	nn
are	be	vbr
described	describe	vvn
.	.	y
<p>	<p>	y
Although	although	cs
the	the	at
identity	identity	nn1
of	of	io
the	the	at
vast	vast	jj
majority	majority	nn1
of	of	io
species	species	nn
in	in	ii
soil	soil	nn1
and	and	cc
sediments	sediment	nn2
is	be	vbz
unknown	unknown	jj
,	,	y
we	we	ppis2
do	do	vd0
know	know	vvi
that	that	cst
assemblages	assemblage	nn2
of	of	io
species	species	nn
(	(	y
"	"	y
functional	functional	jj
groups	group	nn2
"	"	y
)	)	y
regulate	regulate	vv0
vital	vital	jj
ecosystem	ecosystem	nn1
processes	process	nn2_vvz@
such	such	ii21
as	as	ii22
decomposition	decomposition	nn1
of	of	io
wastes	waste	nn2
,	,	y
renewal	renewal	nn1
of	of	io
soil	soil	nn1
fertility	fertility	nn1
,	,	y
and	and	cc
purification	purification	nn1
of	of	io
water	water	nn1
(	(	y
Brussaard	brussaard	np1
et	et	ra21
al	al	ra22
.	.	y
1997	1997	mc
,	,	y
Palmer	palmer	np1
et	et	ra21
al	al	ra22
.	.	y
1997	1997	mc
,	,	y
Snelgrove	snelgrove	np1
et	et	ra21
al	al	ra22
.	.	y
1997	1997	mc
,	,	y
Covich	covich	np1
et	et	ra21
al	al	ra22
.	.	y
1999	1999	mc
,	,	y
Groffman	groffman	np1_nn1
and	and	cc
Bohlen	bohlen	np1_nn1_jj
1999	1999	mc
,	,	y
Snelgrove	snelgrove	np1_vv0_nn1
1999	1999	mc
)	)	y
.	.	y
A	a	at1_zz1
major	major	jj
scientific	scientific	jj
challenge	challenge	nn1
is	be	vbz
to	to	to
evaluate	evaluate	vvi
the	the	at
significance	significance	nn1
of	of	io
the	the	at
great	great	jj
diversity	diversity	nn1
of	of	io
life	life	nn1
in	in	ii
soils	soil	nn2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
.	.	y
For	for	rex21
example	example	rex22
,	,	y
we	we	ppis2
must	must	vm
identify	identify	vvi
"	"	y
keystone	keystone	nn1
"	"	y
species	species	nn
(	(	y
those	those	dd2
species	species	nn
that	that	cst
have	have	vh0
a	a	at1
disproportionately	disproportionately	jj_rr
large	large	jj
effect	effect	nn1
on	on	ii
ecosystem	ecosystem	nn1
functioning	function	vvg_nn1@
)	)	y
and	and	cc
how	how	rrq
soil	soil	nn1
and	and	cc
sediment	sediment	nn1
biodiversity	biodiversity	nn1
and	and	cc
the	the	at
ecosystem	ecosystem	nn1
functions	function	nn2_vvz@
they	they	pphs2
regulate	regulate	vv0
respond	respond	vv0
to	to	ii
environmental	environmental	jj
or	or	cc
disturbance	disturbance	nn1
gradients	gradient	nn2
.	.	y
<p>	<p>	y
In	in	ii
1995	1995	mc
the	the	at
Scientific	scientific	jj
Committee	committee	nn1
on	on	ii
Problems	problem	nn2
of	of	io
the	the	at
Environment	environment	nn1
(	(	y
SCOPE	scope	nn1
)	)	y
established	establish	vvd
the	the	at
Committee	committee	nn1
on	on	ii
Soil	soil	nn1
and	and	cc
Sediment	sediment	nn1
Biodiversity	biodiversity	nn1_np1
and	and	cc
Ecosystem	ecosystem	vv0_np1_nn1
Functioning	function	vvg_nn1@
(	(	y
SSBEF	ssbef	np1
)	)	y
to	to	to
synthesize	synthesize	vvi
available	available	jj
information	information	nn1
and	and	cc
identify	identify	vvi
gaps	gap	nn2
in	in	ii
knowledge	knowledge	nn1
and	and	cc
research	research	nn1
needs	need	vvz_nn2
in	in	ii
this	this	dd1
area	area	nn1
.	.	y
The	the	at
first	first	md
meeting	meeting	nn1
of	of	io
the	the	at
SSBEF	ssbef	nn1_np1
committee	committee	nn1
revealed	reveal	vvd_vvn
the	the	at
great	great	jj
extent	extent	nn1
to	to	ii
which	which	ddq
activities	activity	nn2
of	of	io
organisms	organism	nn2
dwelling	dwell	vvg@_nn1
within	within	ii
soils	soil	nn2
and	and	cc
sediments	sediment	nn2
or	or	cc
the	the	at
litter	litter	nn1
layer	layer	nn1
(	(	y
here	here	rl
defined	define	vvn_vvd
as	as	csa_rg@_ii@
below-surface	below-surface	jj
biota	biota	nn2
)	)	y
involve	involve	vv0
physiological	physiological	jj
or	or	cc
ecological	ecological	jj
interactions	interaction	nn2
with	with	iw
organisms	organism	nn2
in	in	ii
above-surface	above-surface	jj_nn1
habitats	habitat	nn2
(	(	y
e.g.	eg	rex
,	,	y
the	the	at
vegetation	vegetation	nn1
,	,	y
the	the	at
water	water	nn1
column	column	nn1
,	,	y
or	or	cc
even	even	rr
the	the	at
watershed	watershed	nn1
for	for	if
freshwater	freshwater	jj
sediment	sediment	nn1
organisms	organism	nn2
)	)	y
.	.	y
These	these	dd2
cross-surface	cross-surface	jj
interactions	interaction	nn2
include	include	vv0
decomposition	decomposition	nn1
of	of	io
leaves	leaf	nn2
by	by	ii
invertebrates	invertebrate	nn2
and	and	cc
microbes	microbes	vvz_nn2
in	in	ii
soils	soil	nn2
and	and	cc
sediments	sediment	nn2
,	,	y
nutrient	nutrient	nn1_jj@
cycling	cycle	vvg_nn1
from	from	ii
below-surface	below-surface	jj_nn1
bacteria	bacteria	nn2
to	to	ii
macrophytes	macrophyte	nn2
and	and	cc
phytoplankton	phytoplankton	nn1
,	,	y
mutualistic	mutualistic	jj
interactions	interaction	nn2
between	between	ii
mycorrhizae	mycorrhizae	nn2
and	and	cc
plants	plant	nn2
,	,	y
and	and	cc
predator-prey	predator-prey	jj_nn1
interactions	interaction	nn2
.	.	y
Importantly	importantly	rr
,	,	y
this	this	dd1
interconnectivity	interconnectivity	nn1
appeared	appear	vvd
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
in	in	ii
all	all	db
three	three	mc
domains	domain	nn2
:	:	y
terrestrial	terrestrial	jj
,	,	y
freshwater	freshwater	jj
,	,	y
and	and	cc
marine	marine	jj_nn1@
(	(	y
Wall	wall	np1@_nn1
Freckman	freckman	np1
et	et	ra21
al	al	ra22
.	.	y
1997	1997	mc
)	)	y
.	.	y
However	however	rr
,	,	y
the	the	at
significance	significance	nn1
of	of	io
biological	biological	jj
diversity	diversity	nn1
for	for	if
this	this	dd1
connectivity	connectivity	nn1
,	,	y
and	and	cc
whether	whether	csw
the	the	at
ecological	ecological	jj
and	and	cc
physiological	physiological	jj
connections	connection	nn2
couple	couple	vv0
the	the	at
biodiversity	biodiversity	nn1
above	above	rl
and	and	cc
below	below	ii
the	the	at
surface	surface	nn1
of	of	io
soils	soil	nn2
or	or	cc
sediments	sediment	nn2
,	,	y
could	could	vm
not	not	xx
be	be	vbi
ascertained	ascertain	vvn
at	at	ii
the	the	at
first	first	md
workshop	workshop	nn1
.	.	y
Synthesizing	synthesize	vvg_jj@_np1@
knowledge	knowledge	nn1
of	of	io
the	the	at
connections	connection	nn2
between	between	ii
above-surface	above-surface	nn1_jj
and	and	cc
below-surface	below-surface	jj_nn1
biodiversity	biodiversity	nn1
was	be	vbdz
considered	consider	vvn
a	a	at1
priority	priority	nn1
to	to	to
be	be	vbi
addressed	address	vvn
at	at	ii
a	a	at1
second	second	md_nnt1
workshop	workshop	nn1
,	,	y
since	since	cs
it	it	pph1
would	would	vm
help	help	vvi
to	to	to
yield	yield	vvi
information	information	nn1
on	on	ii
keystone	keystone	nn1
species	species	nn
and	and	cc
interactions	interaction	nn2
in	in	ii
ecosystem	ecosystem	nn1
processes	process	nn2
assess	assess	vv0
the	the	at
extent	extent	nn1
of	of	io
species	species	nn
specificity	specificity	nn1
and	and	cc
,	,	y
conversely	conversely	rr
,	,	y
species	species	nn
redundancy	redundancy	nn1
in	in	ii
ecosystem	ecosystem	nn1
processes	process	nn2
,	,	y
allowing	allow	vvg
improved	improved	jj
estimates	estimate	nn2
of	of	io
the	the	at
processes	process	nn2
'	'	ge
susceptibility	susceptibility	nn1
to	to	ii
biodiversity	biodiversity	nn1
loss	loss	nn1
yield	yield	vv0_nn1
a	a	at1
more	more	rgr
accurate	accurate	jj
picture	picture	nn1
of	of	io
overall	overall	jj_nn1
biodiversity	biodiversity	nn1
patterns	pattern	nn2
and	and	cc
hotspots	hotspot	nn2_vvz
,	,	y
which	which	ddq
are	be	vbr
currently	currently	rr
defined	define	vvn_vvd
primarily	primarily	rr
by	by	ii
biodiversity	biodiversity	nn1
above	above	ii
the	the	at
soil	soil	nn1
or	or	cc
sediment	sediment	nn1
surface	surface	nn1
identify	identify	vv0
beneficial	beneficial	jj
associations	association	nn2
between	between	ii
species	species	nn
,	,	y
functional	functional	jj
groups	group	nn2
,	,	y
and	and	cc
biodiversity	biodiversity	nn1
across	across	ii
the	the	at
soil	soil	nn1
or	or	cc
sediment	sediment	nn1
surface	surface	nn1
that	that	cst_dd1
could	could	vm
aid	aid	vvi
land	land	nn1
management	management	nn1
and	and	cc
restoration	restoration	nn1
techniques	technique	nn2
improve	improve	vv0
our	our	appge
estimates	estimate	nn2
of	of	io
global	global	jj
change	change	nn1
scenarios	scenario	nn2
by	by	ii
increasing	increase	vvg_jj
predictive	predictive	jj
understanding	understanding	nn1
of	of	io
how	how	rgq@_rrq
global	global	jj
changes	change	nn2
occurring	occur	vvg
above	above	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
communities	community	nn2
<p>	<p>	y
The	the	at
papers	paper	nn2
in	in	ii
this	this	dd1
special	special	jj
issue	issue	nn1
result	result	nn1_vv0
from	from	ii
the	the	at
second	second	md
workshop	workshop	nn1
of	of	io
the	the	at
SCOPE	scope	nn1
SSBEF	ssbef	nn1_np1_vv0
committee	committee	nn1
in	in	ii
Lunteren	lunteren	np1_nn1
,	,	y
The	the	at
Netherlands	netherlands	np1
,	,	y
11-16	11-16	mcmc
October	october	npm1
1998	1998	mc
,	,	y
at	at	ii
which	which	ddq
over	over	rg
40	40	mc
ecologists	ecologist	nn2
and	and	cc
taxonomists	taxonomist	nn2
with	with	iw
expertise	expertise	nn1
in	in	ii
soils	soil	nn2
and	and	cc
marine	marine	jj
and	and	cc
freshwater	freshwater	jj
sediments	sediment	nn2
assembled	assemble	vvn_vvd
to	to	to
synthesize	synthesize	vvi
knowledge	knowledge	nn1
on	on	ii
the	the	at
linkages	linkage	nn2
between	between	ii
biodiversity	biodiversity	nn1
above	above	rl
and	and	cc
below	below	ii
the	the	at
surface	surface	nn1
of	of	io
soils	soil	nn2
and	and	cc
sediments	sediment	nn2
.	.	y
The	the	at
first	first	md
three	three	mc
papers	paper	nn2
reveal	reveal	vv0
,	,	y
for	for	if
terrestrial	terrestrial	jj
(	(	y
Hooper	hooper	np1
et	et	ra21
al	al	ra22
.	.	y
2000	2000	mc
)	)	y
,	,	y
freshwater	freshwater	jj
(	(	y
Palmer	palmer	np1
et	et	ra21
al	al	ra22
.	.	y
2000	2000	mc
)	)	y
,	,	y
and	and	cc
marine	marine	jj_nn1@
(	(	y
Snelgrove	snelgrove	np1
et	et	ra21
al	al	ra22
.	.	y
2000	2000	mc
)	)	y
domains	domain	nn2
,	,	y
some	some	dd
evidence	evidence	nn1
for	for	if
correlations	correlation	nn2
between	between	ii
biodiversity	biodiversity	nn1
above	above	rl
and	and	cc
below	below	ii
the	the	at
surface	surface	nn1
(	(	y
e.g.	eg	rex
,	,	y
similar	similar	jj
biogeographical	biogeographical	jj
trends	trend	nn2
or	or	cc
