##1012950		
Maggie	maggie	np1
25,11:30	25,11:30	mc
P.M.	pm	np1
My	my	appge
cell	cell	nn1
phone	phone	nn1
rings	ring	vvz_nn2
as	as	csa
I	i	ppis1
'm	be	vbm
opening	open	vvg
the	the	at
kitchen	kitchen	nn1
door	door	nn1
.	.	y
I	i	ppis1
put	put	vv0_vvd
down	down	rp
the	the	at
packages	package	nn2
and	and	cc
let	let	vv0
go	go	nn1%_vv0
of	of	io
the	the	at
key	key	jj_nn1
to	to	to
get	get	vvi
the	the	at
phone	phone	nn1
out	out	ii21
of	of	ii22
my	my	appge
purse	purse	nn1
,	,	y
bur	bur	fu
I	i	ppis1
'm	be	vbm
too	too	rg
late	late	jj
.	.	y
Missed	missed	jj@_vvn
call	call	nn1
,	,	y
it	it	pph1
reads	read	vvz
.	.	y
I	i	ppis1
push	push	vv0
View	view	nn1_vv0@
to	to	to
see	see	vvi
the	the	at
number	number	nn1
,	,	y
sure	sure	jj
that	that	cst
it	it	pph1
's	be	vbz
going	go	vvgk
to	to	to
be	be	vbi
Cathy	cathy	np1
.	.	y
But	but	ccb
it	it	pph1
's	be	vbz
not	not	xx
.	.	y
I	i	ppis1
literally	literally	rr
gasp	gasp	vv0
as	as	csa_rg@_ii@
1	1	mc1
see	see	vv0
the	the	at
number	number	nn1
that	that	cst_dd1
flashes	flash	vvz
up	up	rp
on	on	ii
the	the	at
screen	screen	nn1
:	:	y
It	it	pph1
's	be	vbz
Nick	nick	np1
's	's	ge
.	.	y
I	i	ppis1
stand	stand	vv0
on	on	ii_rp@
the	the	at
porch	porch	nn1
,	,	y
looking	look	vvg
at	at	ii
the	the	at
number	number	nn1
.	.	y
But	but	ccb
then	then	rt
I	i	ppis1
realize	realize	vv0
that	that	cst
Duffy	duffy	np1
is	be	vbz
jumping	jump	vvg_jj
at	at	ii
the	the	at
door	door	nn1
,	,	y
desperate	desperate	jj
to	to	to
greet	greet	vvi
me	me	ppio1
and	and	cc
get	get	vvi
outdoors	outdoors	rl
.	.	y
There	there	ex
's	be	vbz
no	no	at
choice-still	choice-still	nn1@_jj
holding	hold	vvg
the	the	at
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
watch	watch	vv0_nn1
as	as	csa
he	he	pphs1
runs	run	vvz
from	from	ii
tree	tree	nn1
to	to	ii
tree	tree	nn1
.	.	y
Gingerly	gingerly	rr
,	,	y
I	i	ppis1
flip	flip	vv0
the	the	at
phone	phone	nn1
shut	shut	vvd_vvn
.	.	y
Standing	stand	vvg_nn1
under	under	ii
the	the	at
deep	deep	jj
sky	sky	nn1
,	,	y
with	with	iw
the	the	at
snow	snow	nn1
sparkling	sparkle	vvg_jj
and	and	cc
the	the	at
trees	tree	nn2
creaking	creak	vvg@_jj
gently	gently	rr
from	from	ii
the	the	at
cold	cold	nn1_jj
,	,	y
I	i	ppis1
decide	decide	vv0
I	i	ppis1
can	can	vm
wait	wait	vvi
to	to	to
hear	hear	vvi
Nick	nick	np1
's	's	ge
message-and	message	cc
to	to	to
call	call	vvi
him	him	ppho1
back	back	rp
.	.	y
Whatever	whatever	ddqv
he	he	pphs1
has	have	vhz
to	to	to
say	say	vvi
,	,	y
it	it	pph1
will	will	vm
still	still	rr
be	be	vbi
Christmas	christmas	nnt1
.	.	y
Sidebar	sidebar	nn1_np1@
No	no	xx
matter	matter	nn1
how	how	rrqv33
the	the	at
family	family	nn1
gathering	gathering	nn1
turns	turn	vvz
out	out	rp
,	,	y
I	i	ppis1
know	know	vv0
it	it	pph1
's	be	vbz
going	go	vvgk
to	to	to
be	be	vbi
a	a	at1
strange	strange	jj
day	day	nnt1
.	.	y
Sidebar	sidebar	nn1_np1@
At	at	ii
Cathy	cathy	np1
's	's	ge
house	house	nn1
,	,	y
I	i	ppis1
appoint	appoint	vv0
myself	myself	ppx1
Santa	santa	np1
.	.	y
That	that	dd1
way	way	nn1
,	,	y
I	i	ppis1
think	think	vv0
,	,	y
I	i	ppis1
can	can	vm
control	control	vvi
things	thing	nn2
a	a	rr21
little	little	rr22
better	better	rrr_jjr
.	.	y
Sidebar	sidebar	nn1_np1@
I	i	ppis1
thought	think	vvd
I	i	ppis1
would	would	vm
have	have	vhi
fun	fun	nn1_jj
choosing	choose	vvg_nn1
the	the	at
presents	present	nn2
,	,	y
but	but	ccb
each	each	dd1
purchase	purchase	nn1
made	make	vvd
me	me	ppio1
uneasy	uneasy	jj
.	.	y
Sidebar	sidebar	np1@
Cathy	cathy	np1
still	still	rr_nn1%
is	be	vbz
n't	n't	xx
speaking	speak	vvg
to	to	ii
me	me	ppio1
,	,	y
but	but	ccb
later	later	rrr
,	,	y
after	after	cs
everyone	everyone	pn1
leaves	leave	vvz
,	,	y
she	she	pphs1
and	and	cc
I	i	ppis1
start	start	vv0
to	to	to
clean	clean	vvi
up	up	rp
.	.	y
Author	author	nn1
Affiliation	affiliation	nn1
Toni	toni	np1
Gerber	gerber	np1
Hope	hope	np1_nn1
is	be	vbz
an	a	at1
editor	editor	nn1
at	at	ii
Good	good	jj
Housekeeping	housekeeping	nn1
.	.	y
She	she	pphs1
lives	live	vvz
in	in	ii
New	new	np1
York	york	np1
City	city	nn1
with	with	iw
her	her	appge
family	family	nn1
.	.	y
<p>	<p>	y
##1012956		
An	a	at1
excerpt	excerpt	nn1
from	from	ii
the	the	at
new	new	jj
novel	novel	nn1
by	by	ii
Fredrica	fredrica	np1
Wagman	wagman	np1_nn1
<p>	<p>	y
They	they	pphs2
lived	live	vvd
next	next	md
door	door	nn1
...	...	...
on	on	ii
the	the	at
other	other	jj
side	side	nn1
of	of	io
the	the	at
high	high	jj
green	green	jj_nn1
privet	privet	nn1
hedge	hedge	nn1_vv0@
that	that	cst
separated	separate	vvd@
their	their	appge
world	world	nn1
from	from	ii
ours	ours	ppge
...	...	...
the	the	at
first	first	md
time	time	nnt1
I	i	ppis1
saw	see	vvd
him	him	ppho1
he	he	pphs1
was	be	vbdz
standing	stand	vvg
on	on	ii_rp@
their	their	appge
terrace	terrace	nn1
looking	look	vvg
into	into	ii
our	our	appge
garden	garden	nn1
through	through	ii
binoculars	binoculars	nn2
-	-	-
enormously	enormously	rr
tall	tall	jj
and	and	cc
thin	thin	jj_vv0@
with	with	iw
very	very	rg
white	white	jj
skin	skin	nn1
and	and	cc
no	no	at
hair	hair	nn1
,	,	y
not	not	xx
even	even	rr
then	then	rt
,	,	y
not	not	xx
one	one	mc1
hair	hair	nn1
on	on	ii
his	his	appge_ppge@
long	long	jj_rr
bald	bald	jj
head	head	nn1
,	,	y
making	make	vvg
him	him	ppho1
completely	completely	rr
colorless	colorless	jj
as	as	cs21
though	though	cs22
he	he	pphs1
were	be	vbdr
a	a	at1
statue	statue	nn1
-	-	-
Otto	otto	np1
von	von	np1
Ochsenstein	ochsenstein	np1
!	!	y
-	-	-
the	the	at
world-famous	world-famous	jj
composer	composer	nn1
,	,	y
pianist	pianist	nn1
and	and	cc
the	the	at
famed	famed	jj
conductor	conductor	nn1
of	of	io
the	the	at
Philadelphia	philadelphia	np1
Philharmonic	philharmonic	jj
,	,	y
then	then	rt
,	,	y
the	the	at
greatest	greatest	jjt
symphony	symphony	nn1
orchestra	orchestra	nn1
in	in	ii
the	the	at
world	world	nn1
.	.	y
I	i	ppis1
was	be	vbdz
not	not	xx
quite	quite	rg
11	11	mc
when	when	rrq_cs
they	they	pphs2
moved	move	vvd
into	into	ii
the	the	at
huge	huge	jj
white	white	jj
house	house	nn1
on	on	ii
the	the	at
other	other	jj
side	side	nn1
of	of	io
the	the	at
hedges	hedge	nn2
,	,	y
that	that	dd1_cst
great	great	jj
white	white	jj
stucco	stucco	nn1
mansion	mansion	nn1
set	set	vvn_vvd_nn1
at	at	ii
the	the	at
top	top	nn1
of	of	io
long	long	jj_rr
sweeping	sweeping	jj
lawns	lawn	nn2
,	,	y
old	old	jj
copper	copper	nn1_jj@
beech	beech	nn1
trees	tree	nn2
,	,	y
every	every	at1
kind	kind	nn1
of	of	io
fruit	fruit	nn
tree	tree	nn1
...	...	...
even	even	rr
a	a	at1
small	small	jj
peach	peach	nn1
orchard	orchard	nn1
in	in	ii
the	the	at
back	back	nn1
with	with	iw
a	a	at1
fish	fish	nn
pond	pond	nn1
in	in	ii
there	there	rl
that	that	cst_dd1
in	in	ii
the	the	at
autumn	autumn	nnt1
was	be	vbdz
the	the	at
color	color	nn1
of	of	io
opals	opal	nn2
in	in	ii
the	the	at
sun	sun	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
of	of	io
their	their	appge
house	house	nn1
directly	directly	rr
facing	face	vvg
ours	ours	ppge
,	,	y
a	a	at1
trellised	trellised	jj
arbor	arbor	nn1
that	that	cst
in	in	ii
the	the	at
summer	summer	nnt1
was	be	vbdz
heavy	heavy	jj
with	with	iw
purple	purple	jj
grapes	grape	nn2
latticed	lattice	vvd
around	around	rp_ii
a	a	at1
sprawling	sprawling	jj
redbrick	redbrick	nn1
terrace	terrace	nn1
,	,	y
which	which	ddq
was	be	vbdz
where	where	rrq_cs
I	i	ppis1
would	would	vm
often	often	rr
see	see	vvi
him	him	ppho1
looking	look	vvg
into	into	ii
our	our	appge
garden	garden	nn1
through	through	ii
those	those	dd2
black	black	jj
binoculars	binoculars	nn2
.	.	y
In	in	ii
those	those	dd2
days	day	nnt2
,	,	y
blinded	blind	vvn
by	by	ii
youthful	youthful	jj
awe	awe	nn1
and	and	cc
by	by	ii
the	the	at
agonizing	agonizing	jj
mistake	mistake	nn1
that	that	cst
there	there	ex
are	be	vbr
such	such	da
people	people	nn
among	among	ii
us	us	ppio2
who	who	pnqs
are	be	vbr
better	better	rrr_jjr
-	-	-
greater	great	jjr
...	...	...
more	more	rgr_dar
deserving	deserving	jj
...	...	...
everything	everything	pn1
on	on	ii
their	their	appge
side	side	nn1
of	of	io
those	those	dd2
high	high	jj
green	green	jj_nn1
hedges	hedge	nn2
that	that	cst
separated	separate	vvd@
their	their	appge
lawn	lawn	nn1
from	from	ii
ours	ours	ppge
seemed	seem	vvd
as	as	cs21
though	though	cs22
it	it	pph1
were	be	vbdr
from	from	ii
a	a	at1
completely	completely	rr
different	different	jj
planet	planet	nn1
-	-	-
so	so	rg_rr
different	different	jj
,	,	y
in	in	ii
fact	fact	nn1
,	,	y
that	that	dd1_cst
to	to	to
push	push	vvi
my	my	appge
way	way	nn1
through	through	ii_rp@
and	and	cc
cross	cross	vvi
over	over	rp
onto	onto	ii
their	their	appge
property	property	nn1
was	be	vbdz
to	to	to
cross	cross	vvi
into	into	ii
another	another	dd1
world	world	nn1
...	...	...
a	a	at1
wild	wild	jj
,	,	y
resplendent	resplendent	jj
world	world	nn1
extreme	extreme	nn1@_jj
in	in	ii
a	a	at1
variety	variety	nn1
of	of	io
such	such	da
astonishing	astonishing	jj
ways	way	nn2
as	as	csa
to	to	to
be	be	vbi
completely	completely	rr
terrifying	terrify	vvg_jj
...	...	...
extreme	extreme	jj
in	in	ii
the	the	at
genius	genius	nn1
of	of	io
the	the	at
world-famous	world-famous	jj
conductor	conductor	nn1
Otto	otto	np1
Von	von	np1
Ochsenstein	ochsenstein	np1
and	and	cc
the	the	at
aristocracy	aristocracy	nn1
of	of	io
intellect	intellect	nn1
that	that	cst
that	that	dd1
world	world	nn1
reflected	reflect	vvd_vvn
...	...	...
extreme	extreme	jj
in	in	ii
wealth	wealth	nn1
and	and	cc
fame	fame	nn1
and	and	cc
celebrity	celebrity	nn1
and	and	cc
the	the	at
enormous	enormous	jj
power	power	nn1
that	that	cst
came	come	vvd
with	with	iw
it	it	pph1
...	...	...
extreme	extreme	jj
not	not	xx
only	only	rr
in	in	ii
the	the	at
ravishing	ravishing	jj
beauty	beauty	nn1
of	of	io
the	the	at
Maestro	maestro	np1_nn1
's	's	ge
wife	wife	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
home	home	nn1
and	and	cc
their	their	appge
art	art	nn1
and	and	cc
their	their	appge
grounds	ground	nn2
and	and	cc
their	their	appge
gardens	garden	nn2
,	,	y
making	make	vvg
them	them	ppho2
in	in	ii_rp@
their	their	appge
white	white	jj
stucco	stucco	nn1
palace	palace	nn1
on	on	ii
the	the	at
other	other	jj
side	side	nn1
of	of	io
the	the	at
hedges	hedge	nn2
,	,	y
with	with	iw
all	all	db
their	their	appge
dogs	dog	nn2
and	and	cc
cars	car	nn2
and	and	cc
servants	servant	nn2
...	...	...
their	their	appge
chauffeur	chauffeur	nn1
Crump	crump	np1_nn1@
,	,	y
the	the	at
cook	cook	nn1
,	,	y
the	the	at
butler	butler	nn1
and	and	cc
all	all	db
the	the	at
maids	maid	nn2
as	as	csa_rg@
close	close	rr_jj
to	to	ii
royalty	royalty	nn1
as	as	csa
one	one	pn1
could	could	vm
get	get	vvi
as	as	csa_ii@
their	their	appge
daughter	daughter	nn1
Juliet	juliet	np1
and	and	cc
I	i	ppis1_zz1%
,	,	y
compatriots	compatriot	nn2
...	...	...
bound	bind	vvn
by	by	ii
the	the	at
love	love	nn1
we	we	ppis2
had	have	vhd
for	for	if
each	each	ppx221
other	other	ppx222
,	,	y
that	that	dd1
first	first	md
great	great	jj
love	love	nn1
affair	affair	nn1
would	would	vm
lie	lie	vvi
together	together	rl
on	on	ii
the	the	at
grass	grass	nn1
through	through	ii
the	the	at
long	long	jj
green	green	jj_nn1
summers	summer	nnt2
of	of	io
childhood	childhood	nn1
...	...	...
making	make	vvg
fun	fun	nn1
of	of	io
everything	everything	pn1
,	,	y
telling	tell	vvg
secrets	secret	nn2
and	and	cc
laughing	laugh	vvg_jj@
.	.	y
I	i	ppis1
must	must	vm
have	have	vhi
still	still	rr
been	be	vbn
11	11	mc
that	that	dd1
day	day	nnt1
,	,	y
the	the	at
one	one	pn1
that	that	cst
stands	stand	vvz
out	out	rp
so	so	rg
clearly	clearly	rr
...	...	...
the	the	at
memory	memory	nn1
like	like	ii
a	a	at1
little	little	jj
island	island	nn1
...	...	...
unattached	unattached	jj
...	...	...
still	still	rr
floating	float	vvg_jj
through	through	ii
time	time	nnt1
without	without	iw
a	a	at1
shadow	shadow	nn1
...	...	...
the	the	at
Maestro	maestro	nn1_np1
,	,	y
accompanied	accompany	vvn
by	by	ii
a	a	at1
short	short	jj
silent	silent	jj
little	little	jj
man	man	nn1
,	,	y
both	both	db2
of	of	io
them	them	ppho2
in	in	ii
gray	gray	jj
business	business	nn1
suits	suit	vvz_nn2
walking	walk	vvg_nn1
toward	toward	ii
me	me	ppio1
...	...	...
it	it	pph1
had	have	vhd
been	be	vbn
raining	rain	vvg
so	so	rr_cs@
I	i	ppis1
was	be	vbdz
soaked	soak	vvn@
through	through	rp@_ii
-	-	-
my	my	appge
dress	dress	nn1
and	and	cc
my	my	appge
hair	hair	nn1
plastered	plaster	vvd_vvn@
to	to	ii
me	me	ppio1
as	as	csa
I	i	ppis1
was	be	vbdz
waiting	wait	vvg
for	for	if
Juliet	juliet	np1
at	at	ii
the	the	at
far	far	jj
end	end	nn1
of	of	io
their	their	appge
living	living	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
back	back	rp
to	to	ii
back	back	nn1
,	,	y
as	as	cs21
though	though	cs22
they	they	pphs2
were	be	vbdr
curved	curve	vvn@_jj
from	from	ii
the	the	at
same	same	da
massive	massive	jj
piece	piece	nn1
of	of	io
ebony	ebony	nn1
-	-	-
their	their	appge
huge	huge	jj
black	black	jj_nn1@
wings	wing	nn2_vvz@
that	that	dd1
day	day	nnt1
raised	raise	vvn_vvd
for	for	if
flight	flight	nn1
...	...	...
as	as	csa
Otto	otto	np1
von	von	np1
Ochsenstein	ochsenstein	np1
and	and	cc
the	the	at
short	short	jj
silent	silent	jj
little	little	jj
man	man	nn1
kept	keep	vvd_vvn
walking	walk	vvg_nn1
toward	toward	ii
me	me	ppio1
...	...	...
"	"	y
this	this	dd1
one	one	pn1
!	!	y
-	-	-
this	this	dd1
is	be	vbz
the	the	at
one	one	pn1
!	!	y
-	-	-
Look	look	vv0_nn1
at	at	ii
This	this	dd1
!	!	y
"	"	y
the	the	at
Maestro	maestro	np1_nn1
whispered	whisper	vvd
to	to	ii
the	the	at
silent	silent	jj
little	little	jj
man	man	nn1
as	as	csa
they	they	pphs2
both	both	db2_rr
stood	stand	vvd_vvn@
in	in	ii31
front	front	ii32
of	of	ii33
me	me	ppio1
-	-	-
the	the	at
Maestro	maestro	np1_nn1
's	's	ge_vbz
thick-lidded	thick-lidded	jj
heavy	heavy	jj
ice	ice	nn1
blue	blue	jj_nn1@
eyes	eye	nn2
like	like	ii
the	the	at
shining	shining	jj
eyes	eye	nn2
of	of	io
an	a	at1
iguana	iguana	nn1
,	,	y
or	or	cc
a	a	at1
crocodile	crocodile	nn1
...	...	...
his	his	appge
huge	huge	jj
towering	towering	jj
height	height	nn1
...	...	...
his	his	appge
pale	pale	jj
colorless	colorless	jj
skin	skin	nn1
and	and	cc
completely	completely	rr
hairless	hairless	jj
head	head	nn1
...	...	...
mingling	mingle	vvg
with	with	iw
the	the	at
terrifying	terrifying	jj
knowledge	knowledge	nn1
of	of	io
who	who	pnqs
he	he	pphs1
was	be	vbdz
...	...	...
Otto	otto	np1
von	von	np1
Ochsenstein	ochsenstein	np1
!	!	y
...	...	...
the	the	at
world-famous	world-famous	jj
composer	composer	nn1
!	!	y
...	...	...
pianist	pianist	nn1
!	!	y
...	...	...
Otto	otto	np1
von	von	np1
Ochsenstein	ochsenstein	np1
!	!	y
...	...	...
the	the	at
world-renowned	world-renowned	jj
conductor	conductor	nn1
of	of	io
the	the	at
Philadelphia	philadelphia	np1
Philharmonic	philharmonic	jj
!	!	y
as	as	csa
he	he	pphs1
came	come	vvd
closer	close	rrr_jjr
,	,	y
clasped	clasp	vvd
me	me	ppio1
by	by	ii
the	the	at
shoulders	shoulder	nn2
and	and	cc
looked	look	vvn_vvd
into	into	ii
my	my	appge
eyes	eye	nn2
as	as	csa
he	he	pphs1
whispered	whisper	vvd
...	...	...
"	"	y
never	never	rr
apologize	apologize	vv0
for	for	if
this	this	dd1
beauty	beauty	nn1
,	,	y
never	never	rr
cringe	cringe	vv0
-	-	-
never	never	rr
be	be	vbi
ashamed	ashamed	jj
...	...	...
because	because	cs
whether	whether	csw
you	you	ppy
know	know	vv0
it	it	pph1
or	or	cc
not	not	xx
,	,	y
"	"	y
he	he	pphs1
said	say	vvd
as	as	csa
he	he	pphs1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
universe	universe	nn1
hungers	hunger	nn2
for	for	if
,	,	y
"	"	y
he	he	pphs1
was	be	vbdz
whispering	whisper	vvg
,	,	y
his	his	appge
face	face	nn1
so	so	rg_rr
close	close	rr_jj
to	to	ii
mine	mine	nn1
that	that	cst
I	i	ppis1
could	could	vm
feel	feel	vvi
his	his	appge
breath	breath	nn1
.	.	y
And	and	cc
as	as	csa
I	i	ppis1
listened	listen	vvd
...	...	...
and	and	cc
understood	understand	vvd_vvn
...	...	...
in	in	ii
the	the	at
way	way	nn1
that	that	cst
children	child	nn2
who	who	pnqs
are	be	vbr
precocious	precocious	jj
in	in	ii
some	some	dd
seamy	seamy	jj
wavs	wavs	nn2
always	always	rr
understand	understand	vv0
...	...	...
and	and	cc
as	as	csa
I	i	ppis1
watched	watch	vvd
him	him	ppho1
staring	stare	vvg
at	at	ii
me	me	ppio1
...	...	...
and	and	cc
felt	feel	vvd
the	the	at
strength	strength	nn1
of	of	io
his	his	appge
grip	grip	nn1
on	on	ii
my	my	appge
shoulders	shoulder	nn2
...	...	...
I	i	ppis1
began	begin	vvd
to	to	to
understand	understand	vvi
what	what	ddq
power	power	nn1
is	be	vbz
.	.	y
We	we	ppis2
lived	live	vvd
in	in	ii_rp@
an	a	at1
old	old	jj
fieldstone	fieldstone	nn1
house	house	nn1
on	on	ii
the	the	at
other	other	jj
side	side	nn1
of	of	io
that	that	dd1
high	high	jj
privet	privet	nn1
hedge	hedge	nn1
,	,	y
a	a	at1
simple	simple	jj
very	very	rg
old	old	jj
house	house	nn1
with	with	iw
nothing	nothing	pn1
exceptional	exceptional	jj
about	about	ii
it	it	pph1
except	except	ii_cs
its	its	z'
age	age	nn1
,	,	y
a	a	at1
long	long	jj_rr
front	front	jj_nn1
porch	porch	nn1
and	and	cc
remarkably	remarkably	rr
beautiful	beautiful	jj
gardens	garden	nn2
that	that	cst
were	be	vbdr
as	as	rg@
bountiful	bountiful	jj
,	,	y
innocent	innocent	jj
and	and	cc
silent	silent	jj
as	as	ii_csa
the	the	at
woman	woman	nn1
who	who	pnqs
tended	tend	vvd
them	them	ppho2
...	...	...
my	my	appge
grandmother	grandmother	nn1
,	,	y
who	who	pnqs
scratched	scratch	vvd
and	and	cc
dug	dig	vvd
out	out	rp
there	there	rl
when	when	cs
she	she	pphs1
was	be	vbdz
n't	n't	xx
teaching	teach	vvg_nn1
,	,	y
either	either	rr
in	in	ii
our	our	appge
house	house	nn1
or	or	cc
at	at	ii
the	the	at
prestigious	prestigious	jj
Curtis	curtis	np1
Institute	institute	nn1
...	...	...
all	all	db
day	day	nnt1
sometimes	sometimes	rt
,	,	y
bent	bend	vvd_vvn
over	over	rp
with	with	iw
her	her	appge
hoe	hoe	nn1
,	,	y
patting	pat	vvg
,	,	y
planting	plant	vvg_nn1
and	and	cc
pulling	pull	vvg
each	each	dd1
little	little	jj_da1
thing	thing	nn1
,	,	y
as	as	csa
brown	brown	jj
and	and	cc
as	as	csa_rg@
lined	line	vvn_jj
and	and	cc
expressionless	expressionless	jj
as	as	ii_csa
the	the	at
earth	earth	nn1
she	she	pphs1
always	always	rr
had	have	vhn@_vhd
her	her	appge
bare	bare	jj
hands	hand	nn2
in	in	ii_rp@
...	...	...
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
smell	smell	vv0_nn1
that	that	cst
filled	fill	vvd
every	every	at1
room	room	nn1
she	she	pphs1
silently	silently	rr
entered	enter	vvn_vvd
...	...	...
this	this	dd1
slight	slight	jj_nn1@
,	,	y
frail	frail	jj
mindful	mindful	jj
woman	woman	nn1
,	,	y
who	who	pnqs
in	in	ii
her	her	appge
childhood	childhood	nn1
in	in	ii
Prague	prague	np1
was	be	vbdz
destined	destine	vvn
for	for	if
the	the	at
concert	concert	nn1
stage	stage	nn1
-	-	-
a	a	at1
prodigy	prodigy	nn1
,	,	y
who	who	pnqs
at	at	ii
the	the	at
age	age	nn1
of	of	io
seven	seven	mc
began	begin	vvd
studying	study	vvg
with	with	iw
the	the	at
great	great	jj
cellist	cellist	nn1
Maestro	maestro	np1_nn1
Oskar	oskar	np1_nn1
Stigl	stigl	np1_nn1
,	,	y
but	but	ccb
because	because	ii21
of	of	ii22
the	the	at
war	war	nn1
the	the	at
family	family	nn1
left	leave	vvd_vvn
...	...	...
she	she	pphs1
taking	take	vvg
the	the	at
cello	cello	nn1
that	that	cst
Maestro	maestro	np1
Stigl	stigl	np1
had	have	vhd
given	give	vvn
her	her	ppho1
...	...	...
and	and	cc
although	although	cs
she	she	pphs1
never	never	rr
played	play	vvn_vvd
on	on	ii
the	the	at
concert	concert	nn1
stage	stage	nn1
as	as	csa
he	he	pphs1
had	have	vhd
expected	expect	vvn
-	-	-
she	she	pphs1
became	become	vvd
a	a	at1
famous	famous	jj
teacher	teacher	nn1
...	...	...
and	and	cc
I	i	ppis1_zz1%
,	,	y
her	her	appge
prized	prized	jj
student	student	nn1
from	from	ii
the	the	at
time	time	nnt1
I	i	ppis1
was	be	vbdz
old	old	jj
enough	enough	rr
to	to	to
hold	hold	vvi
a	a	at1
bow	bow	nn1
was	be	vbdz
where	where	rrq_cs
she	she	pphs1
put	put	vvd
her	her	appge
greatest	greatest	jjt
dreams	dream	nn2
,	,	y
her	her	appge
highest	high	jjt
hopes	hope	nn2
-	-	-
dreams	dream	nn2
and	and	cc
hopes	hope	nn2_vvz
I	i	ppis1
never	never	rr
shared	share	vvn_vvd_jj
...	...	...
and	and	cc
as	as	rg
much	much	da1
as	as	csa
I	i	ppis1
loved	love	vvd
her	her	ppho1
,	,	y
when	when	cs_rrq
she	she	pphs1
was	be	vbdz
old	old	jj
she	she	pphs1
became	become	vvd
stone	stone	nn1
deaf	deaf	jj
...	...	...
and	and	cc
this	this	dd1
made	make	vvd
me	me	ppio1
ashamed	ashamed	jj
.	.	y
My	my	appge
father	father	nn1
,	,	y
Leonard	leonard	np1
Gold	gold	nn1
,	,	y
her	her	appge
son-in-law	son-in-law	nn1
...	...	...
was	be	vbdz
a	a	at1
surgeon	surgeon	nn1
,	,	y
a	a	at1
professor	professor	nn1
of	of	io
medicine	medicine	nn1
and	and	cc
a	a	at1
medical	medical	jj
inventor	inventor	nn1
who	who	pnqs
devised	devise	vvd
the	the	at
famous	famous	jj
Gold	gold	nn1_jj@
Clamp	clamp	nn1_vv0
-	-	-
the	the	at
first	first	md
to	to	to
make	make	vvi
inroads	inroads	nn2
into	into	ii
the	the	at
understanding	understanding	nn1
of	of	io
blood	blood	nn1
coagulation	coagulation	nn1
,	,	y
the	the	at
dangers	danger	nn2
of	of	io
heavy	heavy	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
a	a	at1
leading	leading	jj
expert	expert	nn1
on	on	ii
sulfa	sulfa	nn1
drugs	drug	nn2
,	,	y
bacterial	bacterial	jj
infections	infection	nn2
and	and	cc
peritonitis	peritonitis	nn1
,	,	y
as	as	ii31
well	well	ii32
as	as	ii33
an	a	at1
authority	authority	nn1
on	on	ii
fevers	fever	nn2
,	,	y
sub-normal	sub-normal	jj
,	,	y
persistent	persistent	jj
and	and	cc
uncontrollable	uncontrollable	jj
but	but	ccb
none	none	pn
of	of	io
this	this	dd1
made	make	vvd_vvn
even	even	rr
the	the	at
slightest	slight	jjt
difference	difference	nn1
to	to	ii
my	my	appge
mother	mother	nn1
-	-	-
it	it	pph1
did	do	vdd
n't	n't	xx
matter	matter	vvi
...	...	...
nothing	nothing	pn1
did	do	vdd
...	...	...
not	not	xx
my	my	appge
grandmother	grandmother	nn1
's	's	ge
enormous	enormous	jj
gilts	gilt	nn2
as	as	ii_csa
a	a	at1
musician	musician	nn1
and	and	cc
a	a	at1
teacher	teacher	nn1
,	,	y
or	or	cc
any	any	dd
of	of	io
my	my	appge
father	father	nn1
's	's	ge
contributions	contribution	nn2
,	,	y
achievements	achievement	nn2
,	,	y
long	long	jj
list	list	nn1
of	of	io
accolades	accolade	nn2
or	or	cc
all	all	db
the	the	at
honors	honor	nn2
that	that	cst
were	be	vbdr
heaped	heap	vvn@
on	on	ii
him	him	ppho1
all	all	db
his	his	appge
life	life	nn1
-	-	-
none	none	pn
of	of	io
this	this	dd1
counted	count	vvd_vvn
because	because	cs
my	my	appge
mother	mother	nn1
wanted	want	vvd_vvn
action	action	nn1
!	!	y
endless	endless	jj
thrills	thrill	nn2
!	!	y
-	-	-
Life	life	nn1
!	!	y
...	...	...
this	this	dd1
small	small	jj
thin	thin	jj
,	,	y
highly	highly	rr
charged	charge	vvn_jj@_vvd
woman	woman	nn1
,	,	y
Kosi	kosi	jj_np1
Gold	gold	nn1
,	,	y
my	my	appge
remarkable	remarkable	jj
grandmother	grandmother	nn1
's	's	ge
only	only	jj
child	child	nn1
-	-	-
a	a	at1
wild	wild	jj
hybrid	hybrid	nn1_jj
with	with	iw
her	her	appge_ppho1
endless	endless	jj
stream	stream	nn1
of	of	io
cigarettes	cigarette	nn2
,	,	y
dyed	dye	vvd_vvn_jj
straight	straight	rr_jj
black	black	jj
hair	hair	nn1
and	and	cc
